,count
0.34,4709
0.31,4683
0.33,4654
0.29,4641
0.37,4631
0.32,4624
0.3,4592
0.35,4564
0.27,4519
0.39,4487
0.36,4481
0.4,4465
0.28,4438
0.41,4427
0.38,4424
0.25,4387
0.26,4356
0.42,4306
0.43,4229
0.24,4186
0.45,4134
0.22,4105
0.44,4085
0.23,4061
0.21,3986
0.46,3967
0.2,3884
0.47,3868
0.19,3852
0.48,3832
0.49,3813
0.5,3787
0.51,3668
0.18,3655
0.52,3640
0.53,3499
0.54,3463
0.17,3414
0.55,3363
0.56,3344
0.15,3284
0.58,3282
0.16,3249
0.57,3217
0.59,3180
0.6,3084
0.14,3019
0.61,2971
0.63,2940
0.64,2841
0.62,2838
0.65,2837
0.13,2814
0.66,2794
0.67,2768
0.69,2711
0.68,2660
0.71,2594
0.12,2589
0.7,2576
0.72,2521
0.73,2499
0.11,2495
0.76,2395
0.74,2385
0.78,2335
0.75,2326
0.77,2311
0.1,2287
0.79,2164
0.8,2136
0.81,2119
0.09,2004
0.83,1993
0.82,1960
0.08,1850
0.335,1800
0.355,1766
0.365,1764
0.345,1763
0.84,1762
0.375,1758
0.395,1743
0.85,1740
0.405,1731
0.305,1725
0.425,1687
0.315,1681
0.385,1673
0.325,1669
0.435,1663
0.86,1655
0.295,1631
0.415,1627
0.07,1626
0.285,1625
0.455,1568
0.275,1564
0.445,1550
0.465,1540
