Filename,len(y_proba),nUnique(y_proba),len(fpr),nUnique(fpr),len(tpr),nUnique(tpr),len(fpr tpr),nUnique(fpr tpr)
BRFC_alpha_0_5_1_0_1_1_Hard,802700,3590,3018,2573,3018,1574,3018,3018,
BRFC_alpha_0_5_1_0_1_1_Medium,802700,45202,35892,32066,35892,15116,35892,35892,
BRFC_alpha_0_5_1_0_1_1_Easy,802700,164589,145074,132791,145074,64803,145074,145074,
KBFC_alpha_0_5_gamma_0_0_1_0_1_1_Hard,802700,781740,206962,119810,206962,90597,206962,206962,
KBFC_alpha_0_5_gamma_0_0_1_0_1_1_Medium,802700,723303,272714,187088,272714,98878,272714,272714,
KBFC_alpha_0_5_gamma_0_0_1_0_1_1_Easy,802700,177453,153554,139247,153554,66169,153554,153554,
