Filename,n,nUnique,nUnique/n,95%,95%/n,90%,90%/n,80%,80%/n,B[10],B[10]/n,B[20],B[20]/n,B[100],B[100]/n,B[200],B[200],min,max,
BRFC_alpha_0_5_1_1_1_0_Hard,802700,3078,0.0038,93,0.0001,73,0.0001,56,0.0001,159707,0.1990,297543,0.3707,765831,0.9541,782251,0.9745,0.0000,1.0000
BRFC_alpha_0_5_1_1_1_0_Medium,802700,39134,0.0488,11027,0.0137,4230,0.0053,1297,0.0016,58655,0.0731,109284,0.1361,336542,0.4193,429038,0.5345,0.0000,1.0000
BRFC_alpha_0_5_1_1_1_0_Easy,802700,164589,0.2050,124454,0.1550,95954,0.1195,62556,0.0779,7511,0.0094,9292,0.0116,20620,0.0257,31677,0.0395,0.0000,1.0000
KBFC_alpha_0_5_gamma_0_0_1_1_1_0_Hard,802700,781475,0.9736,741340,0.9236,701205,0.8736,620935,0.7736,101,0.0001,141,0.0002,398,0.0005,698,0.0009,0.0001,0.9811
KBFC_alpha_0_5_gamma_0_0_1_1_1_0_Medium,802700,728873,0.9080,688738,0.8580,648603,0.8080,568333,0.7080,135,0.0002,223,0.0003,752,0.0009,1317,0.0016,0.0026,0.8988
KBFC_alpha_0_5_gamma_0_0_1_1_1_0_Easy,802700,177453,0.2211,137318,0.1711,103161,0.1285,67014,0.0835,2177,0.0027,3840,0.0048,14853,0.0185,25737,0.0321,0.0201,0.5214
