Filename,len(y_proba),nUnique(y_proba),len(fpr),nUnique(fpr),len(tpr),nUnique(tpr),len(fpr tpr),nUnique(fpr tpr)
BRFC_alpha_0_5_0_0_0_0_Hard.csv,802700,3022,2564,2182,2564,1386,2564,2564,
BRFC_alpha_0_5_0_0_0_0_Medium.csv,802700,35663,28631,25732,28631,12440,28631,28631,
BRFC_alpha_0_5_0_0_0_0_Easy.csv,802700,164232,144807,132514,144807,64792,144807,144807,
KBFC_alpha_0_5_gamma_0_0_0_0_0_0_Hard.csv,802700,782331,205139,118488,205139,89991,205139,205139,
KBFC_alpha_0_5_gamma_0_0_0_0_0_0_Medium.csv,802700,732156,266136,179705,266136,98495,266136,266136,
KBFC_alpha_0_5_gamma_0_0_0_0_0_0_Easy.csv,802700,177605,153546,139173,153546,66081,153546,153546,
BRFC_alpha_0_5_0_0_0_1_Hard.csv,802700,3386,2874,2455,2874,1531,2874,2874,
BRFC_alpha_0_5_0_0_0_1_Medium.csv,802700,40312,32073,28731,32073,13727,32073,32073,
BRFC_alpha_0_5_0_0_0_1_Easy.csv,802700,164232,144807,132514,144807,64792,144807,144807,
KBFC_alpha_0_5_gamma_0_0_0_0_0_1_Hard.csv,802700,781479,206131,119557,206131,90088,206131,206131,
KBFC_alpha_0_5_gamma_0_0_0_0_0_1_Medium.csv,802700,727981,269728,183734,269728,98493,269728,269728,
KBFC_alpha_0_5_gamma_0_0_0_0_0_1_Easy.csv,802700,177605,153546,139173,153546,66081,153546,153546,
BRFC_alpha_0_5_0_0_1_0_Hard.csv,802700,3187,2670,2293,2670,1393,2670,2670,
BRFC_alpha_0_5_0_0_1_0_Medium.csv,802700,39540,31911,28599,31911,13721,31911,31911,
BRFC_alpha_0_5_0_0_1_0_Easy.csv,802700,164214,144965,132677,144965,64765,144965,144965,
KBFC_alpha_0_5_gamma_0_0_0_0_1_0_Hard.csv,802700,782638,205269,118293,205269,90264,205269,205269,
KBFC_alpha_0_5_gamma_0_0_0_0_1_0_Medium.csv,802700,728561,268459,182496,268459,98678,268459,268459,
KBFC_alpha_0_5_gamma_0_0_0_0_1_0_Easy.csv,802700,177708,153581,139184,153581,66101,153581,153581,
BRFC_alpha_0_5_0_0_1_1_Hard.csv,802700,3535,2951,2568,2951,1506,2951,2951,
BRFC_alpha_0_5_0_0_1_1_Medium.csv,802700,45174,35779,31990,35779,15100,35779,35779,
BRFC_alpha_0_5_0_0_1_1_Easy.csv,802700,164214,144965,132677,144965,64765,144965,144965,
KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard.csv,802700,781250,206927,120171,206927,90311,206927,206927,
KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium.csv,802700,724135,272311,186715,272311,98768,272311,272311,
KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Easy.csv,802700,177708,153581,139184,153581,66101,153581,153581,
BRFC_alpha_0_5_0_1_0_0_Hard.csv,802700,3033,2573,2211,2573,1363,2573,2573,
BRFC_alpha_0_5_0_1_0_0_Medium.csv,802700,35965,29008,26110,29008,12502,29008,29008,
BRFC_alpha_0_5_0_1_0_0_Easy.csv,802700,164169,144683,132453,144683,64744,144683,144683,
KBFC_alpha_0_5_gamma_0_0_0_1_0_0_Hard.csv,802700,782430,204936,118321,204936,89943,204936,204936,
KBFC_alpha_0_5_gamma_0_0_0_1_0_0_Medium.csv,802700,730821,268014,181654,268014,98628,268014,268014,
KBFC_alpha_0_5_gamma_0_0_0_1_0_0_Easy.csv,802700,177657,153469,139220,153469,65939,153469,153469,
BRFC_alpha_0_5_0_1_0_1_Hard.csv,802700,3347,2832,2450,2832,1473,2832,2832,
