Index,Filename,Roll,Min/Max,y_proba_Min,y_proba_Max,y_proba_Diff,TP(Min),TP(Max),TP_Diff,y_proba,Neg,Pos,mprob,TN,FP,FN,TP,FP/P
98,BRFC_alpha_0_5_0_0_0_1_Hard_Round_4,mProb_1,Min,0.116,0.9733,0.8573000000000001,125947,635,125312,0.116,1.0,1.0,0.5,27600,648844,309,125947,5.139114180712204
2783,BRFC_alpha_0_5_0_0_0_1_Hard_Round_4,mProb_1,Max,0.116,0.9733,0.8573000000000001,125947,635,125312,0.9733,1.0,1.0,0.5,676386,58,125621,635,0.00045938410847801294
2132,BRFC_alpha_0_5_0_0_0_1_Hard_Round_4,mProb_10,Min,0.7457,0.912,0.1663,36350,4398,31952,0.7457,90.0,94.0,0.5108695652173914,651567,24877,89906,36350,0.1970361804587505
2693,BRFC_alpha_0_5_0_0_0_1_Hard_Round_4,mProb_10,Max,0.7457,0.912,0.1663,36350,4398,31952,0.912,9.0,9.0,0.5,675505,939,121858,4398,0.007437270307945761
2204,BRFC_alpha_0_5_0_0_0_1_Hard_Round_4,mProb_20,Min,0.765,0.8227,0.057699999999999974,31655,18283,13372,0.765,120.0,126.0,0.5121951219512195,656797,19647,94601,31655,0.15561240653909517
2427,BRFC_alpha_0_5_0_0_0_1_Hard_Round_4,mProb_20,Max,0.765,0.8227,0.057699999999999974,31655,18283,13372,0.8227,39.0,33.0,0.4583333333333333,668052,8392,107973,18283,0.06646812824737042
2210,BRFC_alpha_0_5_0_0_0_1_Hard_Round_4,mProb_50,Min,0.7667,0.7665,-0.000200000000000089,31626,31647,-21,0.7667,2379.0,2393.0,0.5014668901927913,656820,19624,94630,31626,0.15543023697883665
2209,BRFC_alpha_0_5_0_0_0_1_Hard_Round_4,mProb_50,Max,0.7667,0.7665,-0.000200000000000089,31626,31647,-21,0.7665,4705.0,4606.0,0.4946837074428096,656802,19642,94609,31647,0.1555728044607781
2214,BRFC_alpha_0_5_0_0_0_1_Hard_Round_4,mProb_100,Min,0.7683,0.768,-0.00029999999999996696,31605,31610,-5,0.7683,6927.0,6958.0,0.5011163125675189,656838,19606,94651,31605,0.1552876694968952
2213,BRFC_alpha_0_5_0_0_0_1_Hard_Round_4,mProb_100,Max,0.7683,0.768,-0.00029999999999996696,31605,31610,-5,0.768,4960.0,4808.0,0.49221949221949224,656833,19611,94646,31610,0.15532727157521226
2218,BRFC_alpha_0_5_0_0_0_1_Hard_Round_4,mProb_200,Min,0.7697,0.7695,-0.000200000000000089,31601,31601,0,0.7697,11699.0,11719.0,0.5004270219489282,656848,19596,94655,31601,0.15520846534026106
2217,BRFC_alpha_0_5_0_0_0_1_Hard_Round_4,mProb_200,Max,0.7697,0.7695,-0.000200000000000089,31601,31601,0,0.7695,11703.0,11696.0,0.4998504209581606,656847,19597,94655,31601,0.15521638575592447
