Index,Filename,Roll,Min/Max,y_proba_Min,y_proba_Max,y_proba_Diff,TP(Min),TP(Max),TP_Diff,y_proba,Neg,Pos,mprob,TN,FP,FN,TP,FP/P
8294,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_100,Min,0.875,0.8911,0.016100000000000003,10085,7719,2366,0.875,2206.0,2317.0,0.5122706168472253,668464,7980,116171,10085,0.06320491699404385
8452,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_100,Max,0.875,0.8911,0.016100000000000003,10085,7719,2366,0.8911,1239.0,1236.0,0.4993939393939394,670825,5619,118537,7719,0.044504815612723354
8343,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_200,Min,0.88,0.8879,0.007900000000000018,9017,8508,509,0.88,3517.0,3597.0,0.5056227157717177,669474,6970,117239,9017,0.05520529717399569
8421,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_200,Max,0.88,0.8879,0.007900000000000018,9017,8508,509,0.8879,2646.0,2645.0,0.49990549990549993,670113,6331,117748,8508,0.05014415156507414
8376,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_500,Min,0.8833,0.8832,-9.999999999998899e-05,8823,8886,-63,0.8833,7495.0,7555.0,0.5019933554817275,669708,6736,117433,8823,0.05335191990875681
8375,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_500,Max,0.8833,0.8832,-9.999999999998899e-05,8823,8886,-63,0.8832,7056.0,6888.0,0.4939759036144578,669662,6782,117370,8886,0.053716259029273856
8449,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_1000,Min,0.8908,0.892,0.0011999999999999789,7723,7687,36,0.8908,13667.0,13671.0,0.5000731582412759,670807,5637,118533,7723,0.04464738309466481
8460,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_1000,Max,0.8908,0.892,0.0011999999999999789,7723,7687,36,0.892,12722.0,12713.0,0.49982307843522705,670882,5562,118569,7687,0.04405335191990876
7729,BRFC_alpha_0_5_0_0_1_1_Easy_Round_4,mProb_1,Min,0.7735,0.9991,0.22560000000000002,19521,193,19328,0.7735,15.0,16.0,0.5161290322580645,640692,35752,106735,19521,0.2831707007983779
9926,BRFC_alpha_0_5_0_0_1_1_Easy_Round_4,mProb_1,Max,0.7735,0.9991,0.22560000000000002,19521,193,19328,0.9991,1.0,1.0,0.5,676315,129,126063,193,0.001021733620580408
9199,BRFC_alpha_0_5_0_0_1_1_Easy_Round_4,mProb_10,Min,0.9205,0.9957,0.07520000000000004,3588,248,3340,0.9205,91.0,91.0,0.5,672830,3614,122668,3588,0.028624382207578253
9908,BRFC_alpha_0_5_0_0_1_1_Easy_Round_4,mProb_10,Max,0.9205,0.9957,0.07520000000000004,3588,248,3340,0.9957,49.0,43.0,0.4673913043478261,676283,161,126008,248,0.0012751869218096566
9227,BRFC_alpha_0_5_0_0_1_1_Easy_Round_4,mProb_20,Min,0.9233,0.996,0.07269999999999999,3410,243,3167,0.9233,156.0,169.0,0.52,673041,3403,122846,3410,0.026953174502597897
9909,BRFC_alpha_0_5_0_0_1_1_Easy_Round_4,mProb_20,Max,0.9233,0.996,0.07269999999999999,3410,243,3167,0.996,67.0,66.0,0.49624060150375937,676286,158,126013,243,0.0012514256748194146
