Index,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
781,1441,BRFC_alpha_0_5_0_1_1_1_Hard,0.66,0.6600000000000001,4932,2337,0.3215022699133306,620066,56378,69754,56502,0.5005492558469171,0.4475193258142187,0.4465371942719554
13201,15010,BRFC_alpha_0_5_0_1_1_1_Medium,0.8180238095238095,0.8180476190476191,1,2,0.6666666666666666,656498,19946,106310,19946,0.5,0.15798061082245596,0.15798061082245596
62050,63485,BRFC_alpha_0_5_0_1_1_1_Easy,0.9242976190476192,0.9243226773226773,7,1,0.125,673124,3320,122936,3320,0.5,0.026295780002534533,0.026295780002534533
105924,105925,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard,0.9623852,0.96905524,1,2.0,0.6666666666666666,676444,0,126256.0,0.0,,0.0,0.0
111851,111852,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium,0.8602089,0.8870699,1,6.0,0.8571428571428571,676444,0,126256.0,0.0,,0.0,0.0
65020,65021,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Easy,0.5049188,0.5063206,1,3.0,0.75,676444,0,126256.0,0.0,,0.0,0.0
