Index,Filename,Roll,Min/Max,Min,Max,Diff,y_proba,Prec,TN,FP,FN,TP,FP/P
8651,BRFC_alpha_0_5_0_1_1_1_Medium_Round_4,Prec_1000,Max,,0.914,,0.914,0.5818572303286834,672946,3498,120972,5284,0.027705613990622227
8151,BRFC_alpha_0_5_0_1_1_1_Medium_Round_4,Prec_2000,Max,,0.8608,,0.8608,0.5020783182247487,666375,10069,114257,11999,0.07975066531491573
9927,BRFC_alpha_0_5_0_1_1_1_Easy_Round_4,Prec_1,Max,,0.9992,,0.9992,0.5981308411214953,676315,129,126064,192,0.001021733620580408
9924,BRFC_alpha_0_5_0_1_1_1_Easy_Round_4,Prec_10,Max,,0.9988,,0.9988,0.6012700534759359,676313,131,126061,195,0.0010375744519072361
9919,BRFC_alpha_0_5_0_1_1_1_Easy_Round_4,Prec_20,Max,,0.998,,0.998,0.6038632986627043,676308,136,126046,210,0.001077176530224306
9904,BRFC_alpha_0_5_0_1_1_1_Easy_Round_4,Prec_50,Max,,0.995,,0.995,0.5939541731848716,676277,167,126003,253,0.0013227094157901406
9879,BRFC_alpha_0_5_0_1_1_1_Easy_Round_4,Prec_100,Max,,0.9908,,0.9908,0.5895336840146813,676213,231,125931,325,0.0018296160182486377
9829,BRFC_alpha_0_5_0_1_1_1_Easy_Round_4,Prec_200,Max,,0.9841,,0.9841,0.5843482106409035,676066,378,125736,520,0.0029939171207704982
9679,BRFC_alpha_0_5_0_1_1_1_Easy_Round_4,Prec_500,Max,,0.9685,,0.9685,0.5521801874572114,675631,813,125181,1075,0.006439297934355595
9429,BRFC_alpha_0_5_0_1_1_1_Easy_Round_4,Prec_1000,Max,,0.9435,,0.9435,0.5016268624987211,674411,2033,124010,2246,0.016102205043720695
8929,BRFC_alpha_0_5_0_1_1_1_Easy_Round_4,Prec_2000,Max,,0.8935,,0.8935,0.41559310742307304,669901,6543,120667,5589,0.051823279685717906
5650,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard_Round_4,Prec_1,Min,0.5651,0.9623,0.3972,0.5651,0.6567980314806858,667657,8787,109440,16816,0.06959669243441896
9239,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard_Round_4,Prec_1,Max,0.5651,0.9623,0.3972,0.9623,0.6666666666666666,676443,1,126254,2,7.920415663414016e-06
5651,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard_Round_4,Prec_10,Min,0.5652,0.5949,0.02969999999999995,0.5652,0.6567846619197613,667664,8780,109451,16805,0.06954124952477506
5948,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard_Round_4,Prec_10,Max,0.5652,0.5949,0.02969999999999995,0.5949,0.676615398826844,669446,6998,111611,14645,0.055427068812571284
5651,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard_Round_4,Prec_20,Min,0.5652,0.595,0.029799999999999938,0.5652,0.6567128304239158,667664,8780,109451,16805,0.06954124952477506
5949,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard_Round_4,Prec_20,Max,0.5652,0.595,0.029799999999999938,0.595,0.6766840335940298,669450,6994,111619,14637,0.055395387149917624
5651,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard_Round_4,Prec_50,Min,0.5652,0.5951,0.029899999999999927,0.5652,0.6567624432850163,667664,8780,109451,16805,0.06954124952477506
5950,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard_Round_4,Prec_50,Max,0.5652,0.5951,0.029899999999999927,0.5951,0.6766688239644971,669458,6986,111622,14634,0.05533202382461032
5650,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard_Round_4,Prec_100,Min,0.5651,0.5955,0.030399999999999983,0.5651,0.6567375259991065,667657,8787,109440,16816,0.06959669243441896
5954,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard_Round_4,Prec_100,Max,0.5651,0.5955,0.030399999999999983,0.5955,0.6766850478556463,669479,6965,111640,14616,0.05516569509567862
5652,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard_Round_4,Prec_200,Min,0.5653,0.5956,0.030299999999999994,0.5653,0.6567262620068848,667672,8772,109463,16793,0.06947788619946775
5955,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard_Round_4,Prec_200,Max,0.5653,0.5956,0.030299999999999994,0.5956,0.6766837754545757,669486,6958,111650,14606,0.05511025218603472
5670,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard_Round_4,Prec_500,Min,0.5671,0.597,0.029899999999999927,0.5671,0.6567060979515866,667808,8636,109610,16646,0.06840070966924344
5969,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard_Round_4,Prec_500,Max,0.5671,0.597,0.029899999999999927,0.597,0.676661630863608,669548,6896,111739,14517,0.054619186414903056
5718,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard_Round_4,Prec_1000,Min,0.5719,0.6012,0.029299999999999993,0.5719,0.6567445281411173,668127,8317,109985,16271,0.06587409707261437
6011,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard_Round_4,Prec_1000,Max,0.5719,0.6012,0.029299999999999993,0.6012,0.6766866638528827,669760,6684,112032,14224,0.05294005829425928
5880,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard_Round_4,Prec_2000,Min,0.5881,0.6191,0.031000000000000028,0.5881,0.6567019421051431,669083,7361,111183,15073,0.05830217969839057
6190,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard_Round_4,Prec_2000,Max,0.5881,0.6191,0.031000000000000028,0.6191,0.6766798318918278,670594,5850,113219,13037,0.04633443163097199
6683,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium_Round_4,Prec_1,Min,0.6749,0.8481,0.1731999999999999,0.6749,0.6574074074074074,675963,481,125333,923,0.0038097199341021416
7478,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium_Round_4,Prec_1,Max,0.6749,0.8481,0.1731999999999999,0.8481,0.6363636363636364,676440,4,126249,7,3.1681662653656065e-05
6684,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium_Round_4,Prec_10,Min,0.675,0.7019,0.026899999999999924,0.675,0.6568410534579973,675963,481,125334,922,0.0038097199341021416
6921,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium_Round_4,Prec_10,Max,0.675,0.7019,0.026899999999999924,0.7019,0.6765498652291105,676168,276,125679,577,0.0021860347231022685
6686,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium_Round_4,Prec_20,Min,0.6753,0.7013,0.026000000000000023,0.6753,0.6568704752347502,675967,477,125339,917,0.0037780382714484857
6918,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium_Round_4,Prec_20,Max,0.6753,0.7013,0.026000000000000023,0.7013,0.6766125748851276,676165,279,125675,581,0.0022097959700925103
6693,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium_Round_4,Prec_50,Min,0.6761,0.7008,0.024699999999999944,0.6761,0.6567298743601675,675974,470,125353,903,0.0037225953618045876
