Index,,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
40,62,BRFC_alpha_0_5_1_1_0_0_Hard.csv,0.67,0.68,4566,2329,0.34,628221,48223,72463,53793,0.53,0.43,0.38
80,108,BRFC_alpha_0_5_1_1_0_0_Medium.csv,0.71,0.71,2116,1069,0.34,620536,55908,86977,39279,0.41,0.31,0.44
116,126,BRFC_alpha_0_5_1_1_0_0_Easy.csv,0.84,0.85,2017,1000,0.33,663526,12918,116969,9287,0.42,0.07,0.10
