Filename,ROC_AUC
BRFC_alpha_0_5_0_0_0_0_Hard,0.808766
BRFC_alpha_0_5_0_0_0_0_Medium,0.730161
BRFC_alpha_0_5_0_0_0_0_Easy,0.659705
KBFC_alpha_0_5_gamma_0_0_0_0_0_0_Hard,0.777804
KBFC_alpha_0_5_gamma_0_0_0_0_0_0_Medium,0.711021
KBFC_alpha_0_5_gamma_0_0_0_0_0_0_Easy,0.654194
BRFC_alpha_0_5_0_0_0_1_Hard,0.803930
BRFC_alpha_0_5_0_0_0_1_Medium,0.732578
BRFC_alpha_0_5_0_0_0_1_Easy,0.659705
KBFC_alpha_0_5_gamma_0_0_0_0_0_1_Hard,0.776723
KBFC_alpha_0_5_gamma_0_0_0_0_0_1_Medium,0.710929
KBFC_alpha_0_5_gamma_0_0_0_0_0_1_Easy,0.654194
BRFC_alpha_0_5_0_0_1_0_Hard,0.808270
BRFC_alpha_0_5_0_0_1_0_Medium,0.729432
BRFC_alpha_0_5_0_0_1_0_Easy,0.659672
KBFC_alpha_0_5_gamma_0_0_0_0_1_0_Hard,0.775515
KBFC_alpha_0_5_gamma_0_0_0_0_1_0_Medium,0.709590
KBFC_alpha_0_5_gamma_0_0_0_0_1_0_Easy,0.654111
BRFC_alpha_0_5_0_0_1_1_Hard,0.804392
BRFC_alpha_0_5_0_0_1_1_Medium,0.732326
BRFC_alpha_0_5_0_0_1_1_Easy,0.659672
KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard,0.774348
KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium,0.708944
KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Easy,0.654111
BRFC_alpha_0_5_0_1_0_0_Hard,0.809036
BRFC_alpha_0_5_0_1_0_0_Medium,0.729999
BRFC_alpha_0_5_0_1_0_0_Easy,0.659825
KBFC_alpha_0_5_gamma_0_0_0_1_0_0_Hard,0.778094
KBFC_alpha_0_5_gamma_0_0_0_1_0_0_Medium,0.711369
KBFC_alpha_0_5_gamma_0_0_0_1_0_0_Easy,0.654148
BRFC_alpha_0_5_0_1_0_1_Hard,0.804142
BRFC_alpha_0_5_0_1_0_1_Medium,0.732679
BRFC_alpha_0_5_0_1_0_1_Easy,0.659825
