Index,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
88,RFC_Hard,0.23,0.23,2077,1000,0.32,579570,26040,88790,19166,0.42,0.18,0.24
91,RFC_Medium,0.20,0.21,2001,1000,0.33,583118,22492,91918,16038,0.42,0.15,0.21
105,RFC_Easy,0.21,0.21,2024,1011,0.33,601300,4310,105950,2006,0.32,0.02,0.04
41,BRFC_alpha_0_5_Hard,0.69,0.70,3833,1883,0.33,566321,39289,66268,41688,0.51,0.39,0.36
69,BRFC_alpha_0_5_Medium,0.74,0.74,1998,1007,0.34,564183,41427,78252,29704,0.42,0.28,0.38
101,BRFC_alpha_0_5_Easy,0.85,0.86,1996,1000,0.33,596771,8839,101850,6106,0.41,0.06,0.08
43,BRFC_alpha_balanced_Hard,0.68,0.69,3639,1748,0.32,565657,39953,66450,41506,0.51,0.38,0.37
74,BRFC_alpha_balanced_Medium,0.76,0.77,2662,1327,0.33,568272,37338,81480,26476,0.41,0.25,0.35
100,BRFC_alpha_balanced_Easy,0.95,0.95,2058,1001,0.33,594529,11081,100936,7020,0.39,0.07,0.10
77,LogReg_alpha_0_5_Hard,0.32,0.32,2025,1000,0.33,565700,39910,77098,30858,0.44,0.29,0.37
89,LogReg_alpha_0_5_Medium,0.33,0.33,1999,1000,0.33,580664,24946,89720,18236,0.42,0.17,0.23
106,LogReg_alpha_0_5_Easy,0.37,0.39,2027,1000,0.33,603906,1704,106956,1000,0.37,0.01,0.02
77,LogReg_alpha_balanced_Hard,0.73,0.73,1968,1000,0.34,565659,39951,77559,30397,0.43,0.28,0.37
90,LogReg_alpha_balanced_Medium,0.74,0.75,2032,1000,0.33,582498,23112,90794,17162,0.43,0.16,0.21
106,LogReg_alpha_balanced_Easy,0.77,0.78,2015,1000,0.33,603850,1760,106956,1000,0.36,0.01,0.02
79,AdaBoost_Hard,0.50,0.50,1990,1000,0.33,569336,36274,79505,28451,0.44,0.26,0.34
89,AdaBoost_Medium,0.50,0.50,1998,1000,0.33,580542,25068,89759,18197,0.42,0.17,0.23
106,AdaBoost_Easy,0.50,0.50,2000,1000,0.33,603842,1768,106955,1001,0.36,0.01,0.02
7,BalBag_Hard,0.70,0.80,28407,13833,0.33,576853,28757,77960,29996,0.51,0.28,0.27
20,BalBag_Medium,0.80,0.85,17762,9752,0.35,586868,18742,93982,13974,0.43,0.13,0.17
98,BalBag_Easy,0.85,0.86,2064,1000,0.33,595936,9674,101916,6040,0.38,0.06,0.09
73,EEC_Hard,0.53,0.53,2324,1141,0.33,570999,34611,83307,24649,0.42,0.23,0.32
75,EEC_Medium,0.52,0.52,2105,1051,0.33,576307,29303,88776,19180,0.40,0.18,0.27
90,EEC_Easy,0.53,0.53,2145,1032,0.32,601133,4477,105709,2247,0.33,0.02,0.04
76,RUSBoost_Hard,0.50,0.50,2001,1000,0.33,563406,42204,76384,31572,0.43,0.29,0.39
107,RUSBoost_Medium,0.51,0.53,2604,1000,0.28,605610,0,107956,0,,0.00,0.00
107,RUSBoost_Easy,0.51,0.54,2749,1001,0.27,605610,0,107956,0,,0.00,0.00
74,KBFC_alpha_0_5_gamma_0_0_Hard,0.35,0.36,1993,1000,0.33,571433,34177,74836,33120,0.49,0.31,0.32
86,KBFC_alpha_0_5_gamma_0_0_Medium,0.33,0.34,1999,1000,0.33,576661,28949,86059,21897,0.43,0.20,0.27
99,KBFC_alpha_0_5_gamma_0_0_Easy,0.31,0.32,2072,1000,0.33,589911,15699,99950,8006,0.34,0.07,0.15
72,KBFC_alpha_balanced_gamma_0_0_Hard,0.74,0.75,2001,1000,0.33,565474,40136,72214,35742,0.47,0.33,0.37
85,KBFC_alpha_balanced_gamma_0_0_Medium,0.75,0.75,1971,1000,0.34,574204,31406,85147,22809,0.42,0.21,0.29
102,KBFC_alpha_balanced_gamma_0_0_Easy,0.74,0.74,2011,1000,0.33,596189,9421,102953,5003,0.35,0.05,0.09
74,KBFC_alpha_0_5_gamma_1_0_Hard,0.41,0.42,1991,1000,0.33,569855,35755,74045,33911,0.49,0.31,0.33
86,KBFC_alpha_0_5_gamma_1_0_Medium,0.40,0.41,1932,1000,0.34,576703,28907,86129,21827,0.43,0.20,0.27
104,KBFC_alpha_0_5_gamma_1_0_Easy,0.41,0.42,2092,1005,0.32,600454,5156,104954,3002,0.37,0.03,0.05
71,KBFC_alpha_0_5_gamma_2_0_Hard,0.44,0.44,1998,1000,0.33,565609,40001,71927,36029,0.47,0.33,0.37
88,KBFC_alpha_0_5_gamma_2_0_Medium,0.44,0.45,1954,1000,0.34,580165,25445,88155,19801,0.44,0.18,0.24
104,KBFC_alpha_0_5_gamma_2_0_Easy,0.44,0.45,1991,1002,0.33,600346,5264,104952,3004,0.36,0.03,0.05
