Index,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
71,RFC_Hard,0.1768584736592775,0.1790614515737433,3937,1000,0.20255215718047398,533999,71611,71789,36167,0.33556941119709033,0.33501611767757233,0.663335062432843
76,RFC_Medium,0.1768977432943025,0.1776253164398027,3150,1000,0.24096385542168675,543926,61684,76916,31040,0.3347569129890859,0.28752454703768204,0.5713809329726925
104,RFC_Easy,0.2053972405550873,0.2081800467669221,2267,1006,0.3073632752826153,599276,6334,104939,3017,0.32263928991551705,0.027946570825150986,0.058672051576568233
23,BRFC_alpha_0_5_Hard,0.51,0.5199999999999999,9460,1670,0.1500449236298293,452174,153436,31952,76004,0.33125871687587166,0.7040275667864686,1.4212827448219645
50,BRFC_alpha_0_5_Medium,0.6062857142857144,0.6116666666666666,3910,1000,0.20366598778004075,500730,104880,55983,51973,0.33134846002307894,0.4814276186594538,0.9715069102226833
89,BRFC_alpha_0_5_Easy,0.7509036522473054,0.7567619047619047,2449,1001,0.2901449275362319,569167,36443,89840,18116,0.33204420902142634,0.1678091074141317,0.3375727148097373
25,BRFC_alpha_balanced_Hard,0.5,0.5096557532096558,8753,1675,0.1606252397391638,457307,148303,33313,74643,0.3348030464776224,0.6914205787543073,1.3737355959835489
53,BRFC_alpha_balanced_Medium,0.62,0.6276545509653614,4088,1196,0.22634367903103708,506328,99282,58514,49442,0.3324413006643178,0.4579828819148542,0.919652450998555
92,BRFC_alpha_balanced_Easy,0.9312561733636976,0.933359660160328,2736,1003,0.2682535437282696,575591,30019,92917,15039,0.33376980780327575,0.13930675460372743,0.2780669902552892
51,LogReg_alpha_0_5_Hard,0.1999644191302005,0.2035844576499182,3836,1000,0.20678246484698098,492336,113274,51097,56859,0.3342032409938107,0.5266867983252436,1.0492608099596132
70,LogReg_alpha_0_5_Medium,0.2275185029147749,0.231259502882708,3412,1000,0.22665457842248413,531525,74085,70720,37236,0.334492144339343,0.34491830004816776,0.6862518062914521
103,LogReg_alpha_0_5_Easy,0.3228054168738428,0.3356083383191734,2231,1002,0.3099288586452212,597505,8105,103955,4001,0.3304972740789691,0.03706139538330431,0.0750768831746267
50,LogReg_alpha_balanced_Hard,0.5837907775894295,0.5894105826688026,3865,1000,0.20554984583761562,490671,114939,50559,57397,0.3330528734565036,0.5316703101263478,1.064683760050391
70,LogReg_alpha_balanced_Medium,0.6257275468688016,0.6307333659614965,3445,1000,0.2249718785151856,531637,73973,70794,37162,0.3343861069869978,0.34423283559968876,0.685214346585646
103,LogReg_alpha_balanced_Easy,0.7312811560678911,0.7428847285698014,2216,1002,0.3113735239279055,597477,8133,103956,4000,0.32967938679634057,0.03705213235021675,0.07533624810107822
51,AdaBoost_Hard,0.4965591098908922,0.4966148120785688,3592,1000,0.21777003484320556,493079,112531,51505,56451,0.334065166704146,0.5229074808255215,1.0423783763755605
70,AdaBoost_Medium,0.496950931663187,0.4970015852203819,3427,1000,0.225886604924328,531508,74102,70759,37197,0.33420785451801005,0.34455704175775315,0.6864092778539405
104,AdaBoost_Easy,0.4983259244793074,0.4984978878068054,2218,1002,0.3111801242236025,599686,5924,104955,3001,0.3362464985994398,0.02779836229575012,0.05487420801067101
4,BalBag_Hard,0.4,0.4999999999999999,77882,12597,0.13922567667635585,444013,161597,36849,71107,0.305568447469747,0.6586664937567157,1.4968783578494942
14,BalBag_Medium,0.6,0.6499999999999999,38637,11084,0.22292391544820095,528443,77167,69534,38422,0.33240187215046413,0.355904257290007,0.7148004742672941
91,BalBag_Easy,0.771926961926962,0.7804545454545454,2530,1000,0.28328611898017,579510,26100,94828,13128,0.3346589171000306,0.1216050983734114,0.24176516358516434
53,EEC_Hard,0.5107171135374232,0.5112448616070855,5985,1839,0.23504601226993865,510793,94817,60653,47303,0.33283844638333804,0.4381692541405758,0.8782930082626255
63,EEC_Medium,0.5125267943257219,0.5133482192284153,3087,1006,0.24578548741754214,539502,66108,74803,33153,0.3339982470456675,0.30709733595168404,0.6123605913520324
90,EEC_Easy,0.5279676130846482,0.5288777342640361,2145,1032,0.32483474976392823,601133,4477,105709,2247,0.33417608566329565,0.020814035347734263,0.0414705991329801
50,RUSBoost_Hard,0.5000810315545984,0.5000865477652279,3780,1000,0.20920502092050208,489631,115979,50383,57573,0.33173342859776894,0.5333006039497573,1.0743173144614473
106,RUSBoost_Medium,0.5071519950146962,0.5080292483495567,2941,1000,0.2537427048972342,603006,2604,106956,1000,0.27746947835738067,0.009263033087554188,0.02412093815999111
106,RUSBoost_Easy,0.5086750504971728,0.5102342858835942,3040,1000,0.24752475247524752,602861,2749,106955,1001,0.26693333333333336,0.009272296120641742,0.025464077957686466
40,KBFC_alpha_0_5_gamma_0_0_Hard,0.17881402,0.18264072,4343,1000,0.18716077110237694,470173,135437,40836,67120,0.33136351742966175,0.6217347808366371,1.2545574122790766
64,KBFC_alpha_0_5_gamma_0_0_Medium,0.21719554,0.22118081,3579,1000,0.21838829438742083,517772,87838,64059,43897,0.3332219987095305,0.4066193634443662,0.8136463003445848
97,KBFC_alpha_0_5_gamma_0_0_Easy,0.30009773,0.30491558,2472,1002,0.28842832469775476,585364,20246,97940,10016,0.3309761416958562,0.09277853940494275,0.18753936789062212
41,KBFC_alpha_balanced_gamma_0_0_Hard,0.5611159,0.5679993,4493,1000,0.1820498816675769,471522,134088,41213,66743,0.3323341516001016,0.6182426173626292,1.242061580643966
64,KBFC_alpha_balanced_gamma_0_0_Medium,0.63172716,0.63694304,3437,1000,0.225377507324769,517247,88363,64146,43810,0.33145952652962407,0.40581347956574904,0.8185093927155508
98,KBFC_alpha_balanced_gamma_0_0_Easy,0.7110874,0.7168934,2473,1001,0.2881404720782959,587333,18277,98951,9005,0.33007110915622023,0.08341361295342548,0.1693004557412279
41,KBFC_alpha_0_5_gamma_1_0_Hard,0.2975829,0.3007536,4405,1000,0.18501387604070305,471104,134506,41045,66911,0.3322013534110825,0.6197988069213384,1.2459335284745636
