Index,Filename,Roll,Min/Max,y_proba_Min,y_proba_Max,y_proba_Diff,TP(Min),TP(Max),TP_Diff,y_proba,Neg,Pos,mprob,TN,FP,FN,TP,FP/P
73,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,mProb_1,Min,0.1017,0.985,0.8833,125999,338,125661,0.1017,0.0,1.0,1.0,22664,653780,257,125999,5.178209352426816
2800,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,mProb_1,Max,0.1017,0.985,0.8833,125999,338,125661,0.985,1.0,1.0,0.5,676414,30,125918,338,0.00023761246990242047
2141,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,mProb_10,Min,0.7467,0.8683,0.12159999999999993,36372,10780,25592,0.7467,44.0,45.0,0.5056179775280899,651621,24823,89884,36372,0.1966084780129261
2588,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,mProb_10,Max,0.7467,0.8683,0.12159999999999993,36372,10780,25592,0.8683,13.0,13.0,0.5,672735,3709,115476,10780,0.029376821695602587
2223,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,mProb_20,Min,0.7665,0.8152,0.04870000000000008,31672,20332,11340,0.7665,113.0,113.0,0.5,656830,19614,94584,31672,0.1553510328222025
2415,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,mProb_20,Max,0.7665,0.8152,0.04870000000000008,31672,20332,11340,0.8152,91.0,90.0,0.4972375690607735,666748,9696,105924,20332,0.0767963502724623
2225,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,mProb_50,Min,0.767,0.7667,-0.00029999999999996696,31647,31648,-1,0.767,2348.0,2411.0,0.5066190376129439,656850,19594,94609,31647,0.15519262450893423
2224,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,mProb_50,Max,0.767,0.7667,-0.00029999999999996696,31647,31648,-1,0.7667,4686.0,4665.0,0.4988771254411293,656850,19594,94608,31648,0.15519262450893423
2229,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,mProb_100,Min,0.768,0.7677,-0.00029999999999996696,31626,31629,-3,0.768,6841.0,7076.0,0.5084429115470288,656859,19585,94630,31626,0.1551213407679635
2228,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,mProb_100,Max,0.768,0.7677,-0.00029999999999996696,31626,31629,-3,0.7677,4912.0,4846.0,0.49661815945890553,656857,19587,94627,31629,0.15513718159929032
2215,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,mProb_200,Min,0.7642,0.764,-0.00019999999999997797,31730,31732,-2,0.7642,11714.0,11792.0,0.5016591508551008,656761,19683,94526,31730,0.15589754150297808
2214,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,mProb_200,Max,0.7642,0.764,-0.00019999999999997797,31730,31732,-2,0.764,12571.0,11946.0,0.48725374230126034,656758,19686,94524,31732,0.15592130274996832
2247,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,mProb_500,Min,0.7722,0.772,-0.00019999999999997797,29362,29364,-2,0.7722,28825.0,29406.0,0.5049887516958321,659044,17400,96894,29362,0.1378152325434039
2246,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,mProb_500,Max,0.7722,0.772,-0.00019999999999997797,29362,29364,-2,0.772,27759.0,27648.0,0.49899832151172235,659044,17400,96892,29364,0.1378152325434039
2297,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,mProb_1000,Min,0.7847,0.7845,-0.00019999999999997797,26949,26950,-1,0.7847,55568.0,55675.0,0.5004809291371143,661193,15251,99307,26949,0.12079425928272716
2296,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,mProb_1000,Max,0.7847,0.7845,-0.00019999999999997797,26949,26950,-1,0.7845,55544.0,55398.0,0.4993419985217501,661193,15251,99306,26950,0.12079425928272716
159,BRFC_alpha_0_5_0_1_0_1_Medium_Round_4,mProb_1,Min,0.0442,0.998,0.9538,126152,156,125996,0.0442,1.0,1.0,0.5,4222,672222,104,126152,5.324277658091496
9088,BRFC_alpha_0_5_0_1_0_1_Medium_Round_4,mProb_1,Max,0.0442,0.998,0.9538,126152,156,125996,0.998,1.0,0.0,0.0,676389,55,126100,156,0.00043562286148777086
8120,BRFC_alpha_0_5_0_1_0_1_Medium_Round_4,mProb_10,Min,0.8596,0.9933,0.13369999999999993,12801,164,12637,0.8596,846.0,849.0,0.5008849557522124,665914,10530,113455,12801,0.08340197693574959
