,count
0.39,14524
0.35,14415
0.37,14388
0.38,14365
0.41,14339
0.36,14167
0.4,14161
0.42,14105
0.33,13988
0.44,13930
0.32,13919
0.34,13882
0.43,13881
0.45,13638
0.3,13625
0.31,13608
0.46,13534
0.29,13398
0.48,13330
0.47,13250
0.28,13003
0.5,12857
0.27,12759
0.49,12692
0.26,12471
0.51,12348
0.52,12092
0.25,12086
0.53,11811
0.24,11805
0.54,11492
0.23,11360
0.55,11298
0.22,11230
0.56,10765
0.57,10616
0.21,10395
0.58,10055
0.2,9968
0.59,9873
0.19,9620
0.6,9308
0.18,8953
0.61,8869
0.62,8700
0.17,8368
0.63,8243
0.16,7993
0.64,7917
0.65,7550
0.66,7404
0.15,7375
0.67,6866
0.14,6844
0.68,6538
0.13,6455
0.69,6155
0.7,5917
0.12,5868
0.71,5758
0.72,5512
0.73,5281
0.11,5279
0.74,4953
0.75,4729
0.1,4623
0.76,4559
0.77,4374
0.78,4138
0.09,4081
0.79,3919
0.8,3789
0.81,3491
0.08,3443
0.82,3318
0.83,3157
0.84,2927
0.07,2860
0.85,2622
0.86,2455
0.06,2326
0.87,2173
0.88,1985
0.05,1867
0.89,1733
0.9,1475
0.91,1328
0.04,1322
0.92,1117
0.93,926
0.03,837
0.94,791
0.95,585
0.02,485
0.96,459
0.97,390
0.355,358
0.385,353
0.455,340
0.345,337
