Filename,n,nUnique,nUnique/n,95%,95%/n,90%,90%/n,80%,80%/n,B[10],B[10]/n,B[20],B[20]/n,B[100],B[100]/n,B[200],B[200],min,max,
AdaBoost_Hard_Run_3,713566,705533,0.9887,669855,0.9387,634176,0.8887,562820,0.7887,102,0.0001,142,0.0002,405,0.0006,705,0.0010,0.4859,0.5067
AdaBoost_Medium_Run_3,713566,637692,0.8937,602014,0.8437,566335,0.7937,494979,0.6937,168,0.0002,289,0.0004,1056,0.0015,1825,0.0026,0.4888,0.5038
AdaBoost_Easy_Run_3,713566,145157,0.2034,109479,0.1534,82996,0.1163,53298,0.0747,1344,0.0019,2465,0.0035,10521,0.0147,19335,0.0271,0.4918,0.4999
BalBag_Hard_Run_3,713566,270,0.0004,9,0.0000,8,0.0000,6,0.0000,706271,0.9898,710207,0.9953,713240,0.9995,713497,0.9999,0.0000,1.0000
BalBag_Medium_Run_3,713566,2422,0.0034,58,0.0001,24,0.0000,11,0.0000,574462,0.8051,632676,0.8866,692905,0.9710,702336,0.9843,0.0000,1.0000
BalBag_Easy_Run_3,713566,49710,0.0697,33954,0.0476,27554,0.0386,19016,0.0266,54940,0.0770,66326,0.0930,103194,0.1446,121912,0.1708,0.0000,1.0000
BRFC_alpha_0_5_Hard_Run_3,713566,3837,0.0054,151,0.0002,83,0.0001,62,0.0001,127249,0.1783,237816,0.3333,663115,0.9293,684399,0.9591,0.0000,1.0000
BRFC_alpha_0_5_Medium_Run_3,713566,36959,0.0518,11341,0.0159,4653,0.0065,1531,0.0021,45521,0.0638,84688,0.1187,263419,0.3692,349462,0.4897,0.0000,1.0000
BRFC_alpha_0_5_Easy_Run_3,713566,136533,0.1913,100855,0.1413,78321,0.1098,50480,0.0707,5496,0.0077,6635,0.0093,14737,0.0207,23680,0.0332,0.0000,1.0000
BRFC_alpha_balanced_Hard_Run_3,713566,5837,0.0082,158,0.0002,83,0.0001,61,0.0001,131647,0.1845,244975,0.3433,662417,0.9283,683821,0.9583,0.0000,1.0000
