Filename,ROC_AUC
AdaBoost_Hard_Run_3,0.752692
AdaBoost_Medium_Run_3,0.701099
AdaBoost_Easy_Run_3,0.655039
BalBag_Hard_Run_3,0.763404
BalBag_Medium_Run_3,0.695103
BalBag_Easy_Run_3,0.656743
BRFC_alpha_0_5_Hard_Run_3,0.801053
BRFC_alpha_0_5_Medium_Run_3,0.730290
BRFC_alpha_0_5_Easy_Run_3,0.664653
BRFC_alpha_balanced_Hard_Run_3,0.800107
BRFC_alpha_balanced_Medium_Run_3,0.727202
BRFC_alpha_balanced_Easy_Run_3,0.648546
EEC_Hard_Run_3,0.730163
EEC_Medium_Run_3,0.687880
EEC_Easy_Run_3,0.652990
KBFC_alpha_0_5_gamma_0_0_Hard_Run_3,0.777820
KBFC_alpha_0_5_gamma_0_0_Medium_Run_3,0.713545
KBFC_alpha_0_5_gamma_0_0_Easy_Run_3,0.659665
KBFC_alpha_balanced_gamma_0_0_Hard_Run_3,0.778248
KBFC_alpha_balanced_gamma_0_0_Medium_Run_3,0.714665
KBFC_alpha_balanced_gamma_0_0_Easy_Run_3,0.659933
KBFC_alpha_0_5_gamma_1_0_Hard_Run_3,0.777771
KBFC_alpha_0_5_gamma_1_0_Medium_Run_3,0.714437
KBFC_alpha_0_5_gamma_1_0_Easy_Run_3,0.659596
KBFC_alpha_0_5_gamma_2_0_Hard_Run_3,0.778369
KBFC_alpha_0_5_gamma_2_0_Medium_Run_3,0.713299
KBFC_alpha_0_5_gamma_2_0_Easy_Run_3,0.659685
LogReg_alpha_0_5_Hard_Run_3,0.753183
LogReg_alpha_0_5_Medium_Run_3,0.701053
LogReg_alpha_0_5_Easy_Run_3,0.655086
LogReg_alpha_balanced_Hard_Run_3,0.754092
LogReg_alpha_balanced_Medium_Run_3,0.701397
LogReg_alpha_balanced_Easy_Run_3,0.655168
RFC_Hard_Run_3,0.710888
RFC_Medium_Run_3,0.677776
RFC_Easy_Run_3,0.647637
RUSBoost_Hard_Run_3,0.753578
RUSBoost_Medium_Run_3,0.571999
RUSBoost_Easy_Run_3,0.561886
