Index,Filename,Roll,Min/Max,Min,Max,Diff,y_proba,Prec,TN,FP,FN,TP,FP/P
2103,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,Prec_1,Min,0.79,0.7997,0.009699999999999931,0.79,0.664547181760608,663202,13242,100023,26233,0.1048821442149284
2135,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,Prec_1,Max,0.79,0.7997,0.009699999999999931,0.7997,0.6651469614385411,663297,13147,100141,26115,0.10412970472690407
2102,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,Prec_10,Min,0.7899,0.8012,0.011299999999999977,0.7899,0.657272108762339,661344,15100,97858,28398,0.11959827651755164
2140,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,Prec_10,Max,0.7899,0.8012,0.011299999999999977,0.8012,0.6757831827114181,665015,11429,102294,23962,0.09052243061715878
2101,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,Prec_20,Min,0.7898,0.8033,0.013500000000000068,0.7898,0.6572720306879243,661343,15101,97858,28398,0.11960619693321506
2145,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,Prec_20,Max,0.7898,0.8033,0.013500000000000068,0.8033,0.6765256168584531,665032,11412,102317,23939,0.09038778355088076
2097,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,Prec_50,Min,0.7888,0.8043,0.01550000000000007,0.7888,0.6569856639030913,661340,15104,97855,28401,0.1196299581802053
2150,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,Prec_50,Max,0.7888,0.8043,0.01550000000000007,0.8043,0.6766256540800453,665043,11401,102330,23926,0.09030065897858319
2101,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,Prec_100,Min,0.7898,0.8046,0.014800000000000035,0.7898,0.656816637508434,661343,15101,97858,28398,0.11960619693321506
2151,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,Prec_100,Max,0.7898,0.8046,0.014800000000000035,0.8046,0.676546501879086,665043,11401,102331,23925,0.09030065897858319
2105,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,Prec_200,Min,0.7908,0.808,0.017200000000000104,0.7908,0.6567194163298515,663207,13237,100023,26233,0.10484254213661133
2160,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,Prec_200,Max,0.7908,0.808,0.017200000000000104,0.808,0.6766465406165575,665098,11346,102409,23847,0.08986503611709543
2155,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,Prec_500,Min,0.806,0.8283,0.022299999999999986,0.806,0.6568648521596533,665079,11365,102378,23878,0.0900155240147003
2222,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,Prec_500,Max,0.806,0.8283,0.022299999999999986,0.8283,0.6765040985104627,668183,8261,106686,19570,0.06543055379546318
2037,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,Prec_1000,Max,,0.771,,0.771,0.5725580054969105,659174,17270,95447,30809,0.13678557850716005
