,count
0.38,14849
0.36,14820
0.35,14745
0.39,14743
0.4,14702
0.33,14622
0.37,14553
0.41,14502
0.42,14500
0.34,14468
0.43,14420
0.44,14300
0.32,14205
0.31,14115
0.45,13941
0.46,13882
0.3,13849
0.47,13820
0.29,13693
0.48,13377
0.27,13350
0.28,13100
0.49,13067
0.5,12670
0.26,12619
0.51,12604
0.25,12576
0.52,12356
0.24,12076
0.53,11847
0.54,11557
0.23,11543
0.22,11240
0.55,11073
0.56,10876
0.21,10726
0.57,10304
0.2,10247
0.58,10144
0.19,9699
0.59,9517
0.6,9338
0.18,9027
0.61,8982
0.17,8641
0.62,8521
0.16,8140
0.63,8060
0.64,7675
0.15,7430
0.65,7287
0.14,6811
0.66,6802
0.67,6585
0.13,6321
0.68,6194
0.69,6077
0.7,5709
0.12,5612
0.71,5427
0.72,5398
0.73,5033
0.11,5029
0.74,4835
0.75,4714
0.76,4615
0.1,4507
0.77,4241
0.78,4139
0.79,3947
0.09,3834
0.8,3826
0.81,3518
0.82,3390
0.08,3313
0.83,3242
0.84,2926
0.85,2781
0.07,2758
0.86,2485
0.06,2313
0.87,2213
0.88,2063
0.05,1879
0.89,1769
0.9,1603
0.91,1417
0.04,1380
0.92,1164
0.93,984
0.03,911
0.94,782
0.95,689
0.02,542
0.96,504
0.97,384
0.415,310
0.375,308
0.405,300
0.365,299
