,count
0.0,4785
0.01,540
1.0,321
0.005,276
0.0066666666666666,260
0.42737239054611,222
0.4284850306751896,221
0.4116729115422613,219
0.4170555512207645,208
0.2419885054169862,201
0.4501780242285054,195
0.02,193
0.2629946524825395,192
0.4174956659650861,192
0.2842194532954755,190
0.4272131615395414,186
0.0033333333333333,184
0.1579701561672314,179
0.2345522065132909,179
0.2404617640641419,170
0.2581330675394417,168
0.1891804622187284,165
0.2528420656227787,163
0.2398986633905316,162
0.4445335130974716,161
0.1824368086331743,160
0.2718008904716567,160
0.4379701532499145,160
0.2320664050990524,157
0.2765545736513682,157
0.2584544225502455,155
0.2598898360612953,155
0.4630644615196142,153
0.2908904114327175,153
0.231374789314958,152
0.4274401048624771,149
0.4647388316373134,148
0.2578969717549646,148
0.1641371174156224,148
0.454180063157305,147
0.2668319273752453,146
0.2772696902853011,146
0.4411873163531025,146
0.4490480584422045,146
0.1380216512913817,146
0.2971054450216293,145
0.3010243025925641,145
0.4374017490042156,145
0.2564713586481738,145
0.1992528583755398,145
0.4256535047118987,144
0.4311435729639002,144
0.1302973243322273,143
0.3200426178698445,143
0.446824307178318,143
0.2627911333374624,143
0.2466770231385935,142
0.3223887397496426,142
0.3042988701171102,141
0.2640024900389011,140
0.2860372694276496,140
0.2114246265445746,139
0.279515858369329,138
0.2930819231741334,138
0.2688251292074762,138
0.2594119840970622,138
0.025,137
0.2844291589350487,137
0.2593051461855017,136
0.4554069765494994,135
0.3043179669811225,135
0.4242629354075739,135
0.3184740575446215,135
0.1651506077525356,135
0.1624834849880409,134
0.2384242469927302,134
0.2367635875846168,133
0.280435917660179,133
0.2621723284103614,132
0.2616044201928929,132
0.2869522777537411,132
0.2550424241545469,132
0.2933510347301348,131
0.2597184767695922,130
0.2683503148073369,130
0.2501366108797691,129
0.3029363399731835,129
0.5110631236793115,128
0.2587750073216592,128
0.1772213871867574,128
0.4714732135702885,128
0.4266013390148933,128
0.015,127
0.4138738543445693,127
0.5395757849268832,126
0.4020021409381511,125
0.2608478341864557,125
0.387701978835301,125
0.1900335648894759,125
0.0075,125
