,count
0.35,5656
0.33,5653
0.34,5537
0.37,5526
0.38,5515
0.32,5515
0.39,5514
0.3,5483
0.31,5466
0.36,5447
0.29,5402
0.42,5399
0.41,5390
0.4,5364
0.44,5320
0.43,5314
0.28,5296
0.45,5206
0.27,5129
0.26,5049
0.47,5035
0.25,4987
0.48,4971
0.46,4924
0.49,4873
0.24,4838
0.5,4745
0.23,4673
0.51,4639
0.52,4616
0.22,4543
0.54,4383
0.53,4369
0.21,4336
0.55,4264
0.2,4212
0.56,4169
0.19,4008
0.58,3937
0.57,3933
0.18,3886
0.59,3876
0.6,3823
0.17,3791
0.61,3687
0.62,3493
0.63,3458
0.64,3450
0.16,3417
0.66,3371
0.65,3276
0.15,3234
0.67,3230
0.68,3131
0.14,3054
0.69,3044
0.7,3010
0.13,2942
0.71,2911
0.72,2848
0.73,2803
0.74,2793
0.12,2666
0.75,2636
0.76,2541
0.78,2509
0.77,2507
0.11,2447
0.79,2442
0.8,2270
0.1,2237
0.81,2232
0.82,2187
0.09,2102
0.83,1967
0.385,1885
0.84,1881
0.375,1861
0.395,1845
0.355,1838
0.405,1836
0.335,1820
0.425,1813
0.08,1811
0.85,1807
0.365,1804
0.445,1773
0.325,1760
0.415,1748
0.345,1747
0.315,1731
0.305,1713
0.455,1702
0.86,1680
0.435,1663
0.295,1642
0.285,1638
0.465,1631
0.495,1622
0.475,1609
