,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec,TP_1,FP_1,Prec_1,Min_1,Max_1,TP_10,FP_10,Prec_10,Min_10,Max_10,TP_20,FP_20,Prec_20,Min_20,Max_20,TP_50,FP_50,Prec_50,Min_50,Max_50,TP_100,FP_100,Prec_100,Min_100,Max_100,TP_200,FP_200,Prec_200,Min_200,Max_200,TP_500,FP_500,Prec_500,Min_500,Max_500,TP_1000,FP_1000,Prec_1000,Min_1000,Max_1000,TP_2000,FP_2000,Prec_2000,Min_2000,Max_2000,mProb,Pos_1,Neg_1,mProb_1,p_Min_1,p_Max_1,Pos_10,Neg_10,mProb_10,p_Min_10,p_Max_10,Pos_20,Neg_20,mProb_20,p_Min_20,p_Max_20,Pos_50,Neg_50,mProb_50,p_Min_50,p_Max_50,Pos_100,Neg_100,mProb_100,p_Min_100,p_Max_100,Pos_200,Neg_200,mProb_200,p_Min_200,p_Max_200,Pos_500,Neg_500,mProb_500,p_Min_500,p_Max_500,Pos_1000,Neg_1000,mProb_1000,p_Min_1000,p_Max_1000,Pos_2000,Neg_2000,mProb_2000,p_Min_2000,p_Max_2000
12,0.0358,0,1,0,3868,601742,28,107928,5.573956056171033,0.1520819535840602,107928.0,601742.0,0.1520819535840602,,0.0358,107933.0,602361.2,0.1519553447008296,,0.0358,107931.3,602100.8,0.15200904297143747,,0.0358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.0358,14.0,1581.0,0.00877742946708464,,0.0358,44.0,5616.0,0.0077738515901060075,,0.0358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0374,0,4,0,3872,601738,28,107928,5.573919004038682,0.1520828107870463,107928.0,601738.0,0.1520828107870463,,0.0374,107931.6,602202.9,0.15198754602121148,,0.0374,107929.45,601859.45,0.15205852049813687,,0.0374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,0.0,,0.0374,14.0,1583.0,0.008766437069505322,,0.0374,37.0,4827.0,0.007606907894736842,,0.0374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0379,0,1,0,3873,601737,28,107928,5.573909741005595,0.1520830250893027,107928.0,601737.0,0.1520830250893027,,0.0379,107928.7,601825.2,0.15206496223550164,,0.0379,107927.6,601618.15,0.15210802122343767,,0.0379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.0379,29.0,3777.0,0.0076195480819758275,,0.0379,37.0,4826.0,0.0076084721365412295,,0.0379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0385,1,9,1,3882,601728,29,107927,5.573826373707807,0.15208375900965962,107927.0,601728.0,0.15208375900965962,,0.0385,107925.8,601447.5,0.15214246152202232,,0.0385,107926.15,601428.05,0.15214705150121052,,0.0385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1.0,9.0,0.1,,0.0385,29.0,3777.0,0.0076195480819758275,,0.0385,29.0,3802.0,0.0075698251109370925,,0.0385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0389,0,3,0,3885,601725,29,107927,5.573798584608544,0.15208440193221467,107927.0,601725.0,0.15208440193221467,,0.0389,107922.9,601069.8,0.15222004401455752,,0.0389,107924.7,601237.4,0.15218622089364336,,0.0389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,,0.0389,29.0,3777.0,0.0076195480819758275,,0.0389,29.0,3813.0,0.0075481520041644976,,0.0389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0392,0,3,0,3888,601722,29,107927,5.573770795509281,0.15208504486020555,107927.0,601722.0,0.15208504486020555,,0.0392,107921.3,600847.4,0.152265894360177,,0.0392,107923.25,601046.7,0.1522254222481503,,0.0392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,,0.0392,16.0,2224.0,0.007142857142857143,,0.0392,29.0,3814.0,0.0075461878740567265,,0.0392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.04,15,2200,15,6088,599522,44,107912,5.553392122716662,0.1525400249351883,107912.0,599522.0,0.1525400249351883,,0.04,107919.7,600624.4,0.1523119026747947,,0.04,107921.8,600855.75,0.15226469856445085,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006772009029345372,15.0,2200.0,0.006772009029345372,,0.04,16.0,2230.0,0.007123775601068566,,0.04,29.0,3819.0,0.007536382536382537,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0457,0,1,0,6089,599521,44,107912,5.553382859683575,0.1525402405598834,107912.0,599521.0,0.1525402405598834,,0.0457,107918.1,600401.6,0.152357897147291,,0.0457,107920.35,600664.95,0.1523039639687699,,0.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.0457,16.0,2228.0,0.0071301247771836,,0.0457,29.0,3816.0,0.007542262678803641,,0.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0458,0,1,0,6090,599520,44,107912,5.553373596650487,0.1525404561851881,107912.0,599520.0,0.1525404561851881,,0.0458,107916.5,600178.8,0.15240392077168144,,0.0458,107917.75,600338.2,0.15237111668458275,,0.0458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.0458,16.0,2228.0,0.0071301247771836,,0.0458,52.0,6535.0,0.007894337331106725,,0.0458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0465,0,1,0,6091,599519,44,107912,5.5533643336174,0.15254067181110242,107912.0,599519.0,0.15254067181110242,,0.0465,107915.0,599955.5,0.15245020099015286,,0.0465,107915.15,600011.45,0.15243833188355968,,0.0465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.0465,15.0,2233.0,0.0066725978647686835,,0.0465,52.0,6535.0,0.007894337331106725,,0.0465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0474,0,7,0,6098,599512,44,107912,5.553299492385787,0.15254218120957164,107912.0,599512.0,0.15254218120957164,,0.0474,107913.5,599732.2,0.15249651061258482,,0.0474,107913.2,599762.3,0.15248966510780718,,0.0474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7.0,0.0,,0.0474,15.0,2233.0,0.0066725978647686835,,0.0474,39.0,4983.0,0.007765830346475508,,0.0474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
