Index,Filename,Roll,Min/Max,Min,Max,Diff,y_proba,Prec,TN,FP,FN,TP,FP/P
1580,AdaBoost_Hard_Run_3_Round_5,Prec_1,Min,0.50257,0.50592,0.003350000000000075,0.50257,0.6571302816901409,604831,779,106463,1493,0.007215902775204713
1839,AdaBoost_Hard_Run_3_Round_5,Prec_1,Max,0.50257,0.50592,0.003350000000000075,0.50592,0.6666666666666666,605608,2,107952,4,1.8526066175108377e-05
1579,AdaBoost_Hard_Run_3_Round_5,Prec_10,Min,0.50256,0.50587,0.003310000000000035,0.50256,0.6571230262016311,604822,788,106449,1507,0.0072992700729927005
1838,AdaBoost_Hard_Run_3_Round_5,Prec_10,Max,0.50256,0.50587,0.003310000000000035,0.50587,0.6666666666666666,605608,2,107951,5,1.8526066175108377e-05
1577,AdaBoost_Hard_Run_3_Round_5,Prec_20,Min,0.50254,0.50296,0.00041999999999997595,0.50254,0.6573367079992343,604803,807,106426,1530,0.00747526770165623
1619,AdaBoost_Hard_Run_3_Round_5,Prec_20,Max,0.50254,0.50296,0.00041999999999997595,0.50296,0.6766980781571926,605134,476,106962,994,0.004409203749675794
1578,AdaBoost_Hard_Run_3_Round_5,Prec_50,Min,0.50255,0.50302,0.00046999999999997044,0.50255,0.6570497509042517,604810,800,106440,1516,0.007410426470043351
1625,AdaBoost_Hard_Run_3_Round_5,Prec_50,Max,0.50255,0.50302,0.00046999999999997044,0.50302,0.6768125707895454,605174,436,107023,933,0.004038682426173626
1584,AdaBoost_Hard_Run_3_Round_5,Prec_100,Min,0.50261,0.5031,0.0004899999999999904,0.50261,0.6573970337174563,604873,737,106505,1451,0.006826855385527437
1633,AdaBoost_Hard_Run_3_Round_5,Prec_100,Max,0.50261,0.5031,0.0004899999999999904,0.5031,0.6769491242322322,605213,397,107101,855,0.003677424135759013
1611,AdaBoost_Hard_Run_3_Round_5,Prec_200,Min,0.50288,0.50335,0.00046999999999997044,0.50288,0.6570990411927082,605083,527,106868,1088,0.004881618437141058
1658,AdaBoost_Hard_Run_3_Round_5,Prec_200,Max,0.50288,0.50335,0.00046999999999997044,0.50335,0.6768505375525574,605336,274,107324,632,0.0025380710659898475
1307,AdaBoost_Medium_Run_3_Round_5,Prec_1,Min,0.50249,0.50289,0.00039999999999995595,0.50249,0.6571428571428571,605598,12,107933,23,0.00011115639705065027
1333,AdaBoost_Medium_Run_3_Round_5,Prec_1,Max,0.50249,0.50289,0.00039999999999995595,0.50289,0.6666666666666666,605609,1,107954,2,9.263033087554189e-06
1309,AdaBoost_Medium_Run_3_Round_5,Prec_10,Min,0.50251,0.50251,0.0,0.50251,0.6656346749226006,605601,9,107935,21,8.33672977879877e-05
1309,AdaBoost_Medium_Run_3_Round_5,Prec_10,Max,0.50251,0.50251,0.0,0.50251,0.6656346749226006,605601,9,107935,21,8.33672977879877e-05
1311,AdaBoost_Medium_Run_3_Round_5,Prec_20,Min,0.50253,0.50255,2.0000000000020002e-05,0.50253,0.6606260296540363,605602,8,107936,20,7.410426470043351e-05
1313,AdaBoost_Medium_Run_3_Round_5,Prec_20,Max,0.50253,0.50255,2.0000000000020002e-05,0.50255,0.6751824817518248,605603,7,107937,19,6.484123161287932e-05
7175,AdaBoost_Easy_Run_3_Round_6,Prec_1,Min,0.49956,0.499719,0.00015900000000002024,0.49956,0.6666666666666666,605605,5,107946,10,4.6315165437770945e-05
7184,AdaBoost_Easy_Run_3_Round_6,Prec_1,Max,0.49956,0.499719,0.00015900000000002024,0.499719,0.6666666666666666,605609,1,107954,2,9.263033087554189e-06
212,BalBag_Hard_Run_3_Round_4,Prec_1,Min,0.9,0.9875,0.08750000000000002,0.9,0.6632357349855101,602240,3370,101319,6637,0.031216421505057615
230,BalBag_Hard_Run_3_Round_4,Prec_1,Max,0.9,0.9875,0.08750000000000002,0.9875,0.6656157835858842,602322,3288,101411,6545,0.030456852791878174
217,BalBag_Hard_Run_3_Round_4,Prec_10,Min,0.925,0.975,0.04999999999999993,0.925,0.6635041682929514,602249,3361,101327,6629,0.03113305420726963
227,BalBag_Hard_Run_3_Round_4,Prec_10,Max,0.925,0.975,0.04999999999999993,0.975,0.6652678239933396,602319,3291,101406,6550,0.030484641891140835
222,BalBag_Hard_Run_3_Round_4,Prec_20,Min,0.9417,0.9417,0.0,0.9417,0.6643344420669053,602258,3352,101335,6621,0.03104968690948164
222,BalBag_Hard_Run_3_Round_4,Prec_20,Max,0.9417,0.9417,0.0,0.9417,0.6643344420669053,602258,3352,101335,6621,0.03104968690948164
2760,BRFC_alpha_0_5_Hard_Run_3_Round_4,Prec_1,Min,0.82,0.8388,0.01880000000000004,0.82,0.6653939972425496,596145,9465,89134,18822,0.0876746081737004
2826,BRFC_alpha_0_5_Hard_Run_3_Round_4,Prec_1,Max,0.82,0.8388,0.01880000000000004,0.8388,0.6761311813459174,597443,8167,90906,17050,0.07565119122605506
2758,BRFC_alpha_0_5_Hard_Run_3_Round_4,Prec_10,Min,0.8197,0.838,0.018299999999999983,0.8197,0.6573873608847843,594860,10750,87611,20345,0.09957760569120754
2822,BRFC_alpha_0_5_Hard_Run_3_Round_4,Prec_10,Max,0.8197,0.838,0.018299999999999983,0.838,0.6760802279545517,597438,8172,90903,17053,0.07569750639149284
