Index,Filename,Roll,Min/Max,Min,Max,Diff,y_proba,Neg,Pos,mprob,TN,FP,FN,TP,FP/P
1272,AdaBoost_Hard_Run_3_Round_5,mProb_1,Min,0.49949,0.50548,0.005990000000000051,0.49949,116.0,114.0,0.4956521739130435,590954,14656,93134,14822,0.1357590129311942
1827,AdaBoost_Hard_Run_3_Round_5,mProb_1,Max,0.49949,0.50548,0.005990000000000051,0.50548,1.0,1.0,0.5,605605,5,107942,14,4.6315165437770945e-05
1357,AdaBoost_Hard_Run_3_Round_5,mProb_10,Min,0.50034,0.50202,0.0016800000000000148,0.50034,632.0,620.0,0.4952076677316294,598529,7081,99503,8453,0.06559153729297121
1525,AdaBoost_Hard_Run_3_Round_5,mProb_10,Max,0.50034,0.50202,0.0016800000000000148,0.50202,165.0,164.0,0.49848024316109424,604220,1390,105537,2419,0.012875615991700323
1375,AdaBoost_Hard_Run_3_Round_5,mProb_20,Min,0.50052,0.50102,0.000500000000000056,0.50052,1099.0,1063.0,0.49167437557816834,599620,5990,100496,7460,0.05548556819444959
1425,AdaBoost_Hard_Run_3_Round_5,mProb_20,Max,0.50052,0.50102,0.000500000000000056,0.50102,757.0,784.0,0.508760545100584,601871,3739,102778,5178,0.03463448071436511
1370,AdaBoost_Hard_Run_3_Round_5,mProb_50,Min,0.50047,0.50097,0.000500000000000056,0.50047,2896.0,2792.0,0.4908579465541491,599332,6278,100225,7731,0.0581533217236652
1420,AdaBoost_Hard_Run_3_Round_5,mProb_50,Max,0.50047,0.50097,0.000500000000000056,0.50097,1917.0,1993.0,0.5097186700767263,601679,3931,102575,5381,0.03641298306717552
1381,AdaBoost_Hard_Run_3_Round_5,mProb_100,Min,0.50058,0.50091,0.00032999999999994145,0.50058,5453.0,5249.0,0.49046907120164457,599939,5671,100823,7133,0.052530660639519805
1414,AdaBoost_Hard_Run_3_Round_5,mProb_100,Max,0.50058,0.50091,0.00032999999999994145,0.50091,4055.0,4220.0,0.5099697885196375,601419,4191,102344,5612,0.038821371669939604
1397,AdaBoost_Hard_Run_3_Round_5,mProb_200,Min,0.50074,0.50115,0.00041000000000002146,0.50074,10127.0,9739.0,0.49023457162992046,600666,4944,101611,6345,0.04579643558486791
1438,AdaBoost_Hard_Run_3_Round_5,mProb_200,Max,0.50074,0.50115,0.00041000000000002146,0.50115,7268.0,7549.0,0.5094823513531754,602302,3308,103267,4689,0.030642113453629258
1501,AdaBoost_Hard_Run_3_Round_5,mProb_500,Min,0.50178,0.50217,0.00039000000000000146,0.50178,17531.0,16866.0,0.4903334593133122,603831,1779,105066,2890,0.016478935862758903
1540,AdaBoost_Hard_Run_3_Round_5,mProb_500,Max,0.50178,0.50217,0.00039000000000000146,0.50217,12707.0,13214.0,0.509779715288762,604425,1185,105826,2130,0.010976694208751714
1012,AdaBoost_Medium_Run_3_Round_5,mProb_1,Min,0.49951,0.50274,0.003229999999999955,0.49951,80.0,81.0,0.5031055900621118,597225,8385,100116,7840,0.07767053243914188
1328,AdaBoost_Medium_Run_3_Round_5,mProb_1,Max,0.49951,0.50274,0.003229999999999955,0.50274,1.0,1.0,0.5,605608,2,107949,7,1.8526066175108377e-05
1068,AdaBoost_Medium_Run_3_Round_5,mProb_10,Min,0.50007,0.50254,0.0024699999999999722,0.50007,568.0,551.0,0.4924039320822163,601416,4194,103600,4356,0.038849160769202265
1312,AdaBoost_Medium_Run_3_Round_5,mProb_10,Max,0.50007,0.50254,0.0024699999999999722,0.50254,7.0,7.0,0.5,605603,7,107936,20,6.484123161287932e-05
1066,AdaBoost_Medium_Run_3_Round_5,mProb_20,Min,0.50005,0.5025,0.002449999999999952,0.50005,1190.0,1145.0,0.49036402569593146,601314,4296,103488,4468,0.0397939901441328
1308,AdaBoost_Medium_Run_3_Round_5,mProb_20,Max,0.50005,0.5025,0.002449999999999952,0.5025,16.0,16.0,0.5,605599,11,107935,21,0.00010189336396309608
1085,AdaBoost_Medium_Run_3_Round_5,mProb_50,Min,0.50024,0.5009,0.0006599999999999939,0.50024,2452.0,2362.0,0.4906522642293311,602323,3287,104490,3466,0.030447589758790618
1151,AdaBoost_Medium_Run_3_Round_5,mProb_50,Max,0.50024,0.5009,0.0006599999999999939,0.5009,1160.0,1198.0,0.5080576759966073,604516,1094,106647,1309,0.010133758197784282
1104,AdaBoost_Medium_Run_3_Round_5,mProb_100,Min,0.50043,0.50093,0.0004999999999999449,0.50043,4100.0,3955.0,0.4909993792675357,603127,2483,105278,2678,0.02300011115639705
1154,AdaBoost_Medium_Run_3_Round_5,mProb_100,Max,0.50043,0.50093,0.0004999999999999449,0.50093,2193.0,2274.0,0.5090664875755541,604581,1029,106732,1224,0.00953166104709326
1132,AdaBoost_Medium_Run_3_Round_5,mProb_200,Min,0.50071,0.50123,0.0005199999999999649,0.50071,6632.0,6376.0,0.490159901599016,604020,1590,106145,1811,0.01472822260921116
1184,AdaBoost_Medium_Run_3_Round_5,mProb_200,Max,0.50071,0.50123,0.0005199999999999649,0.50123,3366.0,3500.0,0.5097582289542674,605091,519,107291,665,0.004807514172440624
128,AdaBoost_Easy_Run_3_Round_6,mProb_1,Min,0.492193,0.499748,0.007555000000000034,0.492193,1.0,1.0,0.5,372,605238,10,107946,5.606339619845122
7185,AdaBoost_Easy_Run_3_Round_6,mProb_1,Max,0.492193,0.499748,0.007555000000000034,0.499748,1.0,1.0,0.5,605610,0,107955,1,0.0
6951,AdaBoost_Easy_Run_3_Round_6,mProb_10,Min,0.499074,0.499486,0.00041199999999996795,0.499074,38.0,38.0,0.5,604897,713,107523,433,0.006604542591426137
7168,AdaBoost_Easy_Run_3_Round_6,mProb_10,Max,0.499074,0.499486,0.00041199999999996795,0.499486,6.0,6.0,0.5,605600,10,107944,12,9.263033087554189e-05
7160,AdaBoost_Easy_Run_3_Round_6,mProb_20,Min,0.499412,0.499574,0.00016199999999999548,0.499412,23.0,23.0,0.5,605593,17,107937,19,0.00015747156248842122
7176,AdaBoost_Easy_Run_3_Round_6,mProb_20,Max,0.499412,0.499574,0.00016199999999999548,0.499574,12.0,12.0,0.5,605605,5,107947,9,4.6315165437770945e-05
110,BalBag_Hard_Run_3_Round_4,mProb_1,Min,0.5717,0.96,0.3883,0.5717,1.0,1.0,0.5,505454,100156,50294,57662,0.9277483419170773
225,BalBag_Hard_Run_3_Round_4,mProb_1,Max,0.5717,0.96,0.3883,0.96,1.0,1.0,0.5,602297,3313,101369,6587,0.030688428619067027
207,BalBag_Hard_Run_3_Round_4,mProb_50,Min,0.8857,0.8857,0.0,0.8857,28798.0,29767.0,0.5082728592162554,593545,12065,90837,17119,0.11175849420134129
207,BalBag_Hard_Run_3_Round_4,mProb_50,Max,0.8857,0.8857,0.0,0.8857,28798.0,29767.0,0.5082728592162554,593545,12065,90837,17119,0.11175849420134129
9,BalBag_Medium_Run_3_Round_4,mProb_1,Min,0.0325,0.9764,0.9439000000000001,0.0325,1.0,1.0,0.5,54918,550692,2683,105273,5.101078217051391
