Filename,len(y_proba),nUnique(y_proba),len(fpr),nUnique(fpr),len(tpr),nUnique(tpr),len(fpr tpr),nUnique(fpr tpr)
AdaBoost_Hard_Run_3,713566,705533,172148,91832,172148,80979,172148,172148,
AdaBoost_Medium_Run_3,713566,637692,239912,165431,239912,85611,239912,239912,
AdaBoost_Easy_Run_3,713566,145157,127005,116643,127005,54847,127005,127005,
BalBag_Hard_Run_3,713566,270,250,223,250,151,250,250,
BalBag_Medium_Run_3,713566,2422,2214,2069,2214,1129,2214,2214,
BalBag_Easy_Run_3,713566,49710,48507,47138,48507,32576,48507,48507,
BRFC_alpha_0_5_Hard_Run_3,713566,3837,3236,2814,3236,1662,3236,3236,
BRFC_alpha_0_5_Medium_Run_3,713566,36959,29918,27004,29918,12688,29918,29918,
BRFC_alpha_0_5_Easy_Run_3,713566,136533,121085,112175,121085,53781,121085,121085,
BRFC_alpha_balanced_Hard_Run_3,713566,5837,4342,3603,4342,2031,4342,4342,
BRFC_alpha_balanced_Medium_Run_3,713566,120255,77027,65294,77027,26797,77027,77027,
BRFC_alpha_balanced_Easy_Run_3,713566,143736,123041,112935,123041,54364,123041,123041,
EEC_Hard_Run_3,713566,2817,2783,2712,2783,2330,2783,2783,
EEC_Medium_Run_3,713566,3939,3862,3714,3862,2971,3862,3862,
EEC_Easy_Run_3,713566,1151,1152,1150,1152,1131,1152,1152,
KBFC_alpha_0_5_gamma_0_0_Hard_Run_3,713566,694747,178990,103920,178990,77837,178990,178990,
KBFC_alpha_0_5_gamma_0_0_Medium_Run_3,713566,640812,241156,167500,241156,84972,241156,241156,
KBFC_alpha_0_5_gamma_0_0_Easy_Run_3,713566,144085,126393,116191,126393,54656,126393,126393,
KBFC_alpha_balanced_gamma_0_0_Hard_Run_3,713566,695277,177671,102452,177671,78454,177671,177671,
KBFC_alpha_balanced_gamma_0_0_Medium_Run_3,713566,639543,241433,168140,241433,85124,241433,241433,
KBFC_alpha_balanced_gamma_0_0_Easy_Run_3,713566,143854,126134,115932,126134,54557,126134,126134,
KBFC_alpha_0_5_gamma_1_0_Hard_Run_3,713566,689658,184869,110571,184869,78405,184869,184869,
KBFC_alpha_0_5_gamma_1_0_Medium_Run_3,713566,633025,246691,174741,246691,85016,246691,246691,
KBFC_alpha_0_5_gamma_1_0_Easy_Run_3,713566,143596,125960,115927,125960,54512,125960,125960,
KBFC_alpha_0_5_gamma_2_0_Hard_Run_3,713566,680039,195100,122548,195100,78636,195100,195100,
KBFC_alpha_0_5_gamma_2_0_Medium_Run_3,713566,623612,253269,182720,253269,85508,253269,253269,
KBFC_alpha_0_5_gamma_2_0_Easy_Run_3,713566,142715,125363,115257,125363,54397,125363,125363,
LogReg_alpha_0_5_Hard_Run_3,713566,706824,169736,89605,169736,80595,169736,169736,
LogReg_alpha_0_5_Medium_Run_3,713566,654653,230776,153966,230776,85481,230776,230776,
LogReg_alpha_0_5_Easy_Run_3,713566,145118,126973,116564,126973,54739,126973,126973,
LogReg_alpha_balanced_Hard_Run_3,713566,706817,169870,89606,169870,80734,169870,169870,
LogReg_alpha_balanced_Medium_Run_3,713566,654436,230830,154068,230830,85510,230830,230830,
LogReg_alpha_balanced_Easy_Run_3,713566,145082,127014,116719,127014,54701,127014,127014,
RFC_Hard_Run_3,713566,487485,247247,188269,247247,81246,247247,247247,
RFC_Medium_Run_3,713566,225155,162172,136701,162172,62466,162172,162172,
RFC_Easy_Run_3,713566,25558,24886,24020,24886,17040,24886,24886,
RUSBoost_Hard_Run_3,713566,706867,169763,89625,169763,80631,169763,169763,
RUSBoost_Medium_Run_3,713566,654444,237985,157335,237985,89324,237985,237985,
RUSBoost_Easy_Run_3,713566,141981,123892,113692,123892,54045,123892,123892,
