Index,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
23,62,BRFC_alpha_0_5_1_1_0_1_Hard,0.5,0.5099999999999999,11457,1894,0.14186203280653134,490816,185628,33527,92729,0.333129757828975,0.7344522240527183,1.470250918768217
55,112,BRFC_alpha_0_5_1_1_0_1_Medium,0.5883333333333334,0.5919999999999999,3975,1030,0.2057942057942058,543569,132875,60419,65837,0.33131869237892025,0.5214564060321886,1.0524252312761373
100,126,BRFC_alpha_0_5_1_1_0_1_Easy,0.7340293089263679,0.7399639249639249,2748,1000,0.26680896478121663,625832,50612,100958,25298,0.33326307469371624,0.20037067545304776,0.40086807755671017
44,118,KBFC_alpha_0_5_gamma_0_0_1_1_0_1_Hard,0.18472141,0.1883729,4770,1000,0.1733102253032929,512952,163492,44941,81315,0.33215961961872004,0.6440485996705108,1.2949245976428843
73,126,KBFC_alpha_0_5_gamma_0_0_1_1_0_1_Medium,0.2257937,0.2287033,3336,1000,0.23062730627306274,569829,106615,73008,53248,0.3330852042061015,0.42174629324546953,0.8444351159548853
111,127,KBFC_alpha_0_5_gamma_0_0_1_1_0_1_Easy,0.2854222,0.2888604,2444,1000,0.29036004645760743,646319,30125,111238,15018,0.33267616241720754,0.11894880243315169,0.23860252186034722
