Index,,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
905,1235,BRFC_alpha_0_5_0_1_0_0_Hard,0.76,0.76,4,2,0.33,657554,18890,93464,32792,0.63,0.26,0.15
9775,12401,BRFC_alpha_0_5_0_1_0_0_Medium,0.75,0.75,6,3,0.33,634957,41487,93817,32439,0.44,0.26,0.33
15009,63564,BRFC_alpha_0_5_0_1_0_0_Easy,0.40,0.40,2,1,0.33,269433,407011,25365,100891,0.20,0.80,3.22
105746,105747,KBFC_alpha_0_5_gamma_0_0_0_1_0_0_Hard,0.97,0.98,1,1.00,0.50,676444,0,126256.00,0.00,,0.00,0.00
112022,112023,KBFC_alpha_0_5_gamma_0_0_0_1_0_0_Medium,0.87,0.90,1,5.00,0.83,676444,0,126256.00,0.00,,0.00,0.00
64988,64989,KBFC_alpha_0_5_gamma_0_0_0_1_0_0_Easy,0.51,0.51,1,3.00,0.75,676444,0,126256.00,0.00,,0.00,0.00
