Filename,len(y_proba),nUnique(y_proba),len(fpr),nUnique(fpr),len(tpr),nUnique(tpr),len(fpr tpr),nUnique(fpr tpr)
BRFC_alpha_0_5_1_1_0_0_Hard,802700,3021,2584,2197,2584,1340,2584,2584,
BRFC_alpha_0_5_1_1_0_0_Medium,802700,36385,29340,26442,29340,12648,29340,29340,
BRFC_alpha_0_5_1_1_0_0_Easy,802700,164451,144973,132734,144973,64781,144973,144973,
KBFC_alpha_0_5_gamma_0_0_1_1_0_0_Hard,802700,782839,204959,117945,204959,90199,204959,204959,
KBFC_alpha_0_5_gamma_0_0_1_1_0_0_Medium,802700,731879,266191,179809,266191,98461,266191,266191,
KBFC_alpha_0_5_gamma_0_0_1_1_0_0_Easy,802700,177238,153301,139040,153301,66075,153301,153301,
