Index,Filename,Roll,Min/Max,Min,Max,Diff,y_proba,Neg,Pos,mprob,TN,FP,FN,TP,FP/P,,,Model,Features,Roll,$p$,Neg,Pos,$m$Prob,TP,Recall,Model & Features & Roll & $p$ & Neg & Pos & $m$Prob & TP & Recall
8714,LogReg_alpha_balanced_Hard_Run_0_Round_4,mProb_200,Max,0.8733,0.8983,0.025,0.8983,1918,1993,0.509588341,601843,3767,102788,5168,0.034893846,5168,1,,,,,,,,,,
1881,BalBag_Medium_Run_0_Round_4,mProb_20,Max,0.9727,0.9727,0,0.9727,4727,4864,0.507142112,601133,4477,103288,4668,0.041470599,4668,2,"BalBag, $\alpha = 0.85$",Medium,20,0.5195,"4,727","4,864",0.5071,"4,668",0.0432,"BalBag, $\alpha = 0.85$ & Medium & 20 & 0.5195 & 4,727 & 4,864 & 0.5071 & 4,668 & 0.0432"
5450,KBFC_alpha_0_5_gamma_0_0_Medium_Run_0_Round_4,mProb_500,Max,0.5294,0.5463,0.0169,0.5463,2352,2442,0.509386733,602154,3456,103547,4409,0.032013042,4409,2,"Keras, $\alpha = 0.5$, $\gamma = 0.0$",Medium,500,0.5222,"2,352","2,442",0.5094,"4,409",0.0408,"Keras, $\alpha = 0.5$, $\gamma = 0.0$ & Medium & 500 & 0.5222 & 2,352 & 2,442 & 0.5094 & 4,409 & 0.0408"
4903,KBFC_alpha_0_5_gamma_1_0_Medium_Run_0_Round_4,mProb_200,Max,0.5126,0.5263,0.0137,0.5263,1597,1655,0.508917589,602215,3395,103618,4338,0.031447997,4338,2,,,,,,,,,,
4237,KBFC_alpha_0_5_gamma_2_0_Medium_Run_0_Round_4,mProb_100,Max,0.519,0.5254,0.0064,0.5254,1164,1198,0.50719729,602326,3284,103869,4087,0.030419801,4087,2,,,,,,,,,,
8669,KBFC_alpha_balanced_gamma_0_0_Medium_Run_0_Round_4,mProb_500,Max,0.8688,0.88,0.0112,0.88,4715,4900,0.509620385,602878,2732,104396,3560,0.025306606,3560,2,,,,,,,,,,
8962,BRFC_alpha_balanced_Medium_Run_0_Round_4,mProb_1000,Max,0.9326,0.9353,0.0027,0.9353,8397,8235,0.49512987,602886,2724,104701,3255,0.025232502,3255,2,,,,,,,,,,
1660,RFC_Hard_Run_0_Round_4,mProb_20,Max,0.2718,0.2722,0.0004,0.2722,296,306,0.508305648,604026,1584,105165,2791,0.014672644,2791,1,,,,,,,,,,
987,EEC_Hard_Run_0_Round_4,mProb_100,Max,0.5585,0.5606,0.0021,0.5606,3358,3480,0.508920737,603882,1728,105819,2137,0.016006521,2137,1,,,,,,,,,,
8998,BalBag_Easy_Run_0_Round_4,mProb_20,Min,0.9528,0.9532,0.0004,0.9528,65,64,0.496124031,603610,2000,106286,1670,0.018526066,1670,3,,,,,,,,,,
