Index,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P,Hard,Medium,Easy
693338,705474,AdaBoost_Hard_Run_0,0.500628356,0.500628356,0,1,1,600212,5398,101131,6825,0.558373558,0.063220201,0.050001853,1,0,0
694842,706983,LogReg_alpha_balanced_Hard_Run_1,0.883045397,0.883045397,1,0,0,600212,5398,101132,6824,0.558337424,0.063210938,0.050001853,1,0,0
241,265,BalBag_Hard_Run_0,0.9,0.9,8625,10435,0.547481637,602116,3494,101421,6535,0.65161033,0.060533921,0.032365038,1,0,0
447903,458530,RFC_Hard_Run_0,0.25808094,0.25808094,1,0,0,600212,5398,102135,5821,0.518851948,0.053920116,0.050001853,1,0,0
494055,504600,RFC_Hard_Run_1,0.258468981,0.258468981,1,0,0,600212,5398,102340,5616,0.509896495,0.052021194,0.050001853,1,0,0
2741,3015,EEC_Hard_Run_0,0.548363948,0.548363948,504,468,0.481481481,600443,5167,102625,5331,0.507811012,0.049381229,0.047862092,1,0,0
2737,3005,EEC_Hard_Run_1,0.548250674,0.548250674,515,496,0.490603363,600377,5233,102656,5300,0.50318048,0.049094075,0.048473452,1,0,0
35772,37041,BRFC_alpha_0_5_Medium_Run_0,0.89,0.89,470,640,0.576576577,600288,5322,101267,6689,0.556906169,0.061960428,0.049297862,0,1,0
35979,37259,BRFC_alpha_0_5_Medium_Run_1,0.89,0.89,534,604,0.530755712,600252,5358,101295,6661,0.554205841,0.061701063,0.049631331,0,1,0
629512,640914,KBFC_alpha_0_5_gamma_0_0_Medium_Run_0,0.5117309,0.5117309,1,0,0,600212,5398,101643,6313,0.539065836,0.058477528,0.050001853,0,1,0
621489,632818,KBFC_alpha_0_5_gamma_1_0_Medium_Run_0,0.505561,0.505561,1,0,0,600212,5398,101662,6294,0.538316798,0.05830153,0.050001853,0,1,0
628130,639395,KBFC_alpha_0_5_gamma_0_0_Medium_Run_1,0.5208841,0.5208841,1,0,0,600212,5398,101728,6228,0.535695854,0.05769017,0.050001853,0,1,0
629261,640436,KBFC_alpha_balanced_gamma_0_0_Medium_Run_0,0.8572825,0.8572825,1,0,0,600212,5398,101829,6127,0.531626898,0.056754604,0.050001853,0,1,0
611863,623001,KBFC_alpha_0_5_gamma_2_0_Medium_Run_0,0.5103964,0.5103964,1,0,0,600212,5398,101849,6107,0.53081269,0.056569343,0.050001853,0,1,0
622460,633632,KBFC_alpha_0_5_gamma_1_0_Medium_Run_1,0.5176426,0.5176426,1,0,0,600212,5398,101851,6105,0.530731114,0.056550817,0.050001853,0,1,0
612088,623139,KBFC_alpha_0_5_gamma_2_0_Medium_Run_1,0.5090074,0.5090074,1,0,0,600212,5398,101916,6040,0.528064347,0.05594872,0.050001853,0,1,0
628832,639864,KBFC_alpha_balanced_gamma_0_0_Medium_Run_1,0.85159016,0.85159016,0,1,1,600212,5398,101985,5971,0.525200106,0.055309571,0.050001853,0,1,0
117612,120344,BRFC_alpha_balanced_Medium_Run_0,0.907668732,0.907668732,12,2,0.142857143,600212,5398,102120,5836,0.519494392,0.054059061,0.050001853,0,1,0
116929,119692,BRFC_alpha_balanced_Medium_Run_1,0.907354466,0.907354466,1,0,0,600212,5398,102133,5823,0.518937706,0.053938642,0.050001853,0,1,0
644024,654624,LogReg_alpha_0_5_Medium_Run_1,0.48518263,0.48518263,1,0,0,600212,5398,102498,5458,0.502763449,0.050557635,0.050001853,0,1,0
644141,654707,LogReg_alpha_0_5_Medium_Run_0,0.485269333,0.485269333,2,0,0,600213,5397,102500,5456,0.502718142,0.050539109,0.04999259,0,1,0
630506,640991,AdaBoost_Medium_Run_0,0.499883535,0.499883535,1,0,0,600212,5398,102556,5400,0.50009261,0.050020379,0.050001853,0,1,0
644237,654707,LogReg_alpha_balanced_Medium_Run_0,0.846203833,0.846203833,1,0,0,600212,5398,102591,5365,0.49846697,0.049696173,0.050001853,0,1,0
627570,638009,AdaBoost_Medium_Run_1,0.499894107,0.499894107,1,0,0,600212,5398,102597,5359,0.498187227,0.049640594,0.050001853,0,1,0
644042,654449,LogReg_alpha_balanced_Medium_Run_1,0.846407859,0.846407859,0,1,1,600212,5398,102623,5333,0.496971391,0.049399755,0.050001853,0,1,0
2304,2362,BalBag_Medium_Run_0,0.933333333,0.933333333,140,56,0.285714286,600221,5389,102721,5235,0.492752259,0.048491978,0.049918485,0,1,0
2309,2362,BalBag_Medium_Run_1,0.941666667,0.941666667,40,24,0.375,600214,5396,102786,5170,0.489305319,0.047889881,0.049983327,0,1,0
201703,210190,RFC_Medium_Run_0,0.239574912,0.239574912,1,0,0,600212,5398,103103,4853,0.473417228,0.0449535,0.050001853,0,1,0
146583,153350,RFC_Medium_Run_1,0.24288919,0.24288919,1,0,0,600212,5398,103250,4706,0.465756136,0.043591834,0.050001853,0,1,0
3961,4286,EEC_Medium_Run_1,0.542422382,0.542422382,0,1,1,600194,5416,103293,4663,0.462645104,0.043193523,0.050168587,0,1,0
2276,2499,EEC_Medium_Run_0,0.542371036,0.542371036,468,341,0.421508035,600250,5360,103381,4575,0.460493206,0.042378376,0.049649857,0,1,0
647396,654335,RUSBoost_Medium_Run_1,0.504281327,0.504281327,1,0,0,600212,5398,105966,1990,0.269355712,0.018433436,0.050001853,0,1,0
647441,654140,RUSBoost_Medium_Run_0,0.504339115,0.504339115,0,1,1,600212,5398,106165,1791,0.249130616,0.016590092,0.050001853,0,1,0
132409,136745,BRFC_alpha_0_5_Easy_Run_1,0.888666667,0.888666667,2,0,0,600213,5397,103717,4239,0.439912827,0.039265997,0.04999259,0,0,1
132340,136657,BRFC_alpha_0_5_Easy_Run_0,0.88884127,0.88884127,1,0,0,600212,5398,103793,4163,0.435414706,0.038562007,0.050001853,0,0,1
140276,143767,BRFC_alpha_balanced_Easy_Run_1,0.965041996,0.965041996,1,0,0,600212,5398,103860,4096,0.431430377,0.037941384,0.050001853,0,0,1
140165,143622,BRFC_alpha_balanced_Easy_Run_0,0.965361853,0.965361853,4,2,0.333333333,600211,5399,104062,3894,0.419025073,0.036070251,0.050011116,0,0,1
