,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec,TP_1,FP_1,Prec_1,Min_1,Max_1,TP_10,FP_10,Prec_10,Min_10,Max_10,TP_20,FP_20,Prec_20,Min_20,Max_20,TP_50,FP_50,Prec_50,Min_50,Max_50,TP_100,FP_100,Prec_100,Min_100,Max_100,TP_200,FP_200,Prec_200,Min_200,Max_200,TP_500,FP_500,Prec_500,Min_500,Max_500,TP_1000,FP_1000,Prec_1000,Min_1000,Max_1000,TP_2000,FP_2000,Prec_2000,Min_2000,Max_2000,mProb,Pos_1,Neg_1,mProb_1,p_Min_1,p_Max_1,Pos_10,Neg_10,mProb_10,p_Min_10,p_Max_10,Pos_20,Neg_20,mProb_20,p_Min_20,p_Max_20,Pos_50,Neg_50,mProb_50,p_Min_50,p_Max_50,Pos_100,Neg_100,mProb_100,p_Min_100,p_Max_100,Pos_200,Neg_200,mProb_200,p_Min_200,p_Max_200,Pos_500,Neg_500,mProb_500,p_Min_500,p_Max_500,Pos_1000,Neg_1000,mProb_1000,p_Min_1000,p_Max_1000,Pos_2000,Neg_2000,mProb_2000,p_Min_2000,p_Max_2000
12,0.0367,0,2,0,2012,674432,15,126241,5.341781776707641,0.15766861128076007,126241.0,674432.0,0.15766861128076007,,0.0367,126239.0,673971.8,0.15775718098281102,,0.0367,126238.9,673968.2,0.15775778545329078,,0.0367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,,0.0367,14.0,2417.0,0.005758946935417524,,0.0367,35.0,4843.0,0.007175071750717507,,0.0367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.04,6,1405,6,3417,673027,21,126235,5.3306535927005445,0.15793944914183333,126235.0,673027.0,0.15793944914183333,,0.04,126237.6,673730.0,0.15780339103733704,,0.04,126237.15,673725.5,0.1578038049651443,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004252303330970942,6.0,1405.0,0.004252303330970942,,0.04,14.0,2418.0,0.005756578947368421,,0.04,35.0,4854.0,0.007158928206177132,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0429,1,1,1,3418,673026,22,126234,5.330645672284882,0.15793859319870882,126234.0,673026.0,0.15793859319870882,,0.0429,126236.9,673587.5,0.15783076885376338,,0.0429,126235.4,673482.75,0.15784986247967486,,0.0429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,0.5,0.0429,0.0429,7.0,1425.0,0.004888268156424581,,0.0429,35.0,4855.0,0.007157464212678937,,0.0429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0433,0,3,0,3421,673023,22,126234,5.330621911037891,0.15793918601901516,126234.0,673023.0,0.15793918601901516,,0.0433,126236.2,673445.0,0.15785815647535542,,0.0433,126233.9,673267.4,0.15789080017756066,,0.0433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,,0.0433,7.0,1425.0,0.004888268156424581,,0.0433,30.0,4307.0,0.006917223887479825,,0.0433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.044,0,2,0,3423,673021,22,126234,5.3306060702065645,0.1579395812350251,126234.0,673021.0,0.1579395812350251,,0.044,126233.9,673116.5,0.1579206065325044,,0.044,126232.4,673052.0,0.15793176996823657,,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,,0.044,23.0,3285.0,0.006952841596130592,,0.044,30.0,4308.0,0.006915629322268326,,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.045,0,4,0,3427,673017,22,126234,5.330574388543911,0.15794037167297884,126234.0,673017.0,0.15794037167297884,,0.045,126231.6,672787.9,0.15798312807134246,,0.045,126229.7,672715.55,0.15799543210251266,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,0.0,,0.045,23.0,3286.0,0.00695074040495618,,0.045,54.0,6729.0,0.00796107916850951,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0467,0,1,0,3428,673016,22,126234,5.330566468128247,0.15794056928370348,126234.0,673016.0,0.15794056928370348,,0.0467,126229.3,672458.3,0.15804589929779803,,0.0467,126227.0,672379.2,0.15805912851665815,,0.0467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.0467,23.0,3296.0,0.00692979813196746,,0.0467,54.0,6727.0,0.007963427223123433,,0.0467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.048,0,1,0,3429,673015,22,126234,5.330558547712584,0.15794076689492262,126234.0,673015.0,0.15794076689492262,,0.048,126227.6,672269.0,0.15808157479944188,,0.048,126224.65,672092.5,0.15811341394832867,,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.048,17.0,1893.0,0.008900523560209424,,0.048,47.0,5734.0,0.008130081300813009,,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.05,16,1861,16,5290,671154,38,126218,5.31581865416297,0.1582924908323844,126218.0,671154.0,0.1582924908323844,,0.05,126226.0,672079.7,0.15811737283098443,,0.05,126222.3,671805.7,0.15816775852476356,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008524240809802876,16.0,1861.0,0.008524240809802876,,0.05,16.0,1893.0,0.008381351492928235,,0.05,47.0,5736.0,0.008127269583261282,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0533,0,6,0,5296,671148,38,126218,5.31577113166899,0.15829368194781318,126218.0,671148.0,0.15829368194781318,,0.0533,126224.4,671890.5,0.15815316817165045,,0.0533,126219.95,671518.35,0.15822225158300662,,0.0533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,0.0,,0.0533,16.0,1892.0,0.008385744234800839,,0.0533,47.0,5747.0,0.008111839834311357,,0.0533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
