,count
0.086776055,20
0.101256214,18
0.09123337,16
0.08305376,12
0.13251255,8
0.023087958,5
0.115798846,5
0.030156987,5
0.4789752,5
0.06249288,5
0.21349545,4
0.08595538,4
0.052207317,4
0.07019617,4
0.15139638,4
0.19010535,4
0.20105743,4
0.08012693,4
0.08853474,4
0.5374251,4
0.09798956,4
0.064591825,4
0.039112505,4
0.033127923,4
0.10332996,4
0.067868546,4
0.07150034,4
0.18346179,4
0.04520736,4
0.018999927,4
0.12492579,4
0.1358093,4
0.024743823,4
0.20508054,4
0.12264474,4
0.035274744,4
0.04382303,4
0.23670372,4
0.014745024,4
0.0696492,4
0.0655501,4
0.1767788,4
0.13114215,4
0.14112793,4
0.06648794,4
0.10908784,4
0.07436093,3
0.097758144,3
0.14256114,3
0.07379931,3
0.0838525,3
0.11105251,3
0.074949205,3
0.045099847,3
0.67042273,3
0.31392443,3
0.065452814,3
0.04874631,3
0.2520747,3
0.15372658,3
0.30147198,3
0.05593292,3
0.058562234,3
0.03511116,3
0.055809487,3
0.06918245,3
0.07331843,3
0.346759,3
0.27094185,3
0.062992334,3
0.04791813,3
0.054449245,3
0.06512312,3
0.15335938,3
0.09557383,3
0.051120672,3
0.027650686,3
0.078769,3
0.0812851,3
0.19303101,3
0.052338894,3
0.06175345,3
0.04360781,3
0.061881624,3
0.13036168,3
0.06736307,3
0.041786864,3
0.0579793,3
0.039456576,3
0.25186077,3
0.2869991,3
0.30712968,3
0.15442196,3
0.18231022,3
0.09770832,3
0.092635624,3
0.19465725,3
0.19167736,3
0.108469404,3
0.12781806,3
