Index,,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
70,113,BRFC_alpha_0_5_0_0_0_0_Hard,0.67,0.67,4308,2133,0.33,627576,48868,71925,54331,0.53,0.43,0.39
430,572,BRFC_alpha_0_5_0_0_0_0_Medium,0.72,0.72,2110,1052,0.33,625454,50990,89086,37170,0.42,0.29,0.40
973,1243,BRFC_alpha_0_5_0_0_0_0_Easy,0.73,0.73,202,101,0.33,620706,55738,98848,27408,0.33,0.22,0.44
827,1178,KBFC_alpha_0_5_gamma_0_0_0_0_0_0_Hard,0.35,0.35,200,100,0.33,630425,46019,82764,43492,0.49,0.34,0.36
948,1248,KBFC_alpha_0_5_gamma_0_0_0_0_0_0_Medium,0.32,0.32,200,100,0.33,631842,44602,94898,31358,0.41,0.25,0.35
1191,1247,KBFC_alpha_0_5_gamma_0_0_0_0_0_0_Easy,0.34,0.34,205,102,0.33,666982,9462,120711,5545,0.37,0.04,0.07
78,121,BRFC_alpha_0_5_0_0_0_1_Hard,0.68,0.69,205,105,0.34,630153,46291,75434,50822,0.52,0.40,0.37
534,634,BRFC_alpha_0_5_0_0_0_1_Medium,0.79,0.79,202,101,0.33,648464,27980,100629,25627,0.48,0.20,0.22
973,1243,BRFC_alpha_0_5_0_0_0_1_Easy,0.73,0.73,202,101,0.33,620706,55738,98848,27408,0.33,0.22,0.44
870,1178,KBFC_alpha_0_5_gamma_0_0_0_0_0_1_Hard,0.37,0.38,200,100,0.33,638215,38229,87024,39232,0.51,0.31,0.30
914,1247,KBFC_alpha_0_5_gamma_0_0_0_0_0_1_Medium,0.29,0.29,200,100,0.33,624065,52379,91453,34803,0.40,0.28,0.41
1191,1247,KBFC_alpha_0_5_gamma_0_0_0_0_0_1_Easy,0.34,0.34,205,102,0.33,666982,9462,120711,5545,0.37,0.04,0.07
75,117,BRFC_alpha_0_5_0_0_1_0_Hard,0.68,0.69,209,103,0.33,632091,44353,74579,51677,0.54,0.41,0.35
484,592,BRFC_alpha_0_5_0_0_1_0_Medium,0.77,0.77,201,100,0.33,642199,34245,98025,28231,0.45,0.22,0.27
1051,1244,BRFC_alpha_0_5_0_0_1_0_Easy,0.77,0.77,200,100,0.33,640404,36040,106618,19638,0.35,0.16,0.29
870,1177,KBFC_alpha_0_5_gamma_0_0_0_0_1_0_Hard,0.36,0.36,201,100,0.33,637851,38593,87044,39212,0.50,0.31,0.31
977,1249,KBFC_alpha_0_5_gamma_0_0_0_0_1_0_Medium,0.33,0.33,200,100,0.33,637630,38814,97820,28436,0.42,0.23,0.31
