Index,Filename,Roll,Min/Max,y_proba_Min,y_proba_Max,y_proba_Diff,TP(Min),TP(Max),TP_Diff,y_proba,Neg,Pos,mprob,TN,FP,FN,TP,FP/P
178,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,mProb_1,Min,0.1717,0.9632,0.7915,125160,976,124184,0.1717,0.0,1.0,1.0,70430,606014,1096,125160,4.799882777848182
2630,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,mProb_1,Max,0.1717,0.9632,0.7915,125160,976,124184,0.9632,1.0,0.0,0.0,676326,118,125280,976,0.0009346090482828539
1782,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,mProb_10,Min,0.6812,0.8585,0.1773,51887,13417,38470,0.6812,13.0,13.0,0.5,631925,44519,74369,51887,0.3526089849195286
2424,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,mProb_10,Max,0.6812,0.8585,0.1773,51887,13417,38470,0.8585,28.0,20.0,0.4166666666666667,671816,4628,112839,13417,0.036655683690280064
1979,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,mProb_20,Min,0.734,0.8147,0.0807,40193,21728,18465,0.734,99.0,99.0,0.5,649387,27057,86063,40193,0.21430268660499302
2285,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,mProb_20,Max,0.734,0.8147,0.0807,40193,21728,18465,0.8147,81.0,81.0,0.5,666926,9518,104528,21728,0.07538651628437461
2083,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,mProb_50,Min,0.7608,0.763,0.0021999999999999797,33123,33111,12,0.7608,2441.0,2444.0,0.5003070624360286,657184,19260,93133,33123,0.15254720567735394
2093,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,mProb_50,Max,0.7608,0.763,0.0021999999999999797,33123,33111,12,0.763,2421.0,2417.0,0.4995866060355519,657205,19239,93145,33111,0.15238087694842226
2092,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,mProb_100,Min,0.7627,0.7625,-0.000200000000000089,33111,33112,-1,0.7627,4736.0,4820.0,0.5043951444118878,657204,19240,93145,33111,0.15238879736408567
2091,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,mProb_100,Max,0.7627,0.7625,-0.000200000000000089,33111,33112,-1,0.7625,7185.0,7068.0,0.49589560092612084,657203,19241,93144,33112,0.15239671777974909
