Filename,len(y_proba),nUnique(y_proba),len(fpr),nUnique(fpr),len(tpr),nUnique(tpr),len(fpr tpr),nUnique(fpr tpr)
BRFC_alpha_0_5_1_0_1_0_Hard,802700,3151,2656,2277,2656,1408,2656,2656,
BRFC_alpha_0_5_1_0_1_0_Medium,802700,39668,31853,28698,31853,13661,31853,31853,
BRFC_alpha_0_5_1_0_1_0_Easy,802700,164589,145074,132791,145074,64803,145074,145074,
KBFC_alpha_0_5_gamma_0_0_1_0_1_0_Hard,802700,781349,206623,119980,206623,90175,206623,206623,
KBFC_alpha_0_5_gamma_0_0_1_0_1_0_Medium,802700,728970,268706,182355,268706,98848,268706,268706,
KBFC_alpha_0_5_gamma_0_0_1_0_1_0_Easy,802700,177453,153554,139247,153554,66169,153554,153554,
