Index,Filename,Roll,Min/Max,y_proba_Min,y_proba_Max,y_proba_Diff,TP(Min),TP(Max),TP_Diff,y_proba,Neg,Pos,mprob,TN,FP,FN,TP,FP/P
262,BRFC_alpha_0_5_1_0_0_1_Hard_Round_4,mProb_1,Min,0.212,0.9767,0.7647,124011,626,123385,0.212,1.0,1.0,0.5,110220,566224,2245,124011,4.4847294386009375
2791,BRFC_alpha_0_5_1_0_0_1_Hard_Round_4,mProb_1,Max,0.212,0.9767,0.7647,124011,626,123385,0.9767,1.0,0.0,0.0,676385,59,125630,626,0.00046730452414142697
2078,BRFC_alpha_0_5_1_0_0_1_Hard_Round_4,mProb_10,Min,0.7215,0.873,0.15149999999999997,41125,9219,31906,0.7215,24.0,24.0,0.5,645648,30796,85131,41125,0.24391712077049804
2606,BRFC_alpha_0_5_1_0_0_1_Hard_Round_4,mProb_10,Max,0.7215,0.873,0.15149999999999997,41125,9219,31906,0.873,26.0,22.0,0.4583333333333333,673483,2961,117037,9219,0.0234523507793689
2121,BRFC_alpha_0_5_1_0_0_1_Hard_Round_4,mProb_20,Min,0.7323,0.7975,0.06520000000000004,38602,24535,14067,0.7323,46.0,51.0,0.5257731958762887,648747,27697,87654,38602,0.219371752629578
2370,BRFC_alpha_0_5_1_0_0_1_Hard_Round_4,mProb_20,Max,0.7323,0.7975,0.06520000000000004,38602,24535,14067,0.7975,104.0,98.0,0.48514851485148514,663414,13030,101721,24535,0.10320301609428463
2261,BRFC_alpha_0_5_1_0_0_1_Hard_Round_4,mProb_50,Min,0.7682,0.7681,-9.999999999998899e-05,31485,31485,0,0.7682,2428.0,2435.0,0.5007197203372404,657079,19365,94771,31485,0.15337884932201243
2260,BRFC_alpha_0_5_1_0_0_1_Hard_Round_4,mProb_50,Max,0.7682,0.7681,-9.999999999998899e-05,31485,31485,0,0.7681,4791.0,4554.0,0.4873194221508828,657078,19366,94771,31485,0.15338676973767584
2280,BRFC_alpha_0_5_1_0_0_1_Hard_Round_4,mProb_100,Min,0.7733,0.7732,-9.999999999998899e-05,29226,29250,-24,0.7733,6936.0,6937.0,0.5000360412311684,659311,17133,97030,29226,0.13570048156127235
2279,BRFC_alpha_0_5_1_0_0_1_Hard_Round_4,mProb_100,Max,0.7733,0.7732,-9.999999999998899e-05,29226,29250,-24,0.7732,6945.0,6938.0,0.4997478931066772,659282,17162,97006,29250,0.13593017361551135
2254,BRFC_alpha_0_5_1_0_0_1_Hard_Round_4,mProb_200,Min,0.7658,0.7657,-9.999999999998899e-05,31527,31527,0,0.7658,11617.0,11647.0,0.50064477303989,657037,19407,94729,31527,0.1537115067798758
2253,BRFC_alpha_0_5_1_0_0_1_Hard_Round_4,mProb_200,Max,0.7658,0.7657,-9.999999999998899e-05,31527,31527,0,0.7657,14390.0,13826.0,0.4900056705415367,657036,19408,94729,31527,0.15371942719553922
2279,BRFC_alpha_0_5_1_0_0_1_Hard_Round_4,mProb_500,Min,0.7732,0.7727,-0.0004999999999999449,29250,29250,0,0.7732,28650.0,29266.0,0.5053180468264383,659282,17162,97006,29250,0.13593017361551135
2278,BRFC_alpha_0_5_1_0_0_1_Hard_Round_4,mProb_500,Max,0.7732,0.7727,-0.0004999999999999449,29250,29250,0,0.7727,32100.0,31572.0,0.4958537504711647,659281,17163,97006,29250,0.13593809403117477
6,BRFC_alpha_0_5_1_0_0_1_Medium_Round_4,mProb_1,Min,0.0049,0.9975,0.9926,126252,159,126093,0.0049,0.0,1.0,1.0,239,676205,4,126252,5.355824673678875
9055,BRFC_alpha_0_5_1_0_0_1_Medium_Round_4,mProb_1,Max,0.0049,0.9975,0.9926,126252,159,126093,0.9975,2.0,0.0,0.0,676381,63,126097,159,0.000498986186795083
