Index,len,Filename,p,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,FP/P
2986,3551,BRFC_alpha_0_5_1_1_1_1_Hard.csv,0.7991666666666666,1,1,0.5,663321,13123,101458,24798,0.6539384509902165,0.10393961475098214
42041,44721,BRFC_alpha_0_5_1_1_1_1_Medium.csv,0.8495386002886004,3,1,0.25,663818,12626,111754,14502,0.5345768209967561,0.10000316816626537
154770,164589,BRFC_alpha_0_5_1_1_1_1_Easy.csv,0.8549285714285714,1,0,0.0,663818,12626,117057,9199,0.4214891179839633,0.10000316816626537
