Index,Filename,Roll,Min/Max,y_proba_Min,y_proba_Max,y_proba_Diff,TP(Min),TP(Max),TP_Diff,y_proba,Neg,Pos,mprob,TN,FP,FN,TP,FP/P
103,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,mProb_1,Min,0.1283,0.985,0.8567,125858,317,125541,0.1283,1.0,1.0,0.5,34328,642116,398,125858,5.085825624128755
2533,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,mProb_1,Max,0.1283,0.985,0.8567,125858,317,125541,0.985,1.0,1.0,0.5,676418,26,125939,317,0.00020593080724876442
1858,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,mProb_10,Min,0.7222,0.8583,0.1361,42524,13550,28974,0.7222,40.0,40.0,0.5,646118,30326,83732,42524,0.24019452540869346
2314,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,mProb_10,Max,0.7222,0.8583,0.1361,42524,13550,28974,0.8583,13.0,12.0,0.48,671671,4773,112706,13550,0.0378041439614751
1990,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,mProb_20,Min,0.7578,0.765,0.007199999999999984,35344,33041,2303,0.7578,2253.0,2263.0,0.5011071744906997,654707,21737,90912,35344,0.17216607527563046
2015,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,mProb_20,Max,0.7578,0.765,0.007199999999999984,35344,33041,2303,0.765,104.0,104.0,0.5,657001,19443,93215,33041,0.1539966417437587
2005,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,mProb_50,Min,0.7625,0.7623,-0.00019999999999997797,33108,33112,-4,0.7625,2371.0,2379.0,0.5008421052631579,656935,19509,93148,33108,0.15451938917754404
2004,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,mProb_50,Max,0.7625,0.7623,-0.00019999999999997797,33108,33112,-4,0.7623,2420.0,2410.0,0.4989648033126294,656930,19514,93144,33112,0.15455899125586112
2012,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,mProb_100,Min,0.7643,0.7642,-9.999999999998899e-05,33087,33087,0,0.7643,4694.0,4745.0,0.5027015573683653,656964,19480,93169,33087,0.15428969712330504
2011,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,mProb_100,Max,0.7643,0.7642,-9.999999999998899e-05,33087,33087,0,0.7642,7201.0,6996.0,0.49278016482355425,656963,19481,93169,33087,0.15429761753896845
2021,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,mProb_200,Min,0.7665,0.7662,-0.00029999999999996696,33036,33036,0,0.7665,11347.0,11657.0,0.5067379586158929,657010,19434,93220,33036,0.15392535800278798
2020,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,mProb_200,Max,0.7665,0.7662,-0.00029999999999996696,33036,33036,0,0.7662,13989.0,13867.0,0.49781016657093624,657009,19435,93220,33036,0.1539332784184514
2026,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,mProb_500,Min,0.7678,0.7677,-9.999999999998899e-05,33006,33007,-1,0.7678,31206.0,31728.0,0.5041472018304891,657035,19409,93250,33006,0.15372734761120263
2025,BRFC_alpha_0_5_1_0_0_0_Hard_Round_4,mProb_500,Max,0.7678,0.7677,-9.999999999998899e-05,33006,33007,-1,0.7677,34663.0,33907.0,0.4944873851538574,657034,19410,93249,33007,0.15373526802686605
42,BRFC_alpha_0_5_1_0_0_0_Medium_Round_4,mProb_1,Min,0.0228,0.9986,0.9758,126232,112,126120,0.0228,0.0,1.0,1.0,1081,675363,24,126232,5.34915568369028
8935,BRFC_alpha_0_5_1_0_0_0_Medium_Round_4,mProb_1,Max,0.0228,0.9986,0.9758,126232,112,126120,0.9986,1.0,1.0,0.5,676390,54,126144,112,0.0004277024458243569
