Index,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P,Run_0,diff(min),diff(TP),diff(FP/P),diff(FP),,,,,Model,p,Neg,Pos,FP,TP,FP/P,
694785,706940,LogReg_alpha_balanced_Hard_Run_0,0.883030916,0.883030916,1,0,0,600212,5398,101124,6832,0.558626329,0.063285042,0.050001853,1,1.44808E-05,8,0,0,,,,,LogReg_alpha_balanced_Hard_Run_0,0.88303,1,0,"5,398","6,832",0.05,"LogReg_alpha_balanced_Hard_Run_0 & 0.88303 & 1 & 0 & 5,398 & 6,832 & 0.05\cr"
694842,706983,LogReg_alpha_balanced_Hard_Run_1,0.883045397,0.883045397,1,0,0,600212,5398,101132,6824,0.558337424,0.063210938,0.050001853,0,,,,,,,,,LogReg_alpha_balanced_Hard_Run_1,0.88305,1,0,"5,398","6,824",0.05,"LogReg_alpha_balanced_Hard_Run_1 & 0.88305 & 1 & 0 & 5,398 & 6,824 & 0.05\cr"
644237,654707,LogReg_alpha_balanced_Medium_Run_0,0.846203833,0.846203833,1,0,0,600212,5398,102591,5365,0.49846697,0.049696173,0.050001853,1,0.000204025,32,0,0,,,,,LogReg_alpha_balanced_Medium_Run_0,0.8462,1,0,"5,398","5,365",0.05,"LogReg_alpha_balanced_Medium_Run_0 & 0.8462 & 1 & 0 & 5,398 & 5,365 & 0.05\cr"
644042,654449,LogReg_alpha_balanced_Medium_Run_1,0.846407859,0.846407859,0,1,1,600212,5398,102623,5333,0.496971391,0.049399755,0.050001853,0,,,,,,,,,LogReg_alpha_balanced_Medium_Run_1,0.84641,0,1,"5,398","5,333",0.05,"LogReg_alpha_balanced_Medium_Run_1 & 0.84641 & 0 & 1 & 5,398 & 5,333 & 0.05\cr"
22083,22872,RFC_Easy_Run_0,0.209667261,0.209667261,8,4,0.333333333,600210,5400,105408,2548,0.320583795,0.023602208,0.050020379,1,0.006389669,52,3.70521E-05,4,,,,,RFC_Easy_Run_0,0.20967,8,4,"5,400","2,548",0.05,"RFC_Easy_Run_0 & 0.20967 & 8 & 4 & 5,400 & 2,548 & 0.05\cr"
46460,47035,RFC_Easy_Run_1,0.21605693,0.21605693,3,2,0.4,600206,5404,105460,2496,0.315949367,0.023120531,0.050057431,0,,,,,,,,,RFC_Easy_Run_1,0.21606,3,2,"5,404","2,496",0.0501,"RFC_Easy_Run_1 & 0.21606 & 3 & 2 & 5,404 & 2,496 & 0.0501\cr"
447903,458530,RFC_Hard_Run_0,0.25808094,0.25808094,1,0,0,600212,5398,102135,5821,0.518851948,0.053920116,0.050001853,1,0.00038804,205,0,0,,,,,RFC_Hard_Run_0,0.25808,1,0,"5,398","5,821",0.05,"RFC_Hard_Run_0 & 0.25808 & 1 & 0 & 5,398 & 5,821 & 0.05\cr"
494055,504600,RFC_Hard_Run_1,0.258468981,0.258468981,1,0,0,600212,5398,102340,5616,0.509896495,0.052021194,0.050001853,0,,,,,,,,,RFC_Hard_Run_1,0.25847,1,0,"5,398","5,616",0.05,"RFC_Hard_Run_1 & 0.25847 & 1 & 0 & 5,398 & 5,616 & 0.05\cr"
201703,210190,RFC_Medium_Run_0,0.239574912,0.239574912,1,0,0,600212,5398,103103,4853,0.473417228,0.0449535,0.050001853,1,0.003314278,147,0,0,,,,,RFC_Medium_Run_0,0.23957,1,0,"5,398","4,853",0.05,"RFC_Medium_Run_0 & 0.23957 & 1 & 0 & 5,398 & 4,853 & 0.05\cr"
146583,153350,RFC_Medium_Run_1,0.24288919,0.24288919,1,0,0,600212,5398,103250,4706,0.465756136,0.043591834,0.050001853,0,,,,,,,,,RFC_Medium_Run_1,0.24289,1,0,"5,398","4,706",0.05,"RFC_Medium_Run_1 & 0.24289 & 1 & 0 & 5,398 & 4,706 & 0.05\cr"
139231,141828,RUSBoost_Easy_Run_0,0.510525355,0.510525355,2,0,0,600212,5398,106057,1899,0.260243936,0.0175905,0.050001853,1,0.002186565,31,0,0,,,,,RUSBoost_Easy_Run_0,0.51053,2,0,"5,398","1,899",0.05,"RUSBoost_Easy_Run_0 & 0.51053 & 2 & 0 & 5,398 & 1,899 & 0.05\cr"
142677,145110,RUSBoost_Easy_Run_1,0.512711919,0.512711919,4,1,0.2,600212,5398,106088,1868,0.257087806,0.017303346,0.050001853,0,,,,,,,,,RUSBoost_Easy_Run_1,0.51271,4,1,"5,398","1,868",0.05,"RUSBoost_Easy_Run_1 & 0.51271 & 4 & 1 & 5,398 & 1,868 & 0.05\cr"
694685,706937,RUSBoost_Hard_Run_0,0.500492617,0.500492617,1,0,0,600212,5398,101027,6929,0.562099456,0.064183556,0.050001853,1,1.79028E-06,7,0,0,,,,,RUSBoost_Hard_Run_0,0.50049,1,0,"5,398","6,929",0.05,"RUSBoost_Hard_Run_0 & 0.50049 & 1 & 0 & 5,398 & 6,929 & 0.05\cr"
694599,706836,RUSBoost_Hard_Run_1,0.500490827,0.500490827,1,0,0,600212,5398,101034,6922,0.561850649,0.064118715,0.050001853,0,,,,,,,,,RUSBoost_Hard_Run_1,0.50049,1,0,"5,398","6,922",0.05,"RUSBoost_Hard_Run_1 & 0.50049 & 1 & 0 & 5,398 & 6,922 & 0.05\cr"
647441,654140,RUSBoost_Medium_Run_0,0.504339115,0.504339115,0,1,1,600212,5398,106165,1791,0.249130616,0.016590092,0.050001853,1,5.77882E-05,199,0,0,,,,,RUSBoost_Medium_Run_0,0.50434,0,1,"5,398","1,791",0.05,"RUSBoost_Medium_Run_0 & 0.50434 & 0 & 1 & 5,398 & 1,791 & 0.05\cr"
647396,654335,RUSBoost_Medium_Run_1,0.504281327,0.504281327,1,0,0,600212,5398,105966,1990,0.269355712,0.018433436,0.050001853,0,,,,,,,,,RUSBoost_Medium_Run_1,0.50428,1,0,"5,398","1,990",0.05,"RUSBoost_Medium_Run_1 & 0.50428 & 1 & 0 & 5,398 & 1,990 & 0.05\cr"
