Index,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P,Run_0,diff(min),diff(TP),diff(FP/P),diff(FP),,,,,Model,p,Neg,Pos,FP,TP,FP/P,
117612,120344,BRFC_alpha_balanced_Medium_Run_0,0.907668732,0.907668732,12,2,0.142857143,600212,5398,102120,5836,0.519494392,0.054059061,0.050001853,1,0.000314266,13,0,0,,,,,BRFC_alpha_balanced_Medium_Run_0,0.90767,12,2,"5,398","5,836",0.05,"BRFC_alpha_balanced_Medium_Run_0 & 0.90767 & 12 & 2 & 5,398 & 5,836 & 0.05\cr"
116929,119692,BRFC_alpha_balanced_Medium_Run_1,0.907354466,0.907354466,1,0,0,600212,5398,102133,5823,0.518937706,0.053938642,0.050001853,0,,,,,,,,,BRFC_alpha_balanced_Medium_Run_1,0.90735,1,0,"5,398","5,823",0.05,"BRFC_alpha_balanced_Medium_Run_1 & 0.90735 & 1 & 0 & 5,398 & 5,823 & 0.05\cr"
873,900,EEC_Easy_Run_0,0.528457092,0.528457092,263,107,0.289189189,600324,5286,105274,2682,0.336596386,0.024843455,0.048964393,1,0.000205875,59,0.001667346,180,,,,,EEC_Easy_Run_0,0.52846,263,107,"5,286","2,682",0.049,"EEC_Easy_Run_0 & 0.52846 & 263 & 107 & 5,286 & 2,682 & 0.049\cr"
1084,1120,EEC_Easy_Run_1,0.528662967,0.528662967,27,15,0.357142857,600144,5466,105215,2741,0.333983185,0.025389974,0.050631739,0,,,,,,,,,EEC_Easy_Run_1,0.52866,27,15,"5,466","2,741",0.0506,"EEC_Easy_Run_1 & 0.52866 & 27 & 15 & 5,466 & 2,741 & 0.0506\cr"
2741,3015,EEC_Hard_Run_0,0.548363948,0.548363948,504,468,0.481481481,600443,5167,102625,5331,0.507811012,0.049381229,0.047862092,1,0.000113274,31,0.00061136,66,,,,,EEC_Hard_Run_0,0.54836,504,468,"5,167","5,331",0.0479,"EEC_Hard_Run_0 & 0.54836 & 504 & 468 & 5,167 & 5,331 & 0.0479\cr"
2737,3005,EEC_Hard_Run_1,0.548250674,0.548250674,515,496,0.490603363,600377,5233,102656,5300,0.50318048,0.049094075,0.048473452,0,,,,,,,,,EEC_Hard_Run_1,0.54825,515,496,"5,233","5,300",0.0485,"EEC_Hard_Run_1 & 0.54825 & 515 & 496 & 5,233 & 5,300 & 0.0485\cr"
2276,2499,EEC_Medium_Run_0,0.542371036,0.542371036,468,341,0.421508035,600250,5360,103381,4575,0.460493206,0.042378376,0.049649857,1,5.13452E-05,88,0.00051873,56,,,,,EEC_Medium_Run_0,0.54237,468,341,"5,360","4,575",0.0496,"EEC_Medium_Run_0 & 0.54237 & 468 & 341 & 5,360 & 4,575 & 0.0496\cr"
3961,4286,EEC_Medium_Run_1,0.542422382,0.542422382,0,1,1,600194,5416,103293,4663,0.462645104,0.043193523,0.050168587,0,,,,,,,,,EEC_Medium_Run_1,0.54242,0,1,"5,416","4,663",0.0502,"EEC_Medium_Run_1 & 0.54242 & 0 & 1 & 5,416 & 4,663 & 0.0502\cr"
140745,144072,KBFC_alpha_0_5_gamma_0_0_Easy_Run_0,0.36472553,0.36472553,4,0,0,600214,5396,104881,3075,0.363003187,0.028483827,0.049983327,1,0.00253457,18,1.85261E-05,2,,,,,KBFC_alpha_0_5_gamma_0_0_Easy_Run_0,0.36473,4,0,"5,396","3,075",0.05,"KBFC_alpha_0_5_gamma_0_0_Easy_Run_0 & 0.36473 & 4 & 0 & 5,396 & 3,075 & 0.05\cr"
140816,144148,KBFC_alpha_0_5_gamma_0_0_Easy_Run_1,0.36219096,0.36219096,3,2,0.4,600212,5398,104863,3093,0.364268049,0.028650561,0.050001853,0,,,,,,,,,KBFC_alpha_0_5_gamma_0_0_Easy_Run_1,0.36219,3,2,"5,398","3,093",0.05,"KBFC_alpha_0_5_gamma_0_0_Easy_Run_1 & 0.36219 & 3 & 2 & 5,398 & 3,093 & 0.05\cr"
