p,Filename,Neg,Pos,$m$Prob,TN,FP,FN,TP,Prec,Rec,$\frac{\text{FP}}{\text{P}}$
0.28,RFC_5_Fold_Hard_Test,1116,1310,0.5399835119538334,604770,840,106144,1812,0.6832579185520362,0.01678461595464819,0.007780947793545518
0.8,RFC_5_Fold_Hard_Test_Transformed_100,370,321,0.4645441389290883,603666,1944,104843,3113,0.6155823610836464,0.02883582200155619,0.018007336322205345
0.92,RFC_5_Fold_Hard_Test_Transformed_98,283,258,0.47689463955637706,603991,1619,105130,2826,0.6357705286839145,0.02617733150542814,0.014996850568750232
0.99,RFC_5_Fold_Hard_Test_Transformed_95,262,234,0.4717741935483871,603874,1736,105024,2932,0.6281062553556127,0.02715921301270888,0.01608062543999407
1.0,RFC_5_Fold_Hard_Test_Transformed_90,5433,5846,0.5183083606702722,605610,0,107956,0,,0.0,0.0
1.0,RFC_5_Fold_Hard_Test_Transformed_80,13131,11446,0.46571998209708265,605610,0,107956,0,,0.0,0.0
0.78,BRFC_5_Fold_alpha_0_5_Hard_Test,1882,1817,0.4912138415788051,590084,15526,82585,25371,0.6203633518350979,0.23501241246433732,0.14381785171736633
0.78,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_100,1882,1817,0.4912138415788051,590084,15526,82585,25371,0.6203633518350979,0.23501241246433732,0.14381785171736633
0.81,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_98,1853,1810,0.49413049413049415,590171,15439,82681,25275,0.6207938301321413,0.23412316128793212,0.14301196783874912
0.82,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_95,1864,1811,0.4927891156462585,590125,15485,82623,25333,0.6206330540447842,0.23466041720701025,0.1434380673607766
0.86,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_90,1581,1635,0.5083955223880597,593581,12029,86050,21906,0.6455282157064978,0.20291600281596206,0.11142502501018933
0.87,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_80,1814,1771,0.4940027894002789,590171,15439,82681,25275,0.6207938301321413,0.23412316128793212,0.14301196783874912
0.8,BRFC_5_Fold_alpha_balanced_Hard_Test,1508,1588,0.5129198966408268,593731,11879,86635,21321,0.6421987951807229,0.19749712845974285,0.1100355700470562
0.8,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_100,1508,1588,0.5129198966408268,593731,11879,86635,21321,0.6421987951807229,0.19749712845974285,0.1100355700470562
0.83,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_98,1501,1577,0.5123456790123457,593749,11861,86643,21313,0.6424609634050763,0.19742302419504243,0.10986883545148023
0.84,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_95,1506,1586,0.5129366106080206,593733,11877,86637,21319,0.6422159296300759,0.19747860239356774,0.1100170439808811
0.84,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_90,104,108,0.5094339622641509,590728,14882,83468,24488,0.621996443992888,0.22683315424802697,0.13785245840898144
0.9,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_80,1496,1572,0.5123859191655802,592262,13348,85078,22878,0.6315353613426821,0.21191967097706474,0.12364296565267331
0.54,LogReg_5_Fold_alpha_0_5_Hard_Test,566,569,0.5013215859030837,599760,5850,100263,7693,0.5680425311969283,0.07126051354255437,0.054188743562192006
0.59,LogReg_5_Fold_alpha_0_5_Hard_Test_Transformed_100,520,515,0.4975845410628019,599841,5769,100333,7623,0.5692204301075269,0.07061210122642558,0.053438437882100114
0.71,LogReg_5_Fold_alpha_0_5_Hard_Test_Transformed_98,417,409,0.49515738498789347,599762,5848,100264,7692,0.5680945347119646,0.07125125050946682,0.054170217496016894
0.8,LogReg_5_Fold_alpha_0_5_Hard_Test_Transformed_95,358,353,0.4964838255977497,599787,5823,100285,7671,0.5684748777234326,0.07105672681462818,0.053938641668828044
