p,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,$\frac{\text{FP}}{\text{P}}$
0.0,0,0,nan,0,"605,610",0,"107,956",0.15,1.00,5.61
0.1,"103,862","2,624",0.02,"103,862","501,748","2,624","105,332",0.17,0.98,4.65
0.2,"263,901","9,559",0.03,"367,763","237,847","12,183","95,773",0.29,0.89,2.20
0.3,"159,290","27,312",0.15,"527,053","78,557","39,495","68,461",0.47,0.63,0.73
0.4,"62,438","48,158",0.44,"589,491","16,119","87,653","20,303",0.56,0.19,0.15
0.5,"16,119","20,303",0.56,"605,610",0,"107,956",0,nan,0.00,0.00
0.6,0,0,nan,"605,610",0,"107,956",0,nan,0.00,0.00
0.7,0,0,nan,"605,610",0,"107,956",0,nan,0.00,0.00
0.8,0,0,nan,"605,610",0,"107,956",0,nan,0.00,0.00
0.9,0,0,nan,"605,610",0,"107,956",0,nan,0.00,0.00
1.0,0,0,nan,"605,610",0,"107,956",0,nan,0.00,0.00
