p,Filename,Neg,Pos,$m$Prec,TN,FP,FN,TP,Prec,Rec,FP/P,$\hat{p}$
0.28,RFC_5_Fold_Hard_Test,1116,1310,0.5399835119538334,604770,840,106144,1812,0.6832579185520362,0.01678461595464819,0.007780947793545518,0.003716544790530939
0.8,RFC_5_Fold_Hard_Test_Transformed_100,370,321,0.4645441389290883,603666,1944,104843,3113,0.6155823610836464,0.02883582200155619,0.018007336322205345,0.0070869408015516435
0.92,RFC_5_Fold_Hard_Test_Transformed_98,283,258,0.47689463955637706,603991,1619,105130,2826,0.6357705286839145,0.02617733150542814,0.014996850568750232,0.006229276619121427
0.99,RFC_5_Fold_Hard_Test_Transformed_95,262,234,0.4717741935483871,603874,1736,105024,2932,0.6281062553556127,0.02715921301270888,0.01608062543999407,0.006541791509124594
0.79,BRFC_5_Fold_alpha_0_5_Hard_Test,1700,1667,0.4950994950994951,591915,13695,84284,23672,0.633500147188696,0.21927451924858277,0.1268572381340546,0.052366564550441023
0.79,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_100,1700,1667,0.4950994950994951,591915,13695,84284,23672,0.633500147188696,0.21927451924858277,0.1268572381340546,0.052366564550441023
0.82,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_98,1664,1641,0.49652042360060517,591955,13655,84346,23610,0.633570374345901,0.2187002111971544,0.12648671681055246,0.052223620520035985
0.83,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_95,1679,1634,0.4932085722909749,591922,13688,84295,23661,0.6335109373744946,0.21917262588461967,0.12679239690244173,0.052341339133310724
0.79,BRFC_5_Fold_alpha_balanced_Hard_Test,1676,1636,0.4939613526570048,592245,13365,85101,22855,0.6310049696300386,0.211706621216051,0.12380043721516173,0.050759144914415764
0.79,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_100,1676,1636,0.4939613526570048,592245,13365,85101,22855,0.6310049696300386,0.211706621216051,0.12380043721516173,0.050759144914415764
