p,Filename,Neg,Pos,$m$Prec,TN,FP,FN,TP,Prec,Rec,FP/P,$\hat{p}$
0.51,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test_Transformed_95,4734,1847,0.28065643519222006,544196,61414,62402,45554,0.4258656794555381,0.42196820927044354,0.5688799140390529,0.14990624553299906
0.41,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test,11676,4193,0.2642258491398324,541595,64015,61756,46200,0.41918069228326454,0.42795212864500354,0.5929730630997814,0.1544566305008927
0.42,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test_Transformed_100,11320,4078,0.2648395895570853,542423,63187,62077,45879,0.42065354922707354,0.4249786950238986,0.5853032717032866,0.15284640804074184
0.58,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test_Transformed_98,6015,2186,0.2665528594073893,543260,62350,62398,45558,0.42219297920450755,0.4220052614027937,0.5775501130090037,0.15122357287202584
0.6,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test_Transformed_95,5201,1961,0.2738061993856465,544900,60710,63046,44910,0.42520355993183107,0.4160028159620586,0.5623587387454148,0.14801714207235211
0.68,BRFC_5_Fold_alpha_0_5_Medium_Test,4781,1722,0.26480086114101187,538960,66650,67810,40146,0.375912955541406,0.37187372633295046,0.6173811552854866,0.1496652026581984
0.68,BRFC_5_Fold_alpha_0_5_Medium_Test_Transformed_100,4781,1722,0.26480086114101187,538960,66650,67810,40146,0.375912955541406,0.37187372633295046,0.6173811552854866,0.1496652026581984
0.69,BRFC_5_Fold_alpha_0_5_Medium_Test_Transformed_98,4549,1675,0.26911953727506427,540869,64741,68472,39484,0.3788342528184217,0.36574159842898957,0.5996980251213457,0.14606217224475382
0.7,BRFC_5_Fold_alpha_0_5_Medium_Test_Transformed_95,3977,1476,0.2706766917293233,540069,65541,68204,39752,0.3775369682694956,0.3682240912964541,0.607108451591389,0.1475588803278183
0.69,BRFC_5_Fold_alpha_balanced_Medium_Test,4540,1637,0.2650153796341266,539113,66497,69200,38756,0.3682175329919337,0.3589981103412501,0.6159639112230909,0.14750282384530652
0.69,BRFC_5_Fold_alpha_balanced_Medium_Test_Transformed_100,4540,1637,0.2650153796341266,539113,66497,69200,38756,0.3682175329919337,0.3589981103412501,0.6159639112230909,0.14750282384530652
0.69,BRFC_5_Fold_alpha_balanced_Medium_Test_Transformed_98,4094,1445,0.26087741469579345,536391,69219,68104,39852,0.3653766812443271,0.36915039460520954,0.6411778872874134,0.15285341510105582
0.71,BRFC_5_Fold_alpha_balanced_Medium_Test_Transformed_95,4175,1504,0.2648353583377355,539733,65877,69361,38595,0.36942912933609007,0.35750676201415393,0.6102208307088073,0.14640832102426404
0.24,LogReg_5_Fold_alpha_0_5_Medium_Test,8614,2717,0.23978466154796577,539078,66532,73086,34870,0.34387881895820593,0.32300196376301454,0.6162881173811553,0.14210598599148502
0.28,LogReg_5_Fold_alpha_0_5_Medium_Test_Transformed_100,7108,2222,0.23815648445873527,537977,67633,72720,35236,0.34253273580962196,0.3263922338730594,0.6264867168105525,0.14416185748760452
0.36,LogReg_5_Fold_alpha_0_5_Medium_Test_Transformed_98,5160,1568,0.23305588585017836,534367,71243,71598,36358,0.3378964879508555,0.33678535699729517,0.6599262662566231,0.15079333936874795
0.39,LogReg_5_Fold_alpha_0_5_Medium_Test_Transformed_95,4591,1335,0.22527843401957476,532615,72995,71034,36922,0.33590800331158965,0.3420097076586758,0.676155100226018,0.15403900970617995
0.64,LogReg_5_Fold_alpha_balanced_Medium_Test,6587,2030,0.2355808285946385,537739,67871,72662,35294,0.34211215043861776,0.32692948979213754,0.6286913186853903,0.14457667545819167
0.64,LogReg_5_Fold_alpha_balanced_Medium_Test_Transformed_100,6099,1830,0.23079833522512297,535898,69712,72088,35868,0.3397234324682705,0.3322464707843936,0.6457445625995776,0.14796108558984034
0.65,LogReg_5_Fold_alpha_balanced_Medium_Test_Transformed_98,5066,1461,0.22383943618814156,534427,71183,71607,36349,0.33802960979057395,0.3367019896995072,0.6593704842713698,0.15069664193641513
0.66,LogReg_5_Fold_alpha_balanced_Medium_Test_Transformed_95,4757,1364,0.22283940532592714,534021,71589,71486,36470,0.3375008097428257,0.33782281670310127,0.6631312757049168,0.1514351860935078
0.5,AdaBoost_5_Fold_Medium_Test,600837,103236,0.1466268412508362,600973,4637,103240,4716,0.5042232438789693,0.043684464040905556,0.042952684426988776,0.013107407023316694
0.56,AdaBoost_5_Fold_Medium_Test_Transformed_100,9229,2892,0.23859417539806946,539324,66286,73238,34718,0.3437289612292582,0.3215939827337063,0.614009411241617,0.14154822399049283
0.59,AdaBoost_5_Fold_Medium_Test_Transformed_98,6258,1834,0.22664359861591696,534461,71149,71635,36321,0.33796408299990693,0.3364426247730557,0.659055541146393,0.15060975438852187
0.61,AdaBoost_5_Fold_Medium_Test_Transformed_95,5596,1646,0.2272852803093068,534419,71191,71620,36336,0.3379244282831289,0.336581570269369,0.6594445885360702,0.15068963487610115
0.67,BalBag_5_Fold_Medium_Test,2047,576,0.21959588257720167,534640,70970,71375,36581,0.3401270095117665,0.3388510133758198,0.6573974582237208,0.15072326876560824
0.67,BalBag_5_Fold_Medium_Test_Transformed_100,2047,576,0.21959588257720167,534640,70970,71375,36581,0.3401270095117665,0.3388510133758198,0.6573974582237208,0.15072326876560824
0.67,BalBag_5_Fold_Medium_Test_Transformed_98,2047,576,0.21959588257720167,534640,70970,71375,36581,0.3401270095117665,0.3388510133758198,0.6573974582237208,0.15072326876560824
0.67,BalBag_5_Fold_Medium_Test_Transformed_95,2047,576,0.21959588257720167,534640,70970,71375,36581,0.3401270095117665,0.3388510133758198,0.6573974582237208,0.15072326876560824
0.51,EEC_5_Fold_Medium_Test,117551,25481,0.17814894569047485,513680,91930,67142,40814,0.30746399083951065,0.37806143243543666,0.8515506317388566,0.18602904286358934
0.5,EEC_5_Fold_Medium_Test_Transformed_100,8619,2600,0.23174971031286212,535996,69614,73715,34241,0.3297000625872611,0.31717551595094295,0.6448367853569973,0.14554364978151985
0.56,EEC_5_Fold_Medium_Test_Transformed_98,11739,3511,0.2302295081967213,533419,72191,72894,35062,0.3269092706031533,0.32478046611582495,0.6687076216236244,0.15030564797089546
0.6,EEC_5_Fold_Medium_Test_Transformed_95,11097,3299,0.22916087802167268,533419,72191,72894,35062,0.3269092706031533,0.32478046611582495,0.6687076216236244,0.15030564797089546
0.51,RUSBoost_5_Fold_Medium_Test,201115,58726,0.2260074430132273,605605,5,107955,1,0.16666666666666666,9.263033087554189e-06,4.6315165437770945e-05,8.40847237676683e-06
0.43,RUSBoost_5_Fold_Medium_Test_Transformed_100,49264,17023,0.25680751881967806,545825,59785,86839,21117,0.26101950508022054,0.1956074697098818,0.5537904331394272,0.11337703870419835
0.74,RUSBoost_5_Fold_Medium_Test_Transformed_98,26435,8618,0.24585627478389865,528455,77155,80016,27940,0.26585470288786334,0.258809144466264,0.7146893178702435,0.147281400739385
