p,Filename,Neg,Pos,$m$Prec,TN,FP,FN,TP,Prec,Rec,FP/P,$\hat{p}$
0.71,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test_Transformed_100,234,451,0.6583941605839416,603350,2260,102079,5877,0.722256359837778,0.05443884545555597,0.020934454777872466,0.011403289954958616
0.84,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test_Transformed_98,182,374,0.6726618705035972,603260,2350,101914,6042,0.7199714013346044,0.055967245915002406,0.021768127755752344,0.011760650030971206
0.9,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test_Transformed_95,178,366,0.6727941176470589,603240,2370,101860,6096,0.7200566973777462,0.056467449701730336,0.02195338841750343,0.011864354523617997
0.95,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test,764,1507,0.6635843240863056,604260,1350,104193,3763,0.735967142577743,0.03485679350846641,0.012505094668198154,0.0071654198770681335
0.96,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test_Transformed_100,716,1472,0.6727605118829981,604466,1144,104677,3279,0.7413520235134524,0.030373485494090184,0.010596909852161992,0.006198445553739948
0.98,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test_Transformed_98,726,1437,0.6643550624133149,604321,1289,104342,3614,0.7370997348562105,0.03347660157842084,0.01194004964985735,0.006871123343881295
0.99,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test_Transformed_95,702,1396,0.665395614871306,604097,1513,103890,4066,0.7288044452410827,0.037663492533995334,0.014014969061469488,0.007818477898330357
0.62,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test,385,733,0.6556350626118068,603040,2570,101619,6337,0.7114628943527562,0.058699840675830894,0.023805995035014266,0.012482377243310359
0.61,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test_Transformed_100,438,822,0.6523809523809524,602602,3008,100813,7143,0.7036745148261255,0.06616584534439957,0.027863203527363,0.014225733849426683
0.84,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test_Transformed_98,259,519,0.6670951156812339,602782,2828,101147,6809,0.7065476808135311,0.06307199229315646,0.026195857571603247,0.013505408049150324
0.89,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test_Transformed_95,249,501,0.668,602689,2921,100969,6987,0.7051877270892208,0.06472081218274112,0.027057319648745786,0.013885190718167626
0.59,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test,485,938,0.6591707659873507,604113,1497,103803,4153,0.7350442477876106,0.03846937641261255,0.01386676053206862,0.007917978154788766
