Index,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P,Algorithm,Features,p,Neg,Pos,$m$Prob,Recall,Algorithm & Features & p & Neg & Pos & $m$Prob & Recall,Algorithm & Features & p & Neg & Pos & $m$Prob & Recall\cr
93,102,KBFC_alpha_0_5_gamma_2_0_Hard_Run_0,0.51818436,0.52373797,1000,1000,0.5,597610,8000,94024,13932,0.635236185,0.129052577,0.074104265,,,,,,,,,
94,103,KBFC_alpha_balanced_gamma_0_0_Hard_Run_1,0.87444735,0.8810535,1000,1038,0.509322866,597610,8000,94399,13557,0.628890848,0.12557894,0.074104265,,,,,,,,,
94,103,KBFC_alpha_balanced_gamma_0_0_Hard_Run_0,0.8801927,0.8865536,1003,1000,0.499251123,597610,8000,94402,13554,0.628839195,0.12555115,0.074104265,,,,,,,,,
100,107,LogReg_alpha_0_5_Hard_Run_1,0.520406222,0.537173018,1031,1000,0.492368291,599610,6000,100092,7864,0.567224466,0.072844492,0.055578199,,,,,,,,,
100,107,LogReg_alpha_0_5_Hard_Run_0,0.520478979,0.537156369,1023,1000,0.494315373,599610,6000,100098,7858,0.56703709,0.072788914,0.055578199,,,,,,,,,
100,107,RUSBoost_Hard_Run_1,0.500461353,0.500478546,1000,1013,0.503229011,599551,6059,100404,7552,0.554845346,0.069954426,0.056124717,,,,,,,,,
86,92,BRFC_alpha_0_5_Medium_Run_0,0.88,0.89,1281,1190,0.481586402,599818,5792,100627,7329,0.558570231,0.067888769,0.053651488,,,,,,,,,
88,95,EEC_Hard_Run_1,0.546723142,0.548168151,1021,1029,0.50195122,598733,6877,101020,6936,0.502135669,0.064248397,0.063701879,,,,,,,,,
9,11,BalBag_Hard_Run_1,0.9,0.9875,8674,10533,0.548393815,602277,3333,101243,6713,0.66822616,0.062182741,0.030873689,,,,,,,,,
101,107,RUSBoost_Hard_Run_0,0.500481405,0.500500849,1000,1016,0.503968254,600610,5000,101435,6521,0.566009895,0.060404239,0.046315165,,,,,,,,,
101,107,AdaBoost_Hard_Run_0,0.500508961,0.50070782,1000,1002,0.5004995,600603,5007,101507,6449,0.562936453,0.0597373,0.046380007,,,,,,,,,
9,11,BalBag_Hard_Run_0,0.9,0.988888889,8708,10529,0.547330665,602199,3411,101515,6441,0.653775883,0.059663196,0.031596206,,,,,,,,,
101,107,LogReg_alpha_balanced_Hard_Run_1,0.878191231,0.886442488,1000,1001,0.500249875,600610,5000,101540,6416,0.56201822,0.05943162,0.046315165,,,,,,,,,
