p,Filename,Neg,Pos,$m$Prob,TN,FP,FN,TP,Prec,Rec,$\frac{\text{FP}}{\text{P}}$
0.55,EEC_5_Fold_Hard_Test,8113,6699,0.45226843100189035,601383,4227,103464,4492,0.515196696868907,0.041609544629293414,0.039154840861091555
0.72,EEC_5_Fold_Hard_Test_Transformed_100,2378,2296,0.49122807017543857,600466,5144,102650,5306,0.5077511961722488,0.049149653562562526,0.04764904220237875
0.84,EEC_5_Fold_Hard_Test_Transformed_98,2203,2114,0.48969191568218673,600466,5144,102650,5306,0.5077511961722488,0.049149653562562526,0.04764904220237875
0.92,EEC_5_Fold_Hard_Test_Transformed_95,2233,2171,0.49296094459582196,601005,4605,103212,4744,0.5074339501550968,0.043943828967357074,0.04265626736818704
0.99,EEC_5_Fold_Hard_Test_Transformed_90,396,361,0.47688243064729197,598263,7347,100536,7420,0.5024717275005078,0.06873170550965207,0.06805550409426063
1.0,EEC_5_Fold_Hard_Test_Transformed_80,13453,11897,0.4693096646942801,605610,0,107956,0,,0.0,0.0
0.51,RUSBoost_5_Fold_Hard_Test,183227,72923,0.2846886589888737,605610,0,107956,0,,0.0,0.0
0.71,RUSBoost_5_Fold_Hard_Test_Transformed_100,1245,1200,0.49079754601226994,599804,5806,100620,7336,0.5582103180642216,0.06795361073029753,0.05378117010633962
0.83,RUSBoost_5_Fold_Hard_Test_Transformed_98,734,727,0.4976043805612594,600119,5491,100957,6999,0.5603682946357086,0.06483196857979177,0.05086331468376005
0.89,RUSBoost_5_Fold_Hard_Test_Transformed_95,650,631,0.492583918813427,600034,5576,100856,7100,0.5601136005048911,0.06576753492163474,0.05165067249620216
0.97,RUSBoost_5_Fold_Hard_Test_Transformed_90,549,542,0.49679193400549954,600387,5223,101206,6750,0.5637684790779254,0.06252547334099078,0.04838082181629553
0.99,RUSBoost_5_Fold_Hard_Test_Transformed_80,798,645,0.446985446985447,595405,10205,96566,11390,0.5274369066913638,0.10550594686724221,0.09452925265849049
0.61,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test,472,623,0.5689497716894977,600215,5395,97263,10693,0.6646568871208354,0.09904961280521694,0.04997406350735485
0.61,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test_Transformed_100,470,604,0.5623836126629422,600112,5498,97102,10854,0.6637720156555773,0.10054096113231316,0.05092815591537293
0.73,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test_Transformed_98,400,504,0.5575221238938053,600187,5423,97211,10745,0.6645843641761504,0.09953129052576976,0.05023342843380636
0.78,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test_Transformed_95,371,474,0.5609467455621302,600121,5489,97119,10837,0.6637878231042509,0.10038348956982475,0.05084478861758494
0.86,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test_Transformed_90,295,443,0.6002710027100271,600332,5278,97434,10522,0.6659493670886076,0.09746563414724517,0.04889028863611101
0.99,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test_Transformed_80,267,381,0.5879629629629629,599859,5751,96806,11150,0.6597242766700195,0.1032828189262292,0.05327170328652414
0.9,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test,1286,1520,0.5416963649322879,600004,5606,97137,10819,0.6586910197869102,0.10021675497424877,0.05192856348882878
0.9,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test_Transformed_100,1301,1537,0.5415785764622973,599945,5665,97062,10894,0.6578899692010387,0.10091148245581533,0.052475082440994476
0.93,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test_Transformed_98,1200,1454,0.5478522984174831,600198,5412,97416,10540,0.6607321965897693,0.09763236874282115,0.05013153506984327
0.94,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test_Transformed_95,1186,1398,0.5410216718266254,599950,5660,97068,10888,0.65796470872613,0.10085590425729,0.05242876727555671
0.96,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test_Transformed_90,1129,1339,0.5425445705024311,600115,5495,97282,10674,0.6601521429896716,0.09887361517655341,0.050900366816110265
0.99,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test_Transformed_80,1054,1310,0.5541455160744501,598982,6628,95942,12014,0.6444587490612596,0.11128607951387602,0.061395383304309166
0.56,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test,835,1047,0.5563230605738576,599878,5732,96790,11166,0.660788258965558,0.10343102745563007,0.05309570565786061
0.58,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test_Transformed_100,710,988,0.5818610129564193,600491,5119,97641,10315,0.668329661785668,0.09554818629812145,0.04741746637518989
0.78,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test_Transformed_98,491,674,0.5785407725321888,600321,5289,97383,10573,0.6665615937460597,0.09793804883471044,0.0489921820000741
0.82,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test_Transformed_95,494,623,0.5577439570277529,599997,5613,96947,11009,0.6623150042112862,0.10197673126088407,0.051993404720441665
0.89,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test_Transformed_90,411,556,0.5749741468459152,600375,5235,97463,10493,0.6671541200406917,0.0971970061877061,0.04849197821334618
0.99,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test_Transformed_80,393,480,0.5498281786941581,599804,5806,96676,11280,0.660189628935971,0.10448701322761125,0.05378117010633962
0.54,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test,1280,1651,0.5632889798703514,600356,5254,97407,10549,0.667531481364298,0.09771573604060914,0.04866797584200971
0.58,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test_Transformed_100,1264,1556,0.5517730496453901,599776,5834,96669,11287,0.6592488756497868,0.10455185445922413,0.05404053503279114
0.8,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test_Transformed_98,707,920,0.5654578979717271,599985,5625,96945,11011,0.6618778552536667,0.10199525732705918,0.052104561117492315
0.85,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test_Transformed_95,617,769,0.5548340548340548,600245,5365,97255,10701,0.6660649819494585,0.09912371706991738,0.04969617251472822
0.9,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test_Transformed_90,544,726,0.5716535433070866,600006,5604,96990,10966,0.6617984308992154,0.10157842083811923,0.051910037422653675
0.99,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test_Transformed_80,476,627,0.5684496826835902,599724,5886,96603,11353,0.6585648819537097,0.10516321464300271,0.05452221275334396
0.23,RFC_5_Fold_Medium_Test,5179,4036,0.43798155181768855,600749,4861,103485,4471,0.4791041577368195,0.04141502093445478,0.04502760383860091
0.74,RFC_5_Fold_Medium_Test_Transformed_100,734,671,0.47758007117437723,600013,5597,102804,5152,0.47930040003721275,0.04772314646707918,0.0518451961910408
0.9,RFC_5_Fold_Medium_Test_Transformed_98,587,535,0.4768270944741533,600483,5127,103238,4718,0.4792280345352971,0.04370299010708066,0.047491570639890325
0.95,RFC_5_Fold_Medium_Test_Transformed_95,547,502,0.47855100095328884,600382,5228,103148,4808,0.47907532881626147,0.04453666308496054,0.0484271369817333
0.99,RFC_5_Fold_Medium_Test_Transformed_90,546,388,0.41541755888650966,599241,6369,102100,5856,0.4790184049079755,0.05424432176071733,0.05899625773463263
1.0,RFC_5_Fold_Medium_Test_Transformed_80,14234,11343,0.4434843804981038,605610,0,107956,0,,0.0,0.0
0.89,BRFC_5_Fold_alpha_0_5_Medium_Test,1262,1197,0.4867832452216348,600263,5347,101322,6634,0.5537100408980886,0.06145096150283449,0.04952943791915225
0.89,BRFC_5_Fold_alpha_0_5_Medium_Test_Transformed_100,1262,1197,0.4867832452216348,600263,5347,101322,6634,0.5537100408980886,0.06145096150283449,0.04952943791915225
0.92,BRFC_5_Fold_alpha_0_5_Medium_Test_Transformed_98,1155,1121,0.49253075571177507,600469,5141,101477,6479,0.5575731497418245,0.06001519137426359,0.04762125310311609
0.94,BRFC_5_Fold_alpha_0_5_Medium_Test_Transformed_95,679,523,0.435108153078203,599700,5910,100666,7290,0.5522727272727272,0.06752751120827004,0.05474452554744526
0.98,BRFC_5_Fold_alpha_0_5_Medium_Test_Transformed_90,624,496,0.44285714285714284,599712,5898,100673,7283,0.5525377437220241,0.06746266997665716,0.05463336915039461
1.0,BRFC_5_Fold_alpha_0_5_Medium_Test_Transformed_80,10940,11648,0.5156720382503984,605610,0,107956,0,,0.0,0.0
0.9,BRFC_5_Fold_alpha_balanced_Medium_Test,1309,1118,0.4606510094767202,599686,5924,101755,6201,0.5114226804123712,0.05744006817592352,0.05487420801067101
0.9,BRFC_5_Fold_alpha_balanced_Medium_Test_Transformed_100,1309,1118,0.4606510094767202,599686,5924,101755,6201,0.5114226804123712,0.05744006817592352,0.05487420801067101
0.93,BRFC_5_Fold_alpha_balanced_Medium_Test_Transformed_98,1155,1044,0.4747612551159618,600031,5579,101938,6018,0.5189273087867552,0.055744933120901105,0.05167846159546482
0.96,BRFC_5_Fold_alpha_balanced_Medium_Test_Transformed_95,1092,978,0.47246376811594204,600026,5584,101935,6021,0.5188280913399397,0.05577272222016377,0.05172477676090259
0.99,BRFC_5_Fold_alpha_balanced_Medium_Test_Transformed_90,1184,1058,0.471900089206066,599802,5808,101800,6156,0.5145436308926781,0.05702323168698359,0.053799696172514726
1.0,BRFC_5_Fold_alpha_balanced_Medium_Test_Transformed_80,12818,11777,0.4788371620248018,605610,0,107956,0,,0.0,0.0
0.49,LogReg_5_Fold_alpha_0_5_Medium_Test,674,616,0.47751937984496123,600531,5079,102785,5171,0.5044878048780488,0.04789914409574271,0.04704694505168772
0.58,LogReg_5_Fold_alpha_0_5_Medium_Test_Transformed_100,577,513,0.4706422018348624,600050,5560,102369,5587,0.5012110881851619,0.05175256586016525,0.05150246396680129
0.8,LogReg_5_Fold_alpha_0_5_Medium_Test_Transformed_98,384,342,0.47107438016528924,600018,5592,102341,5615,0.5010261443740519,0.05201193078661677,0.051798881025603025
0.89,LogReg_5_Fold_alpha_0_5_Medium_Test_Transformed_95,350,326,0.4822485207100592,600084,5526,102393,5563,0.5016683199567139,0.05153025306606395,0.051187520841824444
0.99,LogReg_5_Fold_alpha_0_5_Medium_Test_Transformed_90,297,268,0.4743362831858407,599971,5639,102293,5663,0.5010617589807114,0.05245655637481937,0.05223424358071807
1.0,LogReg_5_Fold_alpha_0_5_Medium_Test_Transformed_80,12863,11087,0.46292275574112735,605610,0,107956,0,,0.0,0.0
0.85,LogReg_5_Fold_alpha_balanced_Medium_Test,1337,1139,0.46001615508885296,600715,4895,103032,4924,0.5014767287911193,0.04561117492311682,0.04534254696357776
0.87,LogReg_5_Fold_alpha_balanced_Medium_Test_Transformed_100,1239,1026,0.45298013245033114,600197,5413,102579,5377,0.49833178869323447,0.04980732891177887,0.050140798102930824
0.93,LogReg_5_Fold_alpha_balanced_Medium_Test_Transformed_98,1016,861,0.45871070857751733,599903,5707,102333,5623,0.4962930273609885,0.0520860350513172,0.052864129830671756
0.96,LogReg_5_Fold_alpha_balanced_Medium_Test_Transformed_95,963,785,0.4490846681922197,599972,5638,102378,5578,0.4973252496433666,0.05166919856237726,0.052224980547630515
0.99,LogReg_5_Fold_alpha_balanced_Medium_Test_Transformed_90,954,781,0.4501440922190202,599293,6317,101821,6135,0.4926919370382268,0.05682870799214495,0.05851458001407981
1.0,LogReg_5_Fold_alpha_balanced_Medium_Test_Transformed_80,13687,11482,0.45619611426755136,605610,0,107956,0,,0.0,0.0
0.5,AdaBoost_5_Fold_Medium_Test,600837,103236,0.1466268412508362,600973,4637,103240,4716,0.5042232438789693,0.043684464040905556,0.042952684426988776
0.74,AdaBoost_5_Fold_Medium_Test_Transformed_100,1114,992,0.4710351377018044,599839,5771,102257,5699,0.4968613775065388,0.05279002556597132,0.053456963948275225
0.88,AdaBoost_5_Fold_Medium_Test_Transformed_98,709,631,0.4708955223880597,599913,5697,102327,5629,0.49699805756666077,0.052141613249842525,0.05277149949979621
0.94,AdaBoost_5_Fold_Medium_Test_Transformed_95,639,534,0.45524296675191817,600316,5294,102668,5288,0.49971649971649973,0.04898291896698655,0.049038497165511875
0.99,AdaBoost_5_Fold_Medium_Test_Transformed_90,544,514,0.48582230623818523,599610,6000,102077,5879,0.4949069787019109,0.05445737152173107,0.05557819852532513
1.0,AdaBoost_5_Fold_Medium_Test_Transformed_80,13320,11348,0.4600291876114805,605610,0,107956,0,,0.0,0.0
0.94,BalBag_5_Fold_Medium_Test,113,66,0.3687150837988827,600206,5404,102836,5120,0.4865070315469403,0.04742672940827745,0.050057430805142834
0.94,BalBag_5_Fold_Medium_Test_Transformed_100,113,66,0.3687150837988827,600206,5404,102836,5120,0.4865070315469403,0.04742672940827745,0.050057430805142834
0.94,BalBag_5_Fold_Medium_Test_Transformed_98,113,66,0.3687150837988827,600206,5404,102836,5120,0.4865070315469403,0.04742672940827745,0.050057430805142834
0.94,BalBag_5_Fold_Medium_Test_Transformed_95,113,66,0.3687150837988827,600206,5404,102836,5120,0.4865070315469403,0.04742672940827745,0.050057430805142834
1.0,BalBag_5_Fold_Medium_Test_Transformed_90,15682,12783,0.4490778148603548,605610,0,107956,0,,0.0,0.0
1.0,BalBag_5_Fold_Medium_Test_Transformed_80,15682,12783,0.4490778148603548,605610,0,107956,0,,0.0,0.0
0.54,EEC_5_Fold_Medium_Test,10039,6434,0.39057852243064406,597504,8106,101112,6844,0.4577926421404682,0.06339619845122087,0.07508614620771425
0.76,EEC_5_Fold_Medium_Test_Transformed_100,1193,1101,0.479947689625109,599561,6049,102788,5168,0.4607292502451636,0.04787135499648005,0.05603208714661529
0.91,EEC_5_Fold_Medium_Test_Transformed_98,812,800,0.49627791563275436,599426,6184,102697,5259,0.4595822773748143,0.04871429100744748,0.057282596613435106
0.98,EEC_5_Fold_Medium_Test_Transformed_95,1363,1163,0.4604117181314331,600047,5563,103133,4823,0.4643751203543231,0.044675608581273854,0.05153025306606395
0.99,EEC_5_Fold_Medium_Test_Transformed_90,786,644,0.45034965034965035,598616,6994,101900,6056,0.46406130268199236,0.05609692837822817,0.064785653414354
1.0,EEC_5_Fold_Medium_Test_Transformed_80,15383,11619,0.43030145915117396,605610,0,107956,0,,0.0,0.0
0.51,RUSBoost_5_Fold_Medium_Test,181986,51550,0.22073684571115373,604009,1601,107217,739,0.3158119658119658,0.006845381451702545,0.014830115973174256
0.48,RUSBoost_5_Fold_Medium_Test_Transformed_100,1702,439,0.2050443717888837,599889,5721,105844,2112,0.2696284948295672,0.019563525880914447,0.05299381229389751
0.91,RUSBoost_5_Fold_Medium_Test_Transformed_98,379,131,0.2568627450980392,600203,5407,105957,1999,0.26991628409397783,0.018516803142020824,0.050085219904405495
0.99,RUSBoost_5_Fold_Medium_Test_Transformed_95,298,81,0.21372031662269128,597252,8358,105174,2782,0.24973070017953322,0.025769758049575753,0.07742043054577791
1.0,RUSBoost_5_Fold_Medium_Test_Transformed_90,18192,5611,0.23572658908540942,605610,0,107956,0,,0.0,0.0
1.0,RUSBoost_5_Fold_Medium_Test_Transformed_80,37757,10974,0.22519546079497652,605610,0,107956,0,,0.0,0.0
0.52,KBFC_5_Fold_alpha_0_5_gamma_0_0_Medium_Test,627,559,0.47133220910623946,600202,5408,101777,6179,0.5332700440148442,0.057236281447997334,0.05009448293749305
0.57,KBFC_5_Fold_alpha_0_5_gamma_0_0_Medium_Test_Transformed_100,545,518,0.4873000940733772,600245,5365,101835,6121,0.5329096291137037,0.056699025528919186,0.04969617251472822
