Index,Filename,Roll,Min/Max,Min,Max,Diff,y_proba,Prec,TN,FP,FN,TP,FP/P,Hard,Medium,Easy,Features
640987,AdaBoost_Medium_Run_0,Prec_1,Min,0.502993226,0.502993226,0,0.502993226,0.666666667,605609,1,107954,2,9.26E-06,0,1,0,2
640987,AdaBoost_Medium_Run_0,Prec_1,Max,0.502993226,0.502993226,0,0.502993226,0.666666667,605609,1,107954,2,9.26E-06,0,1,0,2
1306,AdaBoost_Medium_Run_0_Round_5,Prec_10,Min,0.50253,0.50256,3.00E-05,0.50253,0.658862876,605601,9,107937,19,8.34E-05,0,1,0,2
1307,AdaBoost_Medium_Run_0_Round_5,Prec_10,Max,0.50253,0.50256,3.00E-05,0.50256,0.669039146,605602,8,107937,19,7.41E-05,0,1,0,2
1308,AdaBoost_Medium_Run_0_Round_5,Prec_20,Min,0.50257,0.50259,2.00E-05,0.50257,0.666666667,605602,8,107939,17,7.41E-05,0,1,0,2
1309,AdaBoost_Medium_Run_0_Round_5,Prec_20,Max,0.50257,0.50259,2.00E-05,0.50259,0.67611336,605604,6,107939,17,5.56E-05,0,1,0,2
1322,AdaBoost_Medium_Run_0_Round_5,Prec_1,Min,0.50299,0.50299,0,0.50299,0.666666667,605609,1,107954,2,9.26E-06,0,1,0,2
1322,AdaBoost_Medium_Run_0_Round_5,Prec_1,Max,0.50299,0.50299,0,0.50299,0.666666667,605609,1,107954,2,9.26E-06,0,1,0,2
637974,AdaBoost_Medium_Run_1,Prec_1,Min,0.502488644,0.502949063,0.000460419,0.502488644,0.657142857,605598,12,107933,23,0.000111156,0,1,0,2
637974,AdaBoost_Medium_Run_1,Prec_20,Min,0.502488644,0.502506761,1.81E-05,0.502488644,0.65915493,605598,12,107933,23,0.000111156,0,1,0,2
637973,AdaBoost_Medium_Run_1,Prec_50,Min,0.502488614,0.502564356,7.57E-05,0.502488614,0.658082192,605597,13,107933,23,0.000120419,0,1,0,2
