Index,len,Filename,p,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,FP/P
137662,143699,KBFC_alpha_0_5_gamma_1_0_Easy_Run_1,0.4017607,3,2,0.4,594815,10795,102084,5872,0.3523129537409252,0.09999444218014747
654590,681736,KBFC_alpha_0_5_gamma_2_0_Hard_Run_0,0.50889254,1,0,0.0,594814,10796,91186,16770,0.6083581223246027,0.10000370521323503
654401,681141,KBFC_alpha_0_5_gamma_2_0_Hard_Run_1,0.502525,1,0,0.0,594814,10796,91529,16427,0.6034235756529406,0.10000370521323503
602488,623001,KBFC_alpha_0_5_gamma_2_0_Medium_Run_0,0.48646322,1,0,0.0,594814,10796,97462,10494,0.49290746829497417,0.10000370521323503
602555,623139,KBFC_alpha_0_5_gamma_2_0_Medium_Run_1,0.4857592,1,0,0.0,594814,10796,97340,10616,0.4957967494862694,0.10000370521323503
136492,142679,KBFC_alpha_0_5_gamma_2_0_Easy_Run_0,0.43866032,1,0,0.0,594814,10796,102087,5869,0.3521752175217522,0.10000370521323503
136742,142701,KBFC_alpha_0_5_gamma_2_0_Easy_Run_1,0.4369536,7,0,0.0,594811,10799,102216,5740,0.347058467863837,0.10003149431249768
684056,706940,LogReg_alpha_0_5_Hard_Run_0,0.4737070363854122,1,0,0.0,594814,10796,95725,12231,0.5311590741303687,0.10000370521323503
683939,706841,LogReg_alpha_0_5_Hard_Run_1,0.4733117746744552,1,0,0.0,594814,10796,95691,12265,0.5318503100472659,0.10000370521323503
634828,654707,LogReg_alpha_0_5_Medium_Run_0,0.424544703273545,1,1,0.5,594814,10796,98297,9659,0.47220728428257147,0.10000370521323503
634749,654624,LogReg_alpha_0_5_Medium_Run_1,0.4246153676235852,1,0,0.0,594814,10796,98293,9663,0.4723104746077521,0.10000370521323503
139613,144949,LogReg_alpha_0_5_Easy_Run_0,0.3205752205100394,1,0,0.0,594814,10796,102733,5223,0.3260503152506399,0.10000370521323503
139716,145049,LogReg_alpha_0_5_Easy_Run_1,0.3205881202668162,2,0,0.0,594813,10797,102765,5191,0.32468101075806854,0.10001296824632258
684573,706940,LogReg_alpha_balanced_Hard_Run_0,0.8461972805469324,1,0,0.0,594814,10796,96238,11718,0.5204761481744692,0.10000370521323503
684590,706983,LogReg_alpha_balanced_Hard_Run_1,0.8460794548589397,1,0,0.0,594814,10796,96197,11759,0.521347816448681,0.10000370521323503
634959,654707,LogReg_alpha_balanced_Medium_Run_0,0.8106785511898972,1,0,0.0,594814,10796,98414,9542,0.4691710099321467,0.10000370521323503
634729,654449,LogReg_alpha_balanced_Medium_Run_1,0.8104240686280813,1,0,0.0,594814,10796,98402,9554,0.4694840294840295,0.10000370521323503
