Index,Filename,Roll,Min/Max,Min,Max,Diff,y_proba,Neg,Pos,mprob,TN,FP,FN,TP,FP/P
3420,AdaBoost_Hard_Run_0,mProb_1,Min,0.4889965175340156,0.5058516425329693,0.016855124998953752,0.4889965175340156,1.0,1.0,0.5,3431,602179,29,107927,5.578004001630294
705466,AdaBoost_Hard_Run_0,mProb_1,Max,0.4889965175340156,0.5058516425329693,0.016855124998953752,0.5058516425329693,1.0,1.0,0.5,605608,2,107951,5,1.8526066175108377e-05
63144,AdaBoost_Hard_Run_0,mProb_10,Min,0.4915509289783036,0.5043718760307259,0.01282094705242226,0.4915509289783036,5.0,5.0,0.5,62699,542911,1263,106693,5.029002556597132
705323,AdaBoost_Hard_Run_0,mProb_10,Max,0.4915509289783036,0.5043718760307259,0.01282094705242226,0.5043718760307259,5.0,5.0,0.5,605579,31,107836,120,0.00028715402571417983
409900,AdaBoost_Hard_Run_0,mProb_20,Min,0.4952974882383473,0.5042251468547653,0.008927658616417977,0.4952974882383473,10.0,10.0,0.5,385998,219612,28913,79043,2.0342732224239506
705260,AdaBoost_Hard_Run_0,mProb_20,Max,0.4952974882383473,0.5042251468547653,0.008927658616417977,0.5042251468547653,10.0,10.0,0.5,605561,49,107791,165,0.00045388862129015523
564660,AdaBoost_Hard_Run_0,mProb_50,Min,0.4969534274503662,0.5026890742202264,0.005735646769860159,0.4969534274503662,25.0,25.0,0.5,513807,91803,57598,50358,0.8503742265367372
703526,AdaBoost_Hard_Run_0,mProb_50,Max,0.4969534274503662,0.5026890742202264,0.005735646769860159,0.5026890742202264,25.0,25.0,0.5,604955,655,106648,1308,0.006067286672347994
637939,AdaBoost_Hard_Run_0,mProb_100,Min,0.4982433593097572,0.5025138997615667,0.004270540451809468,0.4982433593097572,52.0,50.0,0.49019607843137253,567091,38519,78353,29603,0.3568027714994998
703145,AdaBoost_Hard_Run_0,mProb_100,Max,0.4982433593097572,0.5025138997615667,0.004270540451809468,0.5025138997615667,50.0,51.0,0.504950495049505,604804,806,106416,1540,0.007466004668568676
662836,AdaBoost_Hard_Run_0,mProb_200,Min,0.4989569201180137,0.5020038946957059,0.003046974577692263,0.4989569201180137,103.0,100.0,0.49261083743842365,583099,22511,87485,20471,0.20852013783393233
701717,AdaBoost_Hard_Run_0,mProb_200,Max,0.4989569201180137,0.5020038946957059,0.003046974577692263,0.5020038946957059,99.0,103.0,0.5099009900990099,604230,1380,105558,2398,0.01278298566082478
684325,AdaBoost_Hard_Run_0,mProb_500,Min,0.4999269026566981,0.5015555757011466,0.0016286730444485253,0.4999269026566981,256.0,247.0,0.49105367793240556,595519,10091,96736,11220,0.09347326688650932
699897,AdaBoost_Hard_Run_0,mProb_500,Max,0.4999269026566981,0.5015555757011466,0.0016286730444485253,0.5015555757011466,246.0,256.0,0.5099601593625498,603393,2217,104564,3392,0.020536144355107637
686350,AdaBoost_Hard_Run_0,mProb_1000,Min,0.500057618893367,0.5009907313222443,0.0009331124288772807,0.500057618893367,513.0,494.0,0.49056603773584906,596592,9018,97701,10255,0.08353403238356367
696501,AdaBoost_Hard_Run_0,mProb_1000,Max,0.500057618893367,0.5009907313222443,0.0009331124288772807,0.5009907313222443,495.0,514.0,0.5094152626362736,601813,3797,102721,5235,0.03517173663344325
688673,AdaBoost_Hard_Run_0,mProb_2000,Min,0.5002212217699441,0.5009413286055528,0.000720106835608747,0.5002212217699441,1025.0,985.0,0.4900497512437811,597817,7793,98816,9140,0.07218681685130979
