Filename,n,nUnique,nUnique/n,95%,95%/n,90%,90%/n,80%,80%/n,B[10],B[10]/n,B[20],B[20]/n,B[100],B[100]/n,B[200],B[200],min,max,
EEC_Easy_Run_1,713566,1120,0.0016,707,0.0010,554,0.0008,354,0.0005,59050,0.0828,103987,0.1457,320329,0.4489,463687,0.6498,0.4718,0.5335
KBFC_alpha_0_5_gamma_0_0_Hard_Run_0,713566,695080,0.9741,659402,0.9241,623723,0.8741,552367,0.7741,104,0.0001,145,0.0002,409,0.0006,709,0.0010,0.0000,0.9950
KBFC_alpha_0_5_gamma_0_0_Hard_Run_1,713566,694179,0.9728,658501,0.9228,622822,0.8728,551466,0.7728,105,0.0001,145,0.0002,421,0.0006,721,0.0010,0.0000,0.9985
KBFC_alpha_0_5_gamma_0_0_Medium_Run_0,713566,640914,0.8982,605236,0.8482,569557,0.7982,498201,0.6982,146,0.0002,239,0.0003,803,0.0011,1399,0.0020,0.0010,0.9292
KBFC_alpha_0_5_gamma_0_0_Medium_Run_1,713566,639395,0.8961,603717,0.8461,568038,0.7961,496682,0.6961,148,0.0002,240,0.0003,830,0.0012,1430,0.0020,0.0014,0.9247
KBFC_alpha_0_5_gamma_0_0_Easy_Run_0,713566,144072,0.2019,108394,0.1519,82360,0.1154,52855,0.0741,1332,0.0019,2452,0.0034,10462,0.0147,19309,0.0271,0.0046,0.7637
KBFC_alpha_0_5_gamma_0_0_Easy_Run_1,713566,144148,0.2020,108470,0.1520,82376,0.1154,52883,0.0741,1323,0.0019,2462,0.0035,10523,0.0147,19329,0.0271,0.0115,0.8359
KBFC_alpha_balanced_gamma_0_0_Hard_Run_0,713566,695135,0.9742,659457,0.9242,623778,0.8742,552422,0.7742,102,0.0001,142,0.0002,401,0.0006,701,0.0010,0.0000,0.9970
KBFC_alpha_balanced_gamma_0_0_Hard_Run_1,713566,695153,0.9742,659475,0.9242,623796,0.8742,552440,0.7742,105,0.0001,147,0.0002,423,0.0006,723,0.0010,0.0000,0.9993
KBFC_alpha_balanced_gamma_0_0_Medium_Run_0,713566,640436,0.8975,604758,0.8475,569079,0.7975,497723,0.6975,145,0.0002,239,0.0003,807,0.0011,1405,0.0020,0.0015,0.9749
KBFC_alpha_balanced_gamma_0_0_Medium_Run_1,713566,639864,0.8967,604186,0.8467,568507,0.7967,497151,0.6967,141,0.0002,233,0.0003,800,0.0011,1397,0.0020,0.0019,0.9861
KBFC_alpha_balanced_gamma_0_0_Easy_Run_0,713566,143914,0.2017,108236,0.1517,82264,0.1153,52788,0.0740,1339,0.0019,2459,0.0034,10472,0.0147,19316,0.0271,0.0393,0.8987
KBFC_alpha_balanced_gamma_0_0_Easy_Run_1,713566,143955,0.2017,108277,0.1517,82237,0.1152,52770,0.0740,1326,0.0019,2457,0.0034,10506,0.0147,19371,0.0271,0.0355,0.8820
KBFC_alpha_0_5_gamma_1_0_Hard_Run_0,713566,689671,0.9665,653993,0.9165,618314,0.8665,546958,0.7665,104,0.0001,145,0.0002,420,0.0006,720,0.0010,0.0008,0.9654
KBFC_alpha_0_5_gamma_1_0_Hard_Run_1,713566,689279,0.9660,653601,0.9160,617922,0.8660,546566,0.7660,104,0.0001,148,0.0002,429,0.0006,729,0.0010,0.0000,0.9810
KBFC_alpha_0_5_gamma_1_0_Medium_Run_0,713566,632818,0.8868,597140,0.8368,561461,0.7868,490105,0.6868,146,0.0002,239,0.0003,809,0.0011,1409,0.0020,0.0148,0.8143
KBFC_alpha_0_5_gamma_1_0_Medium_Run_1,713566,633632,0.8880,597954,0.8380,562275,0.7880,490919,0.6880,141,0.0002,233,0.0003,815,0.0011,1415,0.0020,0.0211,0.8812
KBFC_alpha_0_5_gamma_1_0_Easy_Run_0,713566,143498,0.2011,107820,0.1511,81977,0.1149,52586,0.0737,1332,0.0019,2452,0.0034,10459,0.0147,19306,0.0271,0.0570,0.6779
KBFC_alpha_0_5_gamma_1_0_Easy_Run_1,713566,143699,0.2014,108021,0.1514,82058,0.1150,52646,0.0738,1352,0.0019,2493,0.0035,10470,0.0147,19332,0.0271,0.0564,0.5969
KBFC_alpha_0_5_gamma_2_0_Hard_Run_0,713566,681736,0.9554,646058,0.9054,610379,0.8554,539023,0.7554,104,0.0001,144,0.0002,455,0.0006,755,0.0011,0.0004,0.9729
KBFC_alpha_0_5_gamma_2_0_Hard_Run_1,713566,681141,0.9546,645463,0.9046,609784,0.8546,538428,0.7546,106,0.0001,146,0.0002,466,0.0007,778,0.0011,0.0001,0.9788
KBFC_alpha_0_5_gamma_2_0_Medium_Run_0,713566,623001,0.8731,587323,0.8231,551644,0.7731,480288,0.6731,147,0.0002,241,0.0003,829,0.0012,1430,0.0020,0.0438,0.7364
KBFC_alpha_0_5_gamma_2_0_Medium_Run_1,713566,623139,0.8733,587461,0.8233,551782,0.7733,480426,0.6733,141,0.0002,234,0.0003,836,0.0012,1439,0.0020,0.0462,0.7803
KBFC_alpha_0_5_gamma_2_0_Easy_Run_0,713566,142679,0.2000,107001,0.1500,81469,0.1142,52229,0.0732,1361,0.0019,2486,0.0035,10520,0.0147,19373,0.0271,0.0946,0.5624
KBFC_alpha_0_5_gamma_2_0_Easy_Run_1,713566,142701,0.2000,107023,0.1500,81502,0.1142,52261,0.0732,1344,0.0019,2472,0.0035,10498,0.0147,19379,0.0272,0.1240,0.6268
LogReg_alpha_0_5_Hard_Run_0,713566,706940,0.9907,671262,0.9407,635583,0.8907,564227,0.7907,101,0.0001,141,0.0002,392,0.0005,692,0.0010,0.0036,0.9149
LogReg_alpha_0_5_Hard_Run_1,713566,706841,0.9906,671163,0.9406,635484,0.8906,564128,0.7906,103,0.0001,143,0.0002,405,0.0006,705,0.0010,0.0036,0.9140
LogReg_alpha_0_5_Medium_Run_0,713566,654707,0.9175,619029,0.8675,583350,0.8175,511994,0.7175,145,0.0002,236,0.0003,791,0.0011,1370,0.0019,0.0105,0.8253
LogReg_alpha_0_5_Medium_Run_1,713566,654624,0.9174,618946,0.8674,583267,0.8174,511911,0.7174,137,0.0002,227,0.0003,799,0.0011,1384,0.0019,0.0099,0.8255
LogReg_alpha_0_5_Easy_Run_0,713566,144949,0.2031,109271,0.1531,82918,0.1162,53226,0.0746,1332,0.0019,2452,0.0034,10459,0.0147,19303,0.0271,0.0361,0.4763
LogReg_alpha_0_5_Easy_Run_1,713566,145049,0.2033,109371,0.1533,82984,0.1163,53291,0.0747,1345,0.0019,2482,0.0035,10464,0.0147,19337,0.0271,0.0364,0.4779
LogReg_alpha_balanced_Hard_Run_0,713566,706940,0.9907,671262,0.9407,635583,0.8907,564227,0.7907,101,0.0001,141,0.0002,392,0.0005,692,0.0010,0.0173,0.9888
LogReg_alpha_balanced_Hard_Run_1,713566,706983,0.9908,671305,0.9408,635626,0.8908,564270,0.7908,102,0.0001,142,0.0002,397,0.0006,697,0.0010,0.0171,0.9879
LogReg_alpha_balanced_Medium_Run_0,713566,654707,0.9175,619029,0.8675,583350,0.8175,511994,0.7175,145,0.0002,236,0.0003,791,0.0011,1370,0.0019,0.0556,0.9642
LogReg_alpha_balanced_Medium_Run_1,713566,654449,0.9172,618771,0.8672,583092,0.8172,511736,0.7172,143,0.0002,235,0.0003,796,0.0011,1372,0.0019,0.0536,0.9634
LogReg_alpha_balanced_Easy_Run_0,713566,144949,0.2031,109271,0.1531,82918,0.1162,53226,0.0746,1332,0.0019,2452,0.0034,10459,0.0147,19303,0.0271,0.1702,0.8380
LogReg_alpha_balanced_Easy_Run_1,713566,145207,0.2035,109529,0.1535,83028,0.1164,53304,0.0747,1354,0.0019,2488,0.0035,10490,0.0147,19327,0.0271,0.1715,0.8369
RFC_Hard_Run_0,713566,458530,0.6426,422852,0.5926,387173,0.5426,315817,0.4426,839,0.0012,1512,0.0021,5872,0.0082,9988,0.0140,0.1062,0.3111
RFC_Hard_Run_1,713566,504600,0.7072,468922,0.6572,433243,0.6072,361887,0.5072,804,0.0011,1430,0.0020,5144,0.0072,8609,0.0121,0.1021,0.3121
RFC_Medium_Run_0,713566,210190,0.2946,174512,0.2446,138833,0.1946,72335,0.1014,5430,0.0076,9144,0.0128,30554,0.0428,48246,0.0676,0.1064,0.2750
RFC_Medium_Run_1,713566,153350,0.2149,117672,0.1649,81993,0.1149,38879,0.0545,8773,0.0123,14604,0.0205,45617,0.0639,72280,0.1013,0.1077,0.2847
RFC_Easy_Run_0,713566,22872,0.0321,10573,0.0148,7209,0.0101,4013,0.0056,25190,0.0353,41191,0.0577,120150,0.1684,174966,0.2452,0.1038,0.2196
RFC_Easy_Run_1,713566,47035,0.0659,25559,0.0358,18124,0.0254,10727,0.0150,8542,0.0120,14086,0.0197,50311,0.0705,83645,0.1172,0.1025,0.2238
RUSBoost_Hard_Run_0,713566,706937,0.9907,671259,0.9407,635580,0.8907,564224,0.7907,101,0.0001,141,0.0002,392,0.0005,692,0.0010,0.4990,0.5011
RUSBoost_Hard_Run_1,713566,706836,0.9906,671158,0.9406,635479,0.8906,564123,0.7906,107,0.0001,147,0.0002,403,0.0006,703,0.0010,0.4990,0.5011
RUSBoost_Medium_Run_0,713566,654140,0.9167,618462,0.8667,582783,0.8167,511427,0.7167,145,0.0002,236,0.0003,796,0.0011,1384,0.0019,0.4881,0.5253
RUSBoost_Medium_Run_1,713566,654335,0.9170,618657,0.8670,582978,0.8170,511622,0.7170,144,0.0002,237,0.0003,815,0.0011,1409,0.0020,0.4829,0.5323
RUSBoost_Easy_Run_0,713566,141828,0.1988,106150,0.1488,80536,0.1129,51343,0.0720,1812,0.0025,3080,0.0043,11530,0.0162,20638,0.0289,0.4857,0.6236
RUSBoost_Easy_Run_1,713566,145110,0.2034,109432,0.1534,82979,0.1163,53301,0.0747,1352,0.0019,2482,0.0035,10469,0.0147,19245,0.0270,0.4827,0.5463
Test,430,332,0.7721,310,0.7209,289,0.6721,246,0.5721,88,0.2047,108,0.2512,199,0.4628,299,0.6953,5.0000,399.0000
Test,430,332,0.7721,310,0.7209,289,0.6721,246,0.5721,88,0.2047,108,0.2512,199,0.4628,299,0.6953,5.0000,399.0000
AdaBoost_Hard_Run_0,713566,705474,0.9887,669796,0.9387,634117,0.8887,562761,0.7887,104,0.0001,144,0.0002,404,0.0006,704,0.0010,0.4860,0.5066
Test,430,332,0.7721,310,0.7209,289,0.6721,246,0.5721,88,0.2047,108,0.2512,199,0.4628,299,0.6953,5.0000,399.0000
Test,430,332,0.7721,310,0.7209,289,0.6721,246,0.5721,88,0.2047,108,0.2512,199,0.4628,299,0.6953,5.0000,399.0000
Test,430,332,0.7721,310,0.7209,289,0.6721,246,0.5721,88,0.2047,108,0.2512,199,0.4628,299,0.6953,5.0000,399.0000
Test,430,332,0.7721,310,0.7209,289,0.6721,246,0.5721,88,0.2047,108,0.2512,199,0.4628,299,0.6953,5.0000,399.0000
Test,430,332,0.7721,310,0.7209,289,0.6721,246,0.5721,88,0.2047,108,0.2512,199,0.4628,299,0.6953,5.0000,399.0000
Test,430,332,0.7721,310,0.7209,289,0.6721,246,0.5721,88,0.2047,108,0.2512,199,0.4628,299,0.6953
Ideal,713566,707905,0.9921,672227,0.9421,636548,0.8921,565192,0.7921,5672,0.0079,5682,0.0080,5762,0.0081,5862,0.0082
Ideal_Left,713566,707905,0.9921,672227,0.9421,636548,0.8921,565192,0.7921,5672,0.0079,5682,0.0080,5762,0.0081,5862,0.0082
Test,430,332,0.7721,310,0.7209,289,0.6721,246,0.5721,88,0.2047,108,0.2512,199,0.4628,299,0.6953
Ideal,713566,707905,0.9921,672227,0.9421,636548,0.8921,565192,0.7921,5672,0.0079,5682,0.0080,5762,0.0081,5862,0.0082
Ideal_Left,713566,707905,0.9921,672227,0.9421,636548,0.8921,565192,0.7921,5672,0.0079,5682,0.0080,5762,0.0081,5862,0.0082
