,0
0.489517405521387,10567
0.4885875127115575,9469
0.4953366305314374,9434
0.4893184449302638,9303
0.4892883655296174,9203
0.5030617233970609,8421
0.4950735582503188,8409
0.4944664061118831,8324
0.4951609879567969,8313
0.4972411636838185,7969
0.4887512757698846,7912
0.5028224160827038,7634
0.503018195720558,7588
0.5023359872827349,7515
0.4964554141205375,7235
0.4971742427533167,7210
0.497035809041313,7196
0.4945822966204217,6683
0.4967206933830792,5793
0.5025533273845015,5753
0.4697932044193342,5224
0.4639981625649095,5010
0.5037394140993248,4905
0.4774968536021681,4741
0.4798043835116489,4689
0.4692708548677132,4669
0.468674770822029,4634
0.4692867455179452,4606
0.4856179842984913,4589
0.4628217832116932,4576
0.4635262588937496,4506
0.4634533615132292,4492
0.4933396763378266,4491
0.5035530748803587,4365
0.4770132948965401,4320
0.4771054922364084,4317
0.5037591754621646,4306
0.5026536310667226,4249
0.4765207956829872,4244
0.4787969747542181,4218
0.4795548613502312,4208
0.4793938533329093,4122
0.4846697059829651,4120
0.485230491396476,4029
0.4930840303000675,3986
0.4853343343001155,3978
0.4716913209314025,3957
0.4925352741658876,3949
0.4930796156449578,3947
0.487521247587142,3917
0.4630011757382156,3798
0.4688066950732263,3777
0.4712421794389566,3710
0.5029659732413424,3689
0.4706566193662188,3682
0.5095589446337445,3657
0.4712771163413866,3649
0.4872952363211367,3580
0.4866572392568379,3536
0.4872423388743789,3517
0.5114627404439539,3440
0.4767541793158963,3349
0.4791751032327839,3348
0.5096020833077866,3321
0.5085334768760762,3275
0.5093387180557805,3228
0.4929674880205345,3161
0.485000256742303,3106
0.517278489846335,3085
0.5113002534502711,2995
0.511614549753616,2981
0.5105219287379177,2971
0.4709374997209381,2925
0.4871371606414151,2779
0.517082195364378,2759
0.5174535651458191,2722
0.5163982467731081,2675
0.5087978031948961,2659
0.4960430300224551,2505
0.4955708566824344,2437
0.4956577382936956,2406
0.5109355232015874,2387
0.4957270260313747,2378
0.4951910863006142,2373
0.5018635647543503,2307
0.5010715888843672,2182
0.501403424444619,2158
0.5014442976557376,2155
0.501570932247316,2138
0.5167636808334363,2126
0.5095876629973144,2117
0.5077302000754569,2104
0.5091923120528532,2059
0.5094272118379499,2001
0.5037681419924553,1969
0.5089404658108779,1969
0.5206052764158852,1942
0.5030607289037412,1878
0.503584250519063,1875
0.501898209200746,1800
