p,Filename,Neg,Pos,$m$Prob,TN,FP,FN,TP,Prec,Rec,$\frac{\text{FP}}{\text{P}}$
0.25,RFC_5_Fold_Hard_Test,7710,5227,0.4040349385483497,595907,9703,99023,8933,0.479341060313372,0.08274667457112157,0.0898792100485383
0.72,RFC_5_Fold_Hard_Test_Transformed_100,1176,843,0.4175334323922734,598150,7460,100647,7309,0.4948879409574108,0.06770350883693356,0.06910222683315424
0.82,RFC_5_Fold_Hard_Test_Transformed_98,965,684,0.41479684657368104,598616,6994,100970,6986,0.49971387696709585,0.06471154914965356,0.064785653414354
0.88,RFC_5_Fold_Hard_Test_Transformed_95,889,630,0.4147465437788018,598301,7309,100748,7208,0.4965213198319212,0.06676794249509059,0.06770350883693356
0.97,RFC_5_Fold_Hard_Test_Transformed_90,741,491,0.398538961038961,598907,6703,101154,6802,0.5036653091447612,0.06300715106154359,0.06209011078587573
0.99,RFC_5_Fold_Hard_Test_Transformed_80,948,583,0.3807968647942521,592479,13131,96510,11446,0.46571998209708265,0.10602467672014525,0.12163288747267405
0.68,BRFC_5_Fold_alpha_0_5_Hard_Test,4069,1938,0.32262360579324123,561907,43703,64213,43743,0.5002287125769046,0.40519285634888286,0.40482233502538073
0.68,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_100,4069,1938,0.32262360579324123,561907,43703,64213,43743,0.5002287125769046,0.40519285634888286,0.40482233502538073
0.7,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_98,4034,1946,0.3254180602006689,562002,43608,64265,43691,0.5004753777248308,0.40471117862833006,0.40394234688206304
0.71,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_95,4019,1954,0.32713879122718903,562244,43366,64382,43574,0.5011962272831838,0.4036274037570862,0.401700692874875
0.71,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_90,3973,1908,0.3244346199625914,561928,43682,64224,43732,0.5002859953783146,0.40509096298491976,0.4046278113305421
0.73,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_80,3849,1857,0.325446898002103,561943,43667,64236,43720,0.5003032487669791,0.40497980658786914,0.4044888658342288
0.67,BRFC_5_Fold_alpha_balanced_Hard_Test,3961,1773,0.30920823160097666,561512,44098,64492,43464,0.49637970809255155,0.40260847011745526,0.4084812330949646
0.67,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_100,3961,1773,0.30920823160097666,561512,44098,64492,43464,0.49637970809255155,0.40260847011745526,0.4084812330949646
0.69,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_98,3799,1723,0.3120246287576965,561638,43972,64547,43409,0.49677847587004037,0.40209900329763976,0.4073140909259328
