Filename,ROC_AUC
AdaBoost_Hard_Run_2,0.752597
AdaBoost_Medium_Run_2,0.701155
AdaBoost_Easy_Run_2,0.655110
BalBag_Hard_Run_2,0.763091
BalBag_Medium_Run_2,0.696037
BalBag_Easy_Run_2,0.656589
BRFC_alpha_0_5_Hard_Run_2,0.800939
BRFC_alpha_0_5_Medium_Run_2,0.729585
BRFC_alpha_0_5_Easy_Run_2,0.665779
BRFC_alpha_balanced_Hard_Run_2,0.800439
BRFC_alpha_balanced_Medium_Run_2,0.727108
BRFC_alpha_balanced_Easy_Run_2,0.648512
EEC_Hard_Run_2,0.730353
EEC_Medium_Run_2,0.687849
EEC_Easy_Run_2,0.652953
KBFC_alpha_0_5_gamma_0_0_Hard_Run_2,0.777907
KBFC_alpha_0_5_gamma_0_0_Medium_Run_2,0.713552
KBFC_alpha_0_5_gamma_0_0_Easy_Run_2,0.659632
KBFC_alpha_balanced_gamma_0_0_Hard_Run_2,0.778080
KBFC_alpha_balanced_gamma_0_0_Medium_Run_2,0.715095
KBFC_alpha_balanced_gamma_0_0_Easy_Run_2,0.659829
KBFC_alpha_0_5_gamma_1_0_Hard_Run_2,0.777323
KBFC_alpha_0_5_gamma_1_0_Medium_Run_2,0.715640
KBFC_alpha_0_5_gamma_1_0_Easy_Run_2,0.659774
KBFC_alpha_0_5_gamma_2_0_Hard_Run_2,0.777359
KBFC_alpha_0_5_gamma_2_0_Medium_Run_2,0.714526
KBFC_alpha_0_5_gamma_2_0_Easy_Run_2,0.659577
LogReg_alpha_0_5_Hard_Run_2,0.753150
LogReg_alpha_0_5_Medium_Run_2,0.701050
LogReg_alpha_0_5_Easy_Run_2,0.655078
LogReg_alpha_balanced_Hard_Run_2,0.754041
LogReg_alpha_balanced_Medium_Run_2,0.701342
LogReg_alpha_balanced_Easy_Run_2,0.655156
RFC_Hard_Run_2,0.714020
RFC_Medium_Run_2,0.676772
RFC_Easy_Run_2,0.645965
RUSBoost_Hard_Run_2,0.753523
RUSBoost_Medium_Run_2,0.630652
RUSBoost_Easy_Run_2,0.552202
