Index,Filename,Roll,Min/Max,Min,Max,Diff,y_proba,Neg,Pos,mprob,TN,FP,FN,TP,FP/P
6875,AdaBoost_Easy_Run_2_Round_6,mProb_10,Min,0.499008,0.499669,0.0006609999999999672,0.499008,31.0,31.0,0.5,604563,1047,107326,630,0.009698395642669236
7164,AdaBoost_Easy_Run_2_Round_6,mProb_10,Max,0.499008,0.499669,0.0006609999999999672,0.499669,6.0,6.0,0.5,605608,2,107953,3,1.8526066175108377e-05
7158,AdaBoost_Easy_Run_2_Round_6,mProb_20,Min,0.49956,0.499574,1.4000000000014001e-05,0.49956,11.0,11.0,0.5,605604,6,107950,6,5.5578198525325135e-05
7159,AdaBoost_Easy_Run_2_Round_6,mProb_20,Max,0.49956,0.499574,1.4000000000014001e-05,0.499574,11.0,11.0,0.5,605605,5,107950,6,4.6315165437770945e-05
48,BalBag_Hard_Run_2_Round_4,mProb_1,Min,0.3417,0.975,0.6333,0.3417,1.0,1.0,0.5,365321,240289,24327,83629,2.2258049575753085
200,BalBag_Hard_Run_2_Round_4,mProb_1,Max,0.3417,0.975,0.6333,0.975,6.0,6.0,0.5,602142,3468,101264,6692,0.03212419874763792
179,BalBag_Hard_Run_2_Round_4,mProb_10,Min,0.8767,0.8767,0.0,0.8767,78.0,81.0,0.5094339622641509,593471,12139,90695,17261,0.11244395864982029
179,BalBag_Hard_Run_2_Round_4,mProb_10,Max,0.8767,0.8767,0.0,0.8767,78.0,81.0,0.5094339622641509,593471,12139,90695,17261,0.11244395864982029
179,BalBag_Hard_Run_2_Round_4,mProb_50,Min,0.8767,0.8767,0.0,0.8767,28847.0,29746.0,0.5076715648626969,593471,12139,90695,17261,0.11244395864982029
179,BalBag_Hard_Run_2_Round_4,mProb_50,Max,0.8767,0.8767,0.0,0.8767,28847.0,29746.0,0.5076715648626969,593471,12139,90695,17261,0.11244395864982029
30,BalBag_Medium_Run_2_Round_4,mProb_1,Min,0.0661,0.9909,0.9248,0.0661,1.0,1.0,0.5,59678,545932,3069,104887,5.056986179554634
1954,BalBag_Medium_Run_2_Round_4,mProb_1,Max,0.0661,0.9909,0.9248,0.9909,1.0,1.0,0.5,601466,4144,103372,4584,0.03838600911482456
1932,BalBag_Medium_Run_2_Round_4,mProb_50,Min,0.9625,0.9625,0.0,0.9625,5317.0,5301.0,0.4992465624411377,600936,4674,103038,4918,0.043295416651228276
1932,BalBag_Medium_Run_2_Round_4,mProb_50,Max,0.9625,0.9625,0.0,0.9625,5317.0,5301.0,0.4992465624411377,600936,4674,103038,4918,0.043295416651228276
96,BalBag_Easy_Run_2_Round_4,mProb_1,Min,0.0254,0.9885,0.9631000000000001,0.0254,1.0,1.0,0.5,30296,575314,2003,105953,5.3291526177331505
9146,BalBag_Easy_Run_2_Round_4,mProb_1,Max,0.0254,0.9885,0.9631000000000001,0.9885,1.0,1.0,0.5,604775,835,107078,878,0.007734632628107747
8893,BalBag_Easy_Run_2_Round_4,mProb_10,Min,0.9344,0.9682,0.03379999999999994,0.9344,42.0,41.0,0.4939759036144578,602859,2751,105636,2320,0.025482604023861575
9090,BalBag_Easy_Run_2_Round_4,mProb_10,Max,0.9344,0.9682,0.03379999999999994,0.9682,35.0,35.0,0.5,604294,1316,106692,1264,0.012190151543221313
9015,BalBag_Easy_Run_2_Round_4,mProb_20,Min,0.9534,0.9875,0.03410000000000002,0.9534,61.0,62.0,0.5040650406504065,603760,1850,106264,1692,0.01713661121197525
9145,BalBag_Easy_Run_2_Round_4,mProb_20,Max,0.9534,0.9875,0.03410000000000002,0.9875,966.0,989.0,0.5058823529411764,604774,836,107077,879,0.007743895661195301
9130,BalBag_Easy_Run_2_Round_4,mProb_50,Min,0.9798,0.9798,0.0,0.9798,1231.0,1191.0,0.4917423616845582,604561,1049,106904,1052,0.009716921708844344
9130,BalBag_Easy_Run_2_Round_4,mProb_50,Max,0.9798,0.9798,0.0,0.9798,1231.0,1191.0,0.4917423616845582,604561,1049,106904,1052,0.009716921708844344
388,BRFC_alpha_0_5_Hard_Run_2_Round_4,mProb_1,Min,0.2292,0.9733,0.7441000000000001,0.2292,1.0,1.0,0.5,133854,471756,2926,105030,4.369891437252214
3112,BRFC_alpha_0_5_Hard_Run_2_Round_4,mProb_1,Max,0.2292,0.9733,0.7441000000000001,0.9733,1.0,1.0,0.5,605497,113,107312,644,0.0010467227388936233
2460,BRFC_alpha_0_5_Hard_Run_2_Round_4,mProb_10,Min,0.7483,0.8524,0.10410000000000008,0.7483,30.0,29.0,0.4915254237288136,581489,24121,75495,32461,0.2234336211048946
2852,BRFC_alpha_0_5_Hard_Run_2_Round_4,mProb_10,Max,0.7483,0.8524,0.10410000000000008,0.8524,27.0,26.0,0.49056603773584906,599505,6105,93949,14007,0.05655081699951832
2509,BRFC_alpha_0_5_Hard_Run_2_Round_4,mProb_20,Min,0.7625,0.8242,0.06170000000000009,0.7625,52.0,52.0,0.5,586094,19516,78958,28998,0.18077735373670756
2760,BRFC_alpha_0_5_Hard_Run_2_Round_4,mProb_20,Max,0.7625,0.8242,0.06170000000000009,0.8242,85.0,87.0,0.5058139534883721,596185,9425,89234,18722,0.08730408685019823
2571,BRFC_alpha_0_5_Hard_Run_2_Round_4,mProb_50,Min,0.7765,0.804,0.02750000000000008,0.7765,1867.0,1812.0,0.49252514270182113,588257,17353,80743,27213,0.16074141316832782
2688,BRFC_alpha_0_5_Hard_Run_2_Round_4,mProb_50,Max,0.7765,0.804,0.02750000000000008,0.804,1659.0,1651.0,0.4987915407854985,593388,12222,85787,22169,0.1132127903960873
2596,BRFC_alpha_0_5_Hard_Run_2_Round_4,mProb_100,Min,0.783,0.7973,0.01429999999999998,0.783,3610.0,3527.0,0.4941852318901499,589996,15614,82456,25500,0.1446329986290711
2663,BRFC_alpha_0_5_Hard_Run_2_Round_4,mProb_100,Max,0.783,0.7973,0.01429999999999998,0.7973,3381.0,3359.0,0.4983679525222552,591810,13800,84244,23712,0.1278298566082478
2614,BRFC_alpha_0_5_Hard_Run_2_Round_4,mProb_200,Min,0.7864,0.7938,0.007399999999999962,0.7864,8688.0,8529.0,0.4953824708137306,590088,15522,82541,25415,0.1437807995850161
2647,BRFC_alpha_0_5_Hard_Run_2_Round_4,mProb_200,Max,0.7864,0.7938,0.007399999999999962,0.7938,6782.0,7017.0,0.5085151097905646,591739,13871,84173,23783,0.12848753195746415
2622,BRFC_alpha_0_5_Hard_Run_2_Round_4,mProb_500,Min,0.7877,0.8,0.012300000000000089,0.7877,24455.0,23634.0,0.49146374430742995,590122,15488,82575,25381,0.1434658564600393
2674,BRFC_alpha_0_5_Hard_Run_2_Round_4,mProb_500,Max,0.7877,0.8,0.012300000000000089,0.8,22453.0,23318.0,0.5094492145681764,593351,12259,85734,22222,0.1135555226203268
5,BRFC_alpha_0_5_Medium_Run_2_Round_4,mProb_1,Min,0.0038,0.9795,0.9757,0.0038,1.0,1.0,0.5,297,605313,3,107953,5.607034347326689
8988,BRFC_alpha_0_5_Medium_Run_2_Round_4,mProb_1,Max,0.0038,0.9795,0.9757,0.9795,1.0,1.0,0.5,605311,299,107271,685,0.0027696468931787026
8176,BRFC_alpha_0_5_Medium_Run_2_Round_4,mProb_10,Min,0.8696,0.9783,0.10869999999999991,0.8696,699.0,695.0,0.49856527977044474,597183,8427,98279,9677,0.07805957982881914
8984,BRFC_alpha_0_5_Medium_Run_2_Round_4,mProb_10,Max,0.8696,0.9783,0.10869999999999991,0.9783,13.0,13.0,0.5,605308,302,107267,689,0.002797435992441365
8174,BRFC_alpha_0_5_Medium_Run_2_Round_4,mProb_20,Min,0.8694,0.9633,0.0939000000000001,0.8694,738.0,716.0,0.4924346629986245,597182,8428,98276,9680,0.0780688428619067
8931,BRFC_alpha_0_5_Medium_Run_2_Round_4,mProb_20,Max,0.8694,0.9633,0.0939000000000001,0.9633,68.0,70.0,0.5072463768115942,605038,572,106829,1127,0.005298454926080996
8282,BRFC_alpha_0_5_Medium_Run_2_Round_4,mProb_50,Min,0.8807,0.955,0.07429999999999992,0.8807,902.0,869.0,0.4906832298136646,599238,6372,100165,7791,0.05902404683389529
8882,BRFC_alpha_0_5_Medium_Run_2_Round_4,mProb_50,Max,0.8807,0.955,0.07429999999999992,0.955,149.0,144.0,0.49146757679180886,604740,870,106376,1580,0.008058838786172143
8319,BRFC_alpha_0_5_Medium_Run_2_Round_4,mProb_100,Min,0.8848,0.9186,0.03379999999999994,0.8848,1817.0,1804.0,0.49820491576912457,599495,6115,100362,7594,0.056643447330393865
8622,BRFC_alpha_0_5_Medium_Run_2_Round_4,mProb_100,Max,0.8848,0.9186,0.03379999999999994,0.9186,877.0,912.0,0.509782001117943,602709,2901,103721,4235,0.026872058986994702
8359,BRFC_alpha_0_5_Medium_Run_2_Round_4,mProb_200,Min,0.8891,0.8991,0.010000000000000009,0.8891,2882.0,2948.0,0.5056603773584906,599863,5747,100677,7279,0.053234651154173925
8450,BRFC_alpha_0_5_Medium_Run_2_Round_4,mProb_200,Max,0.8891,0.8991,0.010000000000000009,0.8991,2133.0,2192.0,0.5068208092485549,600945,4665,101772,6184,0.04321204935344029
8384,BRFC_alpha_0_5_Medium_Run_2_Round_4,mProb_500,Min,0.8919,0.9003,0.008399999999999963,0.8919,6308.0,6181.0,0.49491552566258307,600485,5125,101356,6600,0.04747304457371522
8461,BRFC_alpha_0_5_Medium_Run_2_Round_4,mProb_500,Max,0.8919,0.9003,0.008399999999999963,0.9003,5394.0,5429.0,0.5016169269149034,601416,4194,102413,5543,0.038849160769202265
8412,BRFC_alpha_0_5_Medium_Run_2_Round_4,mProb_1000,Min,0.895,0.9051,0.010099999999999998,0.895,12273.0,11869.0,0.4916328390357054,600738,4872,101607,6349,0.045129497202564005
8506,BRFC_alpha_0_5_Medium_Run_2_Round_4,mProb_1000,Max,0.895,0.9051,0.010099999999999998,0.9051,10846.0,11241.0,0.5089419115316702,601724,3886,102655,5301,0.03599614657823558
7484,BRFC_alpha_0_5_Easy_Run_2_Round_4,mProb_1,Min,0.7493,0.9988,0.24950000000000006,0.7493,7.0,7.0,0.5,565712,39898,88680,19276,0.36957649412723703
9867,BRFC_alpha_0_5_Easy_Run_2_Round_4,mProb_1,Max,0.7493,0.9988,0.24950000000000006,0.9988,1.0,1.0,0.5,605535,75,107833,123,0.0006947274815665642
9231,BRFC_alpha_0_5_Easy_Run_2_Round_4,mProb_10,Min,0.9241,0.996,0.07189999999999996,0.9241,51.0,50.0,0.49504950495049505,603218,2392,105675,2281,0.02215717514542962
9857,BRFC_alpha_0_5_Easy_Run_2_Round_4,mProb_10,Max,0.9241,0.996,0.07189999999999996,0.996,26.0,27.0,0.5094339622641509,605522,88,107809,147,0.0008151469117047686
9332,BRFC_alpha_0_5_Easy_Run_2_Round_4,mProb_20,Min,0.9343,0.9882,0.05389999999999995,0.9343,94.0,91.0,0.4918918918918919,603837,1773,106131,1825,0.016423357664233577
9823,BRFC_alpha_0_5_Easy_Run_2_Round_4,mProb_20,Max,0.9343,0.9882,0.05389999999999995,0.9882,25.0,26.0,0.5098039215686274,605447,163,107694,262,0.0015098743932713328
9346,BRFC_alpha_0_5_Easy_Run_2_Round_4,mProb_50,Min,0.9357,0.9857,0.050000000000000044,0.9357,212.0,208.0,0.49523809523809526,603894,1716,106187,1769,0.01589536477824299
9805,BRFC_alpha_0_5_Easy_Run_2_Round_4,mProb_50,Max,0.9357,0.9857,0.050000000000000044,0.9857,98.0,95.0,0.49222797927461137,605413,197,107653,303,0.0018248175182481751
9537,BRFC_alpha_0_5_Easy_Run_2_Round_4,mProb_100,Min,0.9551,0.9718,0.016700000000000048,0.9551,347.0,334.0,0.49045521292217326,604709,901,106910,1046,0.008345992811886324
9693,BRFC_alpha_0_5_Easy_Run_2_Round_4,mProb_100,Max,0.9551,0.9718,0.016700000000000048,0.9718,264.0,254.0,0.49034749034749037,605174,436,107399,557,0.004038682426173626
