Filename,len(y_proba),nUnique(y_proba),len(fpr),nUnique(fpr),len(tpr),nUnique(tpr),len(fpr tpr),nUnique(fpr tpr)
AdaBoost_Hard_Run_2,713566,705474,172309,91992,172309,80989,172309,172309,
AdaBoost_Medium_Run_2,713566,636876,240123,165790,240123,85418,240123,240123,
AdaBoost_Easy_Run_2,713566,145182,127041,116716,127041,54941,127041,127041,
BalBag_Hard_Run_2,713566,240,228,204,228,152,228,228,
BalBag_Medium_Run_2,713566,2382,2175,2031,2175,1088,2175,2175,
BalBag_Easy_Run_2,713566,49711,48589,47226,48589,32511,48589,48589,
BRFC_alpha_0_5_Hard_Run_2,713566,3804,3230,2794,3230,1668,3230,3230,
BRFC_alpha_0_5_Medium_Run_2,713566,36995,29804,26934,29804,12775,29804,29804,
BRFC_alpha_0_5_Easy_Run_2,713566,136799,121375,112316,121375,53892,121375,121375,
BRFC_alpha_balanced_Hard_Run_2,713566,5819,4306,3580,4306,2017,4306,4306,
BRFC_alpha_balanced_Medium_Run_2,713566,120491,77628,65695,77628,27138,77628,77628,
BRFC_alpha_balanced_Easy_Run_2,713566,143687,122864,112676,122864,54351,122864,122864,
EEC_Hard_Run_2,713566,3290,3254,3173,3254,2637,3254,3254,
EEC_Medium_Run_2,713566,3263,3215,3087,3215,2554,3215,3215,
EEC_Easy_Run_2,713566,960,961,961,961,960,961,961,
KBFC_alpha_0_5_gamma_0_0_Hard_Run_2,713566,694910,179310,104036,179310,78004,179310,179310,
KBFC_alpha_0_5_gamma_0_0_Medium_Run_2,713566,640288,241463,168061,241463,84784,241463,241463,
KBFC_alpha_0_5_gamma_0_0_Easy_Run_2,713566,144221,126308,116019,126308,54583,126308,126308,
KBFC_alpha_balanced_gamma_0_0_Hard_Run_2,713566,694952,177714,102625,177714,78350,177714,177714,
KBFC_alpha_balanced_gamma_0_0_Medium_Run_2,713566,640593,240221,167001,240221,84840,240221,240221,
KBFC_alpha_balanced_gamma_0_0_Easy_Run_2,713566,143896,126030,115861,126030,54499,126030,126030,
KBFC_alpha_0_5_gamma_1_0_Hard_Run_2,713566,688060,187209,113057,187209,78365,187209,187209,
KBFC_alpha_0_5_gamma_1_0_Medium_Run_2,713566,634251,245699,173529,245699,84991,245699,245699,
KBFC_alpha_0_5_gamma_1_0_Easy_Run_2,713566,143411,125705,115572,125705,54468,125705,125705,
KBFC_alpha_0_5_gamma_2_0_Hard_Run_2,713566,680658,194561,121803,194561,78828,194561,194561,
KBFC_alpha_0_5_gamma_2_0_Medium_Run_2,713566,622571,254046,183713,254046,85481,254046,254046,
KBFC_alpha_0_5_gamma_2_0_Easy_Run_2,713566,142585,125382,115336,125382,54352,125382,125382,
LogReg_alpha_0_5_Hard_Run_2,713566,706730,169733,89667,169733,80545,169733,169733,
LogReg_alpha_0_5_Medium_Run_2,713566,654161,230587,154008,230587,85321,230587,230587,
LogReg_alpha_0_5_Easy_Run_2,713566,145223,126745,116416,126745,54777,126745,126745,
LogReg_alpha_balanced_Hard_Run_2,713566,706981,169629,89443,169629,80631,169629,169629,
LogReg_alpha_balanced_Medium_Run_2,713566,654415,230716,154165,230716,85239,230716,230716,
LogReg_alpha_balanced_Easy_Run_2,713566,145024,126667,116362,126667,54723,126667,126667,
RFC_Hard_Run_2,713566,373869,218275,172943,218275,74803,218275,218275,
RFC_Medium_Run_2,713566,141541,107302,90627,107302,46184,107302,107302,
RFC_Easy_Run_2,713566,38708,37219,35621,37219,23809,37219,37219,
RUSBoost_Hard_Run_2,713566,706794,169705,89613,169705,80591,169705,169705,
RUSBoost_Medium_Run_2,713566,653096,236633,157127,236633,88426,236633,236633,
RUSBoost_Easy_Run_2,713566,145096,126658,116177,126658,54895,126658,126658,
