Filename,ROC_AUC
BRFC_alpha_0_5_0_1_0_1_Hard,0.804142
BRFC_alpha_0_5_0_1_0_1_Medium,0.732679
BRFC_alpha_0_5_0_1_0_1_Easy,0.659825
KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Hard,0.777097
KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Medium,0.711287
KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Easy,0.654148
BRFC_alpha_0_5_0_1_1_0_Hard,0.808396
BRFC_alpha_0_5_0_1_1_0_Medium,0.729927
BRFC_alpha_0_5_0_1_1_0_Easy,0.659672
KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard,0.775152
KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Medium,0.710069
KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Easy,0.654111
BRFC_alpha_0_5_0_1_1_1_Hard,0.804161
BRFC_alpha_0_5_0_1_1_1_Medium,0.732072
BRFC_alpha_0_5_0_1_1_1_Easy,0.659672
KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard,0.773988
KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium,0.709195
KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Easy,0.654111
BRFC_alpha_0_5_1_0_0_0_Hard,0.808483
BRFC_alpha_0_5_1_0_0_0_Medium,0.729753
BRFC_alpha_0_5_1_0_0_0_Easy,0.660083
KBFC_alpha_0_5_gamma_0_0_1_0_0_0_Hard,0.777602
KBFC_alpha_0_5_gamma_0_0_1_0_0_0_Medium,0.709959
KBFC_alpha_0_5_gamma_0_0_1_0_0_0_Easy,0.654627
BRFC_alpha_0_5_1_0_0_1_Hard,0.804094
BRFC_alpha_0_5_1_0_0_1_Medium,0.733033
BRFC_alpha_0_5_1_0_0_1_Easy,0.660083
KBFC_alpha_0_5_gamma_0_0_1_0_0_1_Hard,0.777015
KBFC_alpha_0_5_gamma_0_0_1_0_0_1_Medium,0.710923
KBFC_alpha_0_5_gamma_0_0_1_0_0_1_Easy,0.654627
BRFC_alpha_0_5_1_0_1_0_Hard,0.808541
BRFC_alpha_0_5_1_0_1_0_Medium,0.729809
BRFC_alpha_0_5_1_0_1_0_Easy,0.660077
KBFC_alpha_0_5_gamma_0_0_1_0_1_0_Hard,0.775653
KBFC_alpha_0_5_gamma_0_0_1_0_1_0_Medium,0.707516
KBFC_alpha_0_5_gamma_0_0_1_0_1_0_Easy,0.654573
BRFC_alpha_0_5_1_0_1_1_Hard,0.804228
BRFC_alpha_0_5_1_0_1_1_Medium,0.732628
BRFC_alpha_0_5_1_0_1_1_Easy,0.660077
KBFC_alpha_0_5_gamma_0_0_1_0_1_1_Hard,0.773884
KBFC_alpha_0_5_gamma_0_0_1_0_1_1_Medium,0.709063
KBFC_alpha_0_5_gamma_0_0_1_0_1_1_Easy,0.654573
BRFC_alpha_0_5_1_1_0_0_Hard,0.808331
BRFC_alpha_0_5_1_1_0_0_Medium,0.730045
BRFC_alpha_0_5_1_1_0_0_Easy,0.660076
KBFC_alpha_0_5_gamma_0_0_1_1_0_0_Hard,0.776363
KBFC_alpha_0_5_gamma_0_0_1_1_0_0_Medium,0.711367
KBFC_alpha_0_5_gamma_0_0_1_1_0_0_Easy,0.654617
BRFC_alpha_0_5_1_1_0_1_Hard,0.804355
BRFC_alpha_0_5_1_1_0_1_Medium,0.732920
BRFC_alpha_0_5_1_1_0_1_Easy,0.660076
KBFC_alpha_0_5_gamma_0_0_1_1_0_1_Hard,0.776638
KBFC_alpha_0_5_gamma_0_0_1_1_0_1_Medium,0.710710
KBFC_alpha_0_5_gamma_0_0_1_1_0_1_Easy,0.654617
BRFC_alpha_0_5_1_1_1_0_Hard,0.808282
BRFC_alpha_0_5_1_1_1_0_Medium,0.729688
BRFC_alpha_0_5_1_1_1_0_Easy,0.660077
KBFC_alpha_0_5_gamma_0_0_1_1_1_0_Hard,0.774760
KBFC_alpha_0_5_gamma_0_0_1_1_1_0_Medium,0.710055
KBFC_alpha_0_5_gamma_0_0_1_1_1_0_Easy,0.654573
BRFC_alpha_0_5_1_1_1_1_Hard,0.804217
BRFC_alpha_0_5_1_1_1_1_Medium,0.732465
BRFC_alpha_0_5_1_1_1_1_Easy,0.660077
KBFC_alpha_0_5_gamma_0_0_1_1_1_1_Hard,0.774307
KBFC_alpha_0_5_gamma_0_0_1_1_1_1_Medium,0.708907
KBFC_alpha_0_5_gamma_0_0_1_1_1_1_Easy,0.654573
