Index,,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
420,421,BRFC_alpha_0_5_0_1_0_1_Hard,1.00,1.00,13,129.00,0.91,676444,0,126256.00,0.00,,0.00,0.00
2207,3171,BRFC_alpha_0_5_0_1_0_1_Medium,0.69,0.69,20,10,0.33,605865,70579,79977,46279,0.40,0.37,0.56
7992,11116,BRFC_alpha_0_5_0_1_0_1_Easy,0.69,0.69,24,12,0.33,598439,78005,91661,34595,0.31,0.27,0.62
9198,11595,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Hard,0.40,0.40,20,10,0.33,647043,29401,92254,34002,0.54,0.27,0.23
11299,12302,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Medium,0.45,0.45,20,10,0.33,664528,11916,113798,12458,0.51,0.10,0.09
9213,11207,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Easy,0.27,0.27,20,10,0.33,629409,47035,104523,21733,0.32,0.17,0.37
230,393,BRFC_alpha_0_5_0_1_1_0_Hard,0.67,0.67,101,51,0.34,623228,53216,69664,56592,0.52,0.45,0.42
2098,3066,BRFC_alpha_0_5_0_1_1_0_Medium,0.68,0.68,20,10,0.33,602132,74312,79385,46871,0.39,0.37,0.59
6968,11146,BRFC_alpha_0_5_0_1_1_0_Easy,0.64,0.64,22,11,0.33,557583,118861,80041,46215,0.28,0.37,0.94
11608,11609,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard,0.94,0.99,10,33.00,0.77,676444,0,126256.00,0.00,,0.00,0.00
9446,12326,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Medium,0.31,0.31,20,10,0.33,631361,45083,94747,31509,0.41,0.25,0.36
8044,11220,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Easy,0.24,0.24,20,10,0.33,591493,84951,91500,34756,0.29,0.28,0.67
243,424,BRFC_alpha_0_5_0_1_1_1_Hard,0.67,0.67,26,13,0.33,620396,56048,69878,56378,0.50,0.45,0.44
2874,3327,BRFC_alpha_0_5_0_1_1_1_Medium,0.80,0.80,20,10,0.33,652959,23485,103891,22365,0.49,0.18,0.19
6968,11146,BRFC_alpha_0_5_0_1_1_1_Easy,0.64,0.64,22,11,0.33,557583,118861,80041,46215,0.28,0.37,0.94
6265,11611,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard,0.25,0.25,20,10,0.33,576684,99760,62700,63556,0.39,0.50,0.79
