Filename,len(y_proba),nUnique(y_proba),len(fpr),nUnique(fpr),len(tpr),nUnique(tpr),len(fpr tpr),nUnique(fpr tpr)
BRFC_alpha_0_5_Hard_Run_0,802700,3304,2773,2380,2773,1445,2773,2773,
BRFC_alpha_0_5_Medium_Run_0,802700,40636,32145,28721,32145,13776,32145,32145,
BRFC_alpha_0_5_Easy_Run_0,802700,164126,144660,132449,144660,64668,144660,144660,
BRFC_alpha_0_6_Hard_Run_0,802700,4980,3727,3051,3727,1751,3727,3727,
BRFC_alpha_0_6_Medium_Run_0,802700,111891,75569,64641,75569,27526,75569,75569,
BRFC_alpha_0_6_Easy_Run_0,802700,175592,150745,136604,150745,65540,150745,150745,
BRFC_alpha_0_7_Hard_Run_0,802700,5116,3757,3009,3757,1770,3757,3757,
BRFC_alpha_0_7_Medium_Run_0,802700,131415,82820,69256,82820,29590,82820,82820,
BRFC_alpha_0_7_Easy_Run_0,802700,176047,150706,136494,150706,65559,150706,150706,
BRFC_alpha_0_8_Hard_Run_0,802700,4987,3774,3050,3774,1794,3774,3774,
BRFC_alpha_0_8_Medium_Run_0,802700,116445,77809,66153,77809,28502,77809,77809,
BRFC_alpha_0_8_Easy_Run_0,802700,175506,149586,135361,149586,65691,149586,149586,
BRFC_alpha_0_85_Hard_Run_0,802700,4939,3624,2895,3624,1735,3624,3624,
BRFC_alpha_0_85_Medium_Run_0,802700,129043,81839,68363,81839,28984,81839,81839,
BRFC_alpha_0_85_Easy_Run_0,802700,176021,149449,135080,149449,65706,149449,149449,
BRFC_alpha_0_9_Hard_Run_0,802700,5087,3646,2923,3646,1738,3646,3646,
BRFC_alpha_0_9_Medium_Run_0,802700,127938,81563,68450,81563,29137,81563,81563,
BRFC_alpha_0_9_Easy_Run_0,802700,175931,148719,134345,148719,65791,148719,148719,
BRFC_alpha_0_95_Hard_Run_0,802700,5243,3719,2981,3719,1808,3719,3719,
BRFC_alpha_0_95_Medium_Run_0,802700,131654,81747,67984,81747,29740,81747,81747,
BRFC_alpha_0_95_Easy_Run_0,802700,175905,147783,133440,147783,65696,147783,147783,
BRFC_alpha_balanced_Hard_Run_0,802700,5286,3855,3114,3855,1862,3855,3855,
BRFC_alpha_balanced_Medium_Run_0,802700,134396,83661,69861,83661,30019,83661,83661,
BRFC_alpha_balanced_Easy_Run_0,802700,176193,149510,135131,149510,65799,149510,149510,
EEC_Hard_Run_0,802700,1265,1248,1241,1248,915,1248,1248,
EEC_Medium_Run_0,802700,1430,1422,1387,1422,1244,1422,1422,
EEC_Easy_Run_0,802700,120,121,121,121,121,121,121,
KBFC_alpha_0_5_gamma_0_0_Hard_Run_0,802700,781300,206562,119870,206562,90267,206562,206562,
KBFC_alpha_0_5_gamma_0_0_Medium_Run_0,802700,727334,270250,184347,270250,98529,270250,270250,
KBFC_alpha_0_5_gamma_0_0_Easy_Run_0,802700,177660,153651,139310,153651,66037,153651,153651,
KBFC_alpha_balanced_gamma_0_0_Hard_Run_0,802700,782008,204556,117665,204556,90874,204556,204556,
KBFC_alpha_balanced_gamma_0_0_Medium_Run_0,802700,727762,268958,183137,268958,98750,268958,268958,
KBFC_alpha_balanced_gamma_0_0_Easy_Run_0,802700,177298,153221,138979,153221,65913,153221,153221,
KBFC_alpha_0_5_gamma_1_0_Hard_Run_0,802700,774673,213149,127773,213149,90509,213149,213149,
KBFC_alpha_0_5_gamma_1_0_Medium_Run_0,802700,718723,276373,192280,276373,98920,276373,276373,
KBFC_alpha_0_5_gamma_1_0_Easy_Run_0,802700,176555,152904,138819,152904,65800,152904,152904,
KBFC_alpha_0_5_gamma_2_0_Hard_Run_0,802700,763738,225027,141371,225027,91270,225027,225027,
KBFC_alpha_0_5_gamma_2_0_Medium_Run_0,802700,703317,287423,205851,287423,99493,287423,287423,
KBFC_alpha_0_5_gamma_2_0_Easy_Run_0,802700,175484,151887,138127,151887,65516,151887,151887,
LogReg_alpha_0_5_Hard_Run_0,802700,797049,188816,98333,188816,90922,188816,188816,
LogReg_alpha_0_5_Medium_Run_0,802700,746892,254299,164209,254299,98765,254299,254299,
LogReg_alpha_0_5_Easy_Run_0,802700,178860,154337,139887,154337,66150,154337,154337,
LogReg_alpha_balanced_Hard_Run_0,802700,797140,189469,98653,189469,91218,189469,189469,
LogReg_alpha_balanced_Medium_Run_0,802700,747057,254290,164181,254290,98771,254290,254290,
LogReg_alpha_balanced_Easy_Run_0,802700,178967,154554,139988,154554,66273,154554,154554,
RFC_Hard_Run_0,802700,153535,109237,93057,109237,40709,109237,109237,
RFC_Medium_Run_0,802700,60369,48929,40888,48929,24745,48929,48929,
RFC_Easy_Run_0,802700,18547,17798,17216,17798,10941,17798,17798,
RUSBoost_Hard_Run_0,802700,797100,189734,98784,189734,91360,189734,189734,
RUSBoost_Medium_Run_0,802700,746852,254459,164191,254459,98891,254459,254459,
RUSBoost_Easy_Run_0,802700,178670,154227,139868,154227,66256,154227,154227,
AdaBoost_Hard_Run_0,802700,669767,272889,196364,272889,95155,272889,272889,
AdaBoost_Medium_Run_0,802700,695172,279135,195999,279135,99731,279135,279135,
AdaBoost_Easy_Run_0,802700,92744,84827,78356,84827,43885,84827,84827,
BalBag_Hard_Run_0,802700,232,217,199,217,139,217,217,
BalBag_Medium_Run_0,802700,2507,2249,2084,2249,1176,2249,2249,
BalBag_Easy_Run_0,802700,56388,54977,53220,54977,36490,54977,54977,
