Filename,ROC_AUC
BRFC_alpha_0_5_Hard_Run_0,0.804160
BRFC_alpha_0_5_Medium_Run_0,0.731991
BRFC_alpha_0_5_Easy_Run_0,0.659317
BRFC_alpha_0_6_Hard_Run_0,0.804732
BRFC_alpha_0_6_Medium_Run_0,0.731898
BRFC_alpha_0_6_Easy_Run_0,0.657323
BRFC_alpha_0_7_Hard_Run_0,0.804490
BRFC_alpha_0_7_Medium_Run_0,0.731841
BRFC_alpha_0_7_Easy_Run_0,0.652965
BRFC_alpha_0_8_Hard_Run_0,0.804812
BRFC_alpha_0_8_Medium_Run_0,0.731122
BRFC_alpha_0_8_Easy_Run_0,0.645536
BRFC_alpha_0_85_Hard_Run_0,0.804479
BRFC_alpha_0_85_Medium_Run_0,0.730715
BRFC_alpha_0_85_Easy_Run_0,0.639716
BRFC_alpha_0_9_Hard_Run_0,0.804442
BRFC_alpha_0_9_Medium_Run_0,0.730368
BRFC_alpha_0_9_Easy_Run_0,0.631220
BRFC_alpha_0_95_Hard_Run_0,0.803695
BRFC_alpha_0_95_Medium_Run_0,0.729612
BRFC_alpha_0_95_Easy_Run_0,0.617139
BRFC_alpha_balanced_Hard_Run_0,0.804689
BRFC_alpha_balanced_Medium_Run_0,0.730274
BRFC_alpha_balanced_Easy_Run_0,0.640688
EEC_Hard_Run_0,0.696535
EEC_Medium_Run_0,0.676361
EEC_Easy_Run_0,0.642414
KBFC_alpha_0_5_gamma_0_0_Hard_Run_0,0.777131
KBFC_alpha_0_5_gamma_0_0_Medium_Run_0,0.710634
KBFC_alpha_0_5_gamma_0_0_Easy_Run_0,0.656663
KBFC_alpha_balanced_gamma_0_0_Hard_Run_0,0.777085
KBFC_alpha_balanced_gamma_0_0_Medium_Run_0,0.711681
KBFC_alpha_balanced_gamma_0_0_Easy_Run_0,0.657349
KBFC_alpha_0_5_gamma_1_0_Hard_Run_0,0.777570
KBFC_alpha_0_5_gamma_1_0_Medium_Run_0,0.711034
KBFC_alpha_0_5_gamma_1_0_Easy_Run_0,0.656192
KBFC_alpha_0_5_gamma_2_0_Hard_Run_0,0.776873
KBFC_alpha_0_5_gamma_2_0_Medium_Run_0,0.709945
KBFC_alpha_0_5_gamma_2_0_Easy_Run_0,0.656621
LogReg_alpha_0_5_Hard_Run_0,0.764038
LogReg_alpha_0_5_Medium_Run_0,0.700513
LogReg_alpha_0_5_Easy_Run_0,0.655509
LogReg_alpha_balanced_Hard_Run_0,0.764662
LogReg_alpha_balanced_Medium_Run_0,0.700925
LogReg_alpha_balanced_Easy_Run_0,0.655576
RFC_Hard_Run_0,0.685458
RFC_Medium_Run_0,0.667902
RFC_Easy_Run_0,0.633285
RUSBoost_Hard_Run_0,0.763461
RUSBoost_Medium_Run_0,0.700563
RUSBoost_Easy_Run_0,0.655518
AdaBoost_Hard_Run_0,0.749887
AdaBoost_Medium_Run_0,0.697500
AdaBoost_Easy_Run_0,0.653527
BalBag_Hard_Run_0,0.762083
BalBag_Medium_Run_0,0.688652
BalBag_Easy_Run_0,0.649616
