,count
0.33,4946
0.34,4908
0.38,4905
0.36,4802
0.35,4800
0.3,4788
0.37,4782
0.29,4765
0.32,4763
0.31,4749
0.28,4732
0.4,4689
0.27,4662
0.39,4646
0.26,4541
0.25,4531
0.41,4521
0.43,4489
0.42,4436
0.45,4421
0.44,4337
0.24,4283
0.46,4245
0.47,4224
0.22,4213
0.23,4150
0.48,4129
0.5,4082
0.21,4069
0.49,4047
0.2,3941
0.19,3925
0.52,3834
0.51,3799
0.18,3742
0.53,3736
0.54,3717
0.55,3636
0.17,3575
0.56,3573
0.58,3479
0.16,3469
0.57,3464
0.15,3363
0.14,3259
0.59,3217
0.6,3198
0.61,3190
0.62,3081
0.13,3055
0.64,3013
0.63,2992
0.65,2911
0.68,2867
0.12,2837
0.67,2837
0.66,2821
0.7,2708
0.71,2674
0.69,2654
0.72,2572
0.74,2549
0.11,2534
0.76,2513
0.75,2483
0.73,2429
0.77,2422
0.78,2387
0.1,2363
0.8,2226
0.09,2216
0.81,2162
0.79,2159
0.82,2037
0.83,1979
0.08,1906
0.84,1855
0.345,1832
0.375,1824
0.365,1794
0.315,1793
0.85,1781
0.325,1764
0.425,1747
0.335,1746
0.355,1743
0.07,1732
0.395,1717
0.305,1716
0.295,1709
0.445,1707
0.405,1707
0.435,1692
0.385,1662
0.285,1660
0.455,1650
0.86,1646
0.415,1620
0.275,1573
0.255,1554
