,count
0.39,14548
0.35,14526
0.36,14418
0.33,14373
0.32,14351
0.38,14312
0.4,14246
0.34,14220
0.37,14198
0.41,14032
0.42,13964
0.31,13791
0.43,13787
0.3,13706
0.44,13659
0.45,13607
0.29,13558
0.28,13244
0.46,13187
0.27,13073
0.47,13028
0.48,12683
0.25,12634
0.26,12622
0.49,12488
0.5,12334
0.24,12234
0.51,12008
0.23,11721
0.52,11691
0.53,11314
0.22,11192
0.54,11096
0.21,10900
0.55,10783
0.2,10566
0.56,10434
0.19,10128
0.57,9975
0.58,9613
0.59,9559
0.18,9548
0.6,9040
0.17,8905
0.61,8660
0.16,8397
0.62,8285
0.15,7974
0.63,7961
0.64,7578
0.14,7285
0.65,7220
0.66,6907
0.13,6644
0.67,6624
0.68,6398
0.12,6058
0.69,5959
0.7,5791
0.11,5570
0.71,5545
0.72,5267
0.1,5076
0.73,5055
0.74,4799
0.75,4749
0.76,4403
0.77,4337
0.09,4239
0.78,4178
0.79,3965
0.8,3837
0.08,3767
0.81,3527
0.82,3270
0.07,3206
0.83,3050
0.84,2947
0.85,2727
0.06,2570
0.86,2499
0.87,2300
0.05,2120
0.88,1991
0.89,1828
0.04,1554
0.9,1536
0.91,1330
0.92,1144
0.03,1039
0.93,954
0.94,838
0.95,642
0.02,590
0.96,501
0.97,387
0.347,348
0.387,328
0.397,324
0.337,324
