,count
0.32963207,235
0.3242925,217
0.32011995,213
0.32835037,206
0.3312949,197
0.25653327,194
0.32750046,191
0.29372084,184
0.2627288,183
0.2548646,182
0.2553532,179
0.3261743,177
0.3276846,174
0.2767996,171
0.25676444,167
0.25703335,166
0.27686876,166
0.2568781,159
0.2536403,159
0.315598,157
0.28371692,156
0.26384947,155
0.25634888,155
0.26377586,154
0.27838397,154
0.335161,153
0.32026303,152
0.2679677,151
0.25948295,151
0.26126587,151
0.2640152,151
0.3267008,151
0.28494826,150
0.25421137,149
0.3400466,149
0.3278895,149
0.2671104,147
0.25661933,146
0.31868088,145
0.27680165,145
0.30125275,145
0.27479663,145
0.27461746,144
0.34378862,144
0.25282702,143
0.26098755,143
0.2857739,142
0.26833823,140
0.31971636,140
0.2934459,139
0.2604092,139
0.2712555,139
0.33072448,139
0.27528402,138
0.31478173,138
0.27766246,137
0.31467083,137
0.2680978,137
0.32854486,137
0.27931648,137
0.3220884,137
0.28124705,136
0.2545421,136
0.2683958,136
0.26716024,136
0.26214734,136
0.2704663,135
0.243777,135
0.27507752,135
0.26923957,134
0.27635652,134
0.26998252,134
0.3322789,134
0.2816748,134
0.28110573,134
0.2599961,133
0.25807616,133
0.2837796,131
0.32896072,131
0.26527166,131
0.32886827,130
0.2713156,130
0.3185979,130
0.25988808,129
0.2818583,129
0.25188303,129
0.320822,127
0.26734808,127
0.28981197,127
0.25439903,126
0.26463112,126
0.28932774,126
0.33234018,125
0.26242396,125
0.33921814,125
0.32068712,125
0.3454863,124
0.31869316,123
0.31594414,123
0.27509132,123
