,count
0.35,14261
0.34,14187
0.36,14098
0.39,14051
0.31,14025
0.33,13946
0.37,13924
0.38,13921
0.32,13908
0.42,13843
0.4,13833
0.41,13808
0.3,13681
0.43,13607
0.44,13432
0.29,13404
0.28,13325
0.45,13158
0.46,13026
0.27,12981
0.26,12849
0.47,12754
0.25,12584
0.48,12445
0.49,12231
0.5,12147
0.23,12061
0.24,12035
0.22,11721
0.51,11649
0.52,11526
0.21,11160
0.53,11055
0.54,10807
0.2,10804
0.55,10605
0.56,10387
0.19,10193
0.18,9982
0.57,9870
0.17,9553
0.58,9346
0.59,9200
0.6,8901
0.16,8752
0.61,8525
0.15,8219
0.62,8174
0.63,7793
0.14,7642
0.64,7515
0.65,7275
0.13,7116
0.66,6987
0.67,6586
0.12,6464
0.68,6283
0.69,6170
0.7,5870
0.11,5860
0.71,5549
0.1,5264
0.72,5242
0.73,5128
0.74,4801
0.75,4624
0.09,4581
0.76,4439
0.77,4288
0.78,4108
0.08,3995
0.79,3844
0.8,3842
0.81,3649
0.07,3373
0.82,3357
0.83,3195
0.84,3056
0.85,2738
0.06,2735
0.86,2477
0.87,2314
0.05,2137
0.88,2062
0.89,1830
0.9,1597
0.04,1552
0.91,1402
0.92,1276
0.03,1118
0.93,964
0.94,800
0.02,649
0.95,644
0.96,468
0.97,382
0.3084271085087828,319
0.01,309
0.3184271085087828,309
0.98,271
