,count
0.2,119813
0.3,117015
0.1,109333
0.4,103700
0.5,84848
0.0,81386
0.6,65754
0.7,48635
0.8,34194
0.9,21488
1.0,10608
0.45,434
0.25,396
0.35,387
0.55,341
0.15,328
0.65,327
0.3666666666666666,250
0.2666666666666666,227
0.75,221
0.5666666666666667,206
0.1666666666666666,173
0.05,168
0.85,148
0.4666666666666666,145
0.0666666666666666,101
0.6666666666666666,91
0.375,82
0.7666666666666666,82
0.6666666666666667,73
0.275,71
0.475,67
0.95,61
0.675,60
0.7666666666666667,60
0.3333333333333333,58
0.2333333333333333,58
0.575,57
0.175,55
0.4666666666666667,51
0.8666666666666666,45
0.775,45
0.4333333333333333,41
0.1333333333333333,33
0.5333333333333333,32
0.8666666666666668,29
0.6333333333333333,28
0.4333333333333334,25
0.875,25
0.5333333333333334,24
0.075,23
0.9666666666666666,22
0.7333333333333333,22
0.38,21
0.48,20
0.2799999999999999,19
0.6166666666666666,18
0.58,18
0.6799999999999999,17
0.975,17
0.8333333333333333,16
0.18,16
0.6833333333333333,15
0.5166666666666666,14
0.6333333333333334,14
0.7166666666666666,14
0.725,13
0.0333333333333333,13
0.425,12
0.78,12
0.4166666666666666,11
0.7166666666666667,11
0.6916666666666667,11
0.8800000000000001,10
0.9666666666666668,10
0.4833333333333334,9
0.8166666666666667,9
0.2833333333333333,9
0.3833333333333333,8
0.98,8
0.26,8
0.36,8
0.9166666666666666,8
0.225,8
0.9333333333333332,8
0.54,7
0.325,7
0.08,7
0.6166666666666667,7
0.825,7
0.525,7
0.4599999999999999,7
0.76,7
0.4833333333333333,7
0.8333333333333334,6
0.7833333333333333,6
0.625,6
0.3399999999999999,6
0.9166666666666669,6
0.6857142857142857,5
